N	3gram	Tiupa_Narr_2	Myslijsy
1	по отношению к	5	13
2	в том что	8	13
3	не может быть	2	9
4	тем не менее	4	6
5	но и в	2	4
6	не в том	1	4
7	по его мнению	1	4
8	в этом смысле	1	4
9	в том смысле	1	4
10	а между тем	1	3
11	подобно тому как	2	3
12	с точки зрения	2	3
13	в противном случае	1	3
14	и что в	1	3
15	с одной стороны	5	3
16	в том как	2	3
17	а в том	2	3
18	то же время	3	3
19	так и в	1	3
20	не только в	6	3
21	в то же	3	3
22	таким образом что	1	2
23	по его словам	1	2
24	что иное как	1	2
25	в таком случае	1	2
26	не могло бы	1	2
27	то и в	1	2
28	на этот вопрос	1	2
29	но с другой	1	2
30	к тому что	3	2
31	для того чтобы	1	2
32	все то что	2	2
33	и того же	1	2
34	не только не	2	2
35	и т п	2	2
36	одного и того	1	2
37	не что иное	1	2
38	в том виде	1	1
39	на том что	1	1
40	вопроса а как	1	1
41	и в жизни	1	1
42	на самом деле	2	1
43	в себе самом	2	1
44	в ответ на	2	1
45	потому что я	1	1
46	одной стороны и	1	1
47	в живой речи	1	1
48	когда в душе	1	1
49	что человек есть	1	1
50	в этом отношении	3	1
51	до сих пор	1	1
52	виде в каком	1	1
53	можно было бы	1	1
54	может быть только	1	1
55	с этой точки	1	1
56	как в жизни	1	1
57	в целом он	1	1
58	более или менее	1	1
59	так а не	1	1
60	так же как	2	1
61	но в действительности	1	1
62	а не иначе	1	1
63	в связи с	1	1
64	того на что	1	1
65	не зависит от	2	1
66	но при этом	3	1
67	и потому не	1	1
68	не только к	1	1
69	во всяком случае	1	1
70	и все же	2	1
71	том виде в	1	1
72	по всей вероятности	1	1
73	в то время	1	1
74	если же в	1	1
75	и тем самым	2	1
76	о том что	4	1
77	этой точки зрения	1	1
78	с этой стороны	1	1
79	времени и пространства	2	1
80	точно так же	2	1
