N	2gram	Tiupa_Narr_2	Stilisti
1	и в	13	42
2	не только	26	27
3	как бы	6	27
4	и т.п	6	24
5	прежде всего	6	22
6	и т.д	4	20
7	внутренней речи	3	18
8	хотя бы	2	17
9	но и	15	15
10	то же	4	15
11	и не	14	14
12	не может	8	12
13	может быть	10	12
14	как и	4	11
15	точки зрения	5	11
16	и как	1	10
17	как мы	1	10
18	в этом	13	10
19	отнюдь не	4	10
20	мы должны	1	10
21	что мы	1	10
22	при этом	14	9
23	мы не	2	9
24	то что	8	9
25	в то	5	9
26	для того	1	9
27	в себе	8	8
28	все же	6	8
29	таким образом	5	8
30	тем самым	5	8
31	что же	1	8
32	в ней	2	8
33	в которой	1	7
34	данной ситуации	1	7
35	же время	3	7
36	того чтобы	3	7
37	потому что	2	7
38	а не	17	7
39	и от	1	7
40	и его	3	7
41	зависимости от	1	7
42	ничего не	6	7
43	никогда не	6	7
44	только в	11	7
45	и тем	5	7
46	в зависимости	1	7
47	речевого взаимодействия	1	7
48	с его	3	7
49	было бы	2	7
50	в форме	5	6
51	другими словами	1	6
52	так и	9	6
53	в нем	5	6
54	и так	1	6
55	не в	8	6
56	в конце	4	6
57	во всех	1	6
58	говорящего и	1	6
59	точку зрения	3	6
60	в этой	4	6
61	точкой зрения	1	6
62	в процессе	2	6
63	мы будем	1	6
64	в области	2	6
65	или иной	3	6
66	в свою	2	6
67	и с	1	5
68	и наконец	1	5
69	и их	1	5
70	в сознании	2	5
71	с помощью	1	5
72	как это	4	5
73	того или	3	5
74	те же	2	5
75	в нашем	2	5
76	вместе с	1	5
77	в той	5	5
78	слова и	1	5
79	своей жизни	1	5
80	той же	2	5
81	в его	6	5
82	тому что	3	5
83	а в	9	5
84	с точки	2	5
85	или иного	3	5
86	не является	4	5
87	же самое	1	5
88	языка и	1	4
89	общения в	1	4
90	бы в	2	4
91	можно сказать	6	4
92	так же	2	4
93	было в	1	4
94	что это	4	4
95	то есть	9	4
96	так называемые	1	4
97	и без	1	4
98	так сказать	3	4
99	того что	6	4
100	о своей	1	4
101	человека не	1	4
102	к своему	2	4
103	его внутренней	2	4
104	и к	6	4
105	повествования о	1	4
106	все время	1	4
107	в качестве	14	4
108	у нас	2	4
109	к тому	9	4
110	один из	3	4
111	а с	2	4
112	в слове	3	4
113	уже не	4	4
114	не существует	1	4
115	что именно	1	4
116	в самом	2	4
117	не что	1	4
118	не просто	1	4
119	но в	6	4
120	на него	5	4
121	о том	5	4
122	все это	1	4
123	себя в	2	4
124	самом деле	3	4
125	тем же	1	4
126	можно было	2	4
127	если бы	4	4
128	той или	3	4
129	и здесь	2	3
130	не знает	1	3
131	еще не	2	3
132	жизни и	4	3
133	слова но	1	3
134	и для	3	3
135	о своем	2	3
136	не к	4	3
137	мертвых душ	2	3
138	связи с	1	3
139	но при	4	3
140	и все	4	3
141	что у	2	3
142	всякого высказывания	1	3
143	жизни это	1	3
144	вследствие этого	2	3
145	об этом	4	3
146	и внешней	1	3
147	если не	2	3
148	между ними	1	3
149	что было	1	3
150	для нас	2	3
151	не мог	1	3
152	в виду	1	3
153	в начале	2	3
154	в ее	4	3
155	здесь мы	1	3
156	отношения к	1	3
157	на самом	2	3
158	это не	3	3
159	и даже	3	3
160	сознания не	1	3
161	во второй	2	3
162	в целом	3	3
163	да и	3	3
164	сказать что	3	3
165	как только	1	3
166	хотя и	5	3
167	представить себе	3	3
168	высказывания как	2	3
169	в котором	5	3
170	не будет	2	3
171	только благодаря	1	3
172	в одном	1	3
173	в данной	1	3
174	содержание и	1	3
175	что и	2	3
176	роль в	2	3
177	их в	1	3
178	но что	1	3
179	может показаться	1	3
180	связь и	1	3
181	ответ на	5	3
182	и уже	4	3
183	только на	2	3
184	перед нами	4	3
185	в будущем	2	3
186	которое может	1	3
187	том что	13	3
188	но для	2	3
189	все эти	3	2
190	каждый из	1	2
191	но не	3	2
192	вопрос о	1	2
193	в связи	1	2
194	т.п но	1	2
195	место в	5	2
196	или в	1	2
197	ли не	1	2
198	т.д на	1	2
199	здесь не	2	2
200	есть не	1	2
201	зависит от	2	2
202	гораздо более	1	2
203	в жизни	6	2
204	к нему	1	2
205	нужно было	1	2
206	сих пор	1	2
207	в какой	4	2
208	как нечто	1	2
209	но мы	1	2
210	нашего сознания	1	2
211	к которому	2	2
212	иное как	1	2
213	с ним	4	2
214	бы не	1	2
215	ни слова	2	2
216	в своей	4	2
217	всю совокупность	1	2
218	бы и	1	2
219	и он	2	2
220	или даже	3	2
221	внутри себя	1	2
222	действительной жизни	1	2
223	по своей	3	2
224	одной из	1	2
225	все то	2	2
226	между собой	3	2
227	первый взгляд	1	2
228	зрения на	2	2
229	или хотя	1	2
230	отношение к	1	2
231	для него	4	2
232	что перед	1	2
233	в том	14	2
234	этом отношении	3	2
235	в него	2	2
236	не с	1	2
237	что иное	1	2
238	в реальной	1	2
239	и сам	3	2
240	речь но	1	2
241	между двумя	1	2
242	и ответ	1	2
243	как в	5	2
244	сказать не	1	2
245	бытия в	2	2
246	в душе	2	2
247	у человека	1	2
248	в отношении	1	2
249	представляет собой	16	2
250	говорить и	1	2
251	встречи и	1	2
252	с собой	1	2
253	связано с	1	2
254	и вследствие	2	2
255	тому же	4	2
256	и потому	1	2
257	должно быть	1	2
258	очевидно что	1	2
259	нам в	3	2
260	эти три	1	2
261	ясно что	1	2
262	тем что	1	2
263	заметить что	1	2
264	себе и	2	2
265	мы имеем	3	2
266	в основе	1	2
267	не будут	1	2
268	по своему	2	2
269	не должен	2	2
270	не всегда	1	2
271	на первый	1	2
272	а к	3	2
273	же самой	1	2
274	в этих	1	2
275	тем и	1	2
276	как уже	2	2
277	события и	1	2
278	в мире	4	2
279	о них	2	2
280	также и	1	2
281	и когда	3	2
282	ли он	1	2
283	несмотря на	2	2
284	в своих	2	2
285	в разговоре	1	2
286	однако в	2	2
287	и нет	1	2
288	в частности	11	2
289	его не	1	2
290	в каком	1	2
291	от их	1	2
292	высказывания в	1	2
293	в которых	1	2
294	к этому	1	2
295	что он	5	2
296	к миру	2	2
297	жизни мы	2	2
298	другого человека	2	2
299	этот вопрос	1	2
300	быть может	2	2
301	времени и	4	2
302	которое не	2	2
303	в первой	1	2
304	и внутренняя	1	2
305	с кем	1	2
306	но это	2	2
307	глядя на	1	1
308	столь же	2	1
309	может не	1	1
310	одним из	1	1
311	о действительной	1	1
312	не могла	1	1
313	тому или	1	1
314	только пример	1	1
315	может и	1	1
316	прежде чем	1	1
317	с точкой	1	1
318	лишь то	1	1
319	в конечном	3	1
320	по сравнению	1	1
321	сравнению с	1	1
322	и того	3	1
323	слушателя нет	1	1
