N	3gram	Bakhtin_Pr_4	Komedia
1	до сих пор	8	9
2	в том что	2	9
3	в самом деле	4	6
4	в то же	5	4
5	о том что	2	4
6	то же время	5	4
7	с самого начала	1	4
8	к тому же	1	4
9	если бы он	1	3
10	по отношению к	5	3
11	с точки зрения	9	3
12	в связи с	1	3
13	во всяком случае	1	3
14	с одной стороны	1	3
15	иначе обстоит дело	1	2
16	хотя и не	2	2
17	так или иначе	1	2
18	в этом случае	1	2
19	по сравнению с	1	2
20	в конце концов	1	2
21	с другой стороны	3	2
22	молодого человека в	1	2
23	из того же	1	2
24	но все же	1	2
25	в известной степени	1	2
26	к другому а	1	1
27	но он уже	1	1
28	на себя внимание	2	1
29	и без всякого	1	1
30	в виду что	1	1
31	более или менее	3	1
32	имеем в виду	3	1
33	в том числе	4	1
34	одной стороны и	1	1
35	друг против друга	1	1
36	но как раз	1	1
37	и там и	1	1
38	и в то	1	1
39	не было и	1	1
40	в отличие от	3	1
41	и не может	7	1
42	точки зрения того	1	1
43	об этом уже	1	1
44	к себе и	1	1
45	его роль в	1	1
46	таким образом и	1	1
47	уже в доме	1	1
48	но при этом	1	1
49	и совершенно не	1	1
50	здесь не только	1	1
51	как бы в	3	1
52	в себе самом	2	1
53	ставит нас перед	1	1
54	сих пор не	2	1
55	только на то	1	1
56	приходится прибегать к	1	1
57	так и в	1	1
58	можно сказать что	2	1
59	смех и в	1	1
60	и до сих	2	1
61	и не знает	1	1
62	не с точки	1	1
63	к ним как	1	1
64	мы имеем в	3	1
65	как мы знаем	1	1
66	если бы не	1	1
67	после того как	1	1
68	к тому что	1	1
69	в каждом из	1	1
70	друг от друга	1	1
71	ну а что	1	1
72	в отношении к	2	1
73	друг за другом	1	1
74	друг с другом	5	1
75	лицом к лицу	1	1
76	и между ними	1	1
77	друг друга и	1	1
78	выходят за пределы	2	1
79	в том же	1	1
80	том числе и	3	1
81	в свое время	2	1
