N	4gram	Losev_Prob_1	DiskursI
1	одного и того же	2	2
2	не говоря уже о	1	2
3	одно и то же	1	1
4	заключается в том что	1	1
5	том и в другом	1	1
6	и тем же словом	1	1
7	мы имеем дело не	1	1
8	имеем дело не с	1	1
9	в том и в	1	1
10	не есть она сама	1	1
11	и в другом случае	1	1
12	свидетельствует о том что	2	1
13	одним и тем же	1	1
14	можно даже сказать что	1	1
15	к тому или иному	1	1
16	дело в том что	3	1
17	о том что ни	1	1
18	и требует для себя	1	1
19	внимание на то что	1	1
20	что не есть она	1	1
21	и в то же	1	1
22	но в таком случае	4	1
23	не только потому что	1	1
24	обратить внимание на то	1	1
25	и в том и	1	1
