N	3gram	Vinokur_St_2	Hudozhes
1	по отношению к	1	10
2	в отличие от	2	7
3	то же время	1	6
4	в то же	1	6
5	более или менее	2	5
6	с другой стороны	3	5
7	в том что	16	5
8	с точки зрения	2	3
9	одно и то	1	3
10	и то же	1	3
11	тем не менее	2	3
12	в этом смысле	1	3
13	но он не	1	2
14	в значительной степени	2	2
15	не могло быть	1	2
16	так или иначе	1	2
17	в свою очередь	1	2
18	для того чтобы	5	2
19	в том числе	1	2
20	к тому что	5	2
21	в сочетании с	2	1
22	иметь в виду	3	1
23	в виду что	1	1
24	одним и тем	1	1
25	в настоящее время	1	1
26	в этом случае	1	1
27	в одной из	2	1
28	в зависимости от	1	1
29	что он не	4	1
30	бы то ни	2	1
31	вследствие того что	1	1
32	с которыми он	1	1
33	говорит что он	1	1
34	точно так же	1	1
35	и др в	1	1
36	именно в этом	1	1
37	речь идет не	1	1
38	как раз в	2	1
39	себе отчет в	1	1
40	то ни было	2	1
41	в той мере	2	1
42	принадлежат к числу	1	1
43	в известном смысле	1	1
44	по большей части	1	1
45	не может сомневаться	1	1
46	в связи с	1	1
47	не только к	1	1
48	в первую очередь	1	1
49	так же как	3	1
50	и в том	1	1
51	в свое время	1	1
52	относится не только	1	1
53	в то время	1	1
54	имея в виду	1	1
55	при этом и	1	1
56	прежде всего к	1	1
57	о том что	11	1
58	в статье о	1	1
59	речь идет о	3	1
60	мере в какой	2	1
61	в данном отношении	1	1
62	к одному из	1	1
63	той мере в	2	1
64	в отношении к	1	1
65	и тем же	1	1
66	дело не в	1	1
67	он не только	1	1
68	том что он	5	1
69	к тому же	2	1
70	с легкой руки	1	1
