N	2gram	Tiupa_Lite_3	IolandNe
1	и с	2	3
2	и не	22	2
3	в этом	14	2
4	он не	1	2
5	что в	2	2
6	самого себя	1	2
7	себя в	7	1
8	все это	1	1
9	автора и	2	1
10	нисколько не	1	1
11	и в	16	1
12	и о	1	1
13	с жизнью	4	1
14	я не	2	1
15	то и	1	1
16	а по	2	1
17	то она	2	1
18	бы в	1	1
19	как только	1	1
20	того же	2	1
21	и со	1	1
22	с другой	6	1
23	а в	5	1
24	вплоть до	2	1
25	и дети	1	1
26	художественного творчества	2	1
27	того что	9	1
28	в художественном	1	1
29	как о	2	1
30	а с	1	1
31	другой стороны	2	1
32	и еще	1	1
33	в первую	1	1
34	нее и	1	1
35	для него	2	1
36	а также	4	1
37	в основе	5	1
38	что для	1	1
39	в значительной	1	1
40	говорить о	1	1
41	и сам	2	1
42	есть только	1	1
43	отношению к	4	1
44	так и	9	1
45	бы его	1	1
46	он с	1	1
47	того чтобы	2	1
48	первую очередь	1	1
49	не случайно	3	1
50	никогда не	4	1
51	его личности	1	1
52	о ней	1	1
53	только для	3	1
54	жизни и	3	1
55	тех же	1	1
56	тем что	2	1
57	в целом	5	1
58	точно и	1	1
59	по отношению	4	1
60	очевидно что	1	1
61	в них	1	1
62	по существу	4	1
63	и и	1	1
64	со всеми	2	1
65	автор и	1	1
66	если бы	2	1
67	для того	2	1
