N	2gram	Propp_Morf_1	Tvorches
1	и в	13	21
2	как бы	3	17
3	в то	3	15
4	то же	7	13
5	в его	1	13
6	как и	3	12
7	что в	8	12
8	с его	2	11
9	том что	4	11
10	как в	3	8
11	он не	3	8
12	то что	8	8
13	и на	1	7
14	но в	2	7
15	не только	4	7
16	при этом	1	7
17	у него	1	7
18	и не	12	7
19	в том	6	7
20	в этом	14	6
21	не менее	5	6
22	и его	1	6
23	он сам	1	6
24	о том	2	6
25	и все	1	6
26	что он	4	6
27	для него	1	6
28	а в	7	6
29	все же	7	5
30	в этой	2	5
31	таким образом	21	5
32	вовсе не	4	5
33	в русской	1	5
34	потому что	3	5
35	как будто	2	5
36	только в	2	5
37	может быть	52	5
38	а не	11	5
39	но это	6	5
40	это уже	3	5
41	хотя бы	4	5
42	в ф	1	4
43	и как	5	4
44	та же	2	4
45	в целом	3	4
46	это не	6	4
47	в своей	1	4
48	одной из	1	4
49	прежде всего	9	4
50	на эту	1	4
51	в момент	1	4
52	не может	14	4
53	один из	5	4
54	с большой	1	4
55	одним из	1	4
56	ту же	2	3
57	и т	41	3
58	на самом	4	3
59	это и	2	3
60	со всеми	1	3
61	хотя и	3	3
62	представляет собой	17	3
63	тут и	1	3
64	в россии	2	3
65	на его	4	3
66	и по	2	3
67	в каждом	1	3
68	и с	1	3
69	далеко не	5	3
70	даже в	1	3
71	дело не	2	3
72	самого начала	1	3
73	дело в	1	3
74	не по	2	3
75	стремится к	1	3
76	приходит к	1	3
77	с ее	1	3
78	и другие	6	3
79	с самого	1	3
80	там же	1	3
81	того что	3	3
82	который в	2	3
83	уже не	2	3
84	в виде	2	3
85	не так	1	3
86	так как	16	3
87	в которой	3	3
88	и даже	1	3
89	с другой	8	3
90	но и	4	3
91	в рассказе	1	3
92	но не	4	3
93	не существует	3	3
94	своих героев	1	3
95	но если	7	3
96	ее в	1	3
97	так же	3	3
98	вряд ли	2	2
99	в нашей	1	2
100	самом деле	4	2
101	некоторые из	1	2
102	в первом	3	2
103	на первом	1	2
104	но она	1	2
105	кто же	1	2
106	героев в	1	2
107	собой в	2	2
108	людей в	1	2
109	в чем	1	2
110	нет не	1	2
111	если в	5	2
112	отличие от	1	2
113	в одной	1	2
114	же с	1	2
115	говорит что	1	2
116	и наконец	1	2
117	в материал	1	2
118	то в	3	2
119	в себе	1	2
120	что она	2	2
121	тем не	5	2
122	ее по	3	2
123	здесь мы	3	2
124	не будет	1	2
125	а затем	4	2
126	о котором	1	2
127	а по	3	2
128	и тем	2	2
129	стремления к	1	2
130	в данном	1	2
