N	2gram	Berdyaev_N_1	Morfolog
1	может быть	7	52
2	и пр	3	40
3	не может	16	17
4	в этих	1	16
5	могут быть	2	15
6	с этим	2	14
7	и в	16	13
8	в этом	7	13
9	так как	1	12
10	так и	2	9
11	не всегда	1	9
12	прежде всего	4	9
13	а не	17	9
14	и не	11	9
15	с другой	3	8
16	по существу	2	8
17	вопрос о	3	7
18	но если	1	7
19	но не	2	6
20	это не	4	6
21	во время	1	6
22	подобно тому	3	6
23	не могут	1	6
24	а также	1	6
25	в том	8	6
26	а в	2	6
27	мы не	2	5
28	во всех	3	5
29	тому как	3	5
30	то что	4	5
31	в образе	1	5
32	не менее	4	5
33	потому что	4	5
34	наряду с	3	5
35	то это	1	4
36	что его	1	4
37	как в	3	4
38	хотя и	2	4
39	ни одна	2	4
40	не только	5	4
41	было бы	1	4
42	как и	7	4
43	тем что	1	4
44	раньше чем	1	4
45	другой стороны	2	4
46	так же	2	4
47	оно может	1	4
48	что в	9	4
49	связана с	2	3
50	и для	4	3
51	но в	2	3
52	к чему	1	3
53	но все	1	3
54	а по	1	3
55	из них	1	3
56	ни в	6	3
57	том что	2	3
58	в то	2	3
59	в сущности	1	3
60	того чтобы	2	3
61	от того	1	3
62	на нем	1	3
63	с собой	1	3
64	но и	3	3
65	он не	8	3
66	значит что	4	3
67	к нему	1	3
68	друг друга	1	3
69	но это	6	3
70	это уже	1	3
71	мы должны	1	3
72	можно назвать	2	3
73	смысле слова	3	2
74	как это	2	2
75	он требует	1	2
76	время как	2	2
77	совсем не	12	2
78	и к	5	2
79	одному из	1	2
80	не значит	3	2
81	в нее	1	2
82	можно было	2	2
83	мы уже	1	2
84	большинстве случаев	1	2
85	это было	3	2
86	этого не	1	2
87	с тем	3	2
88	что такое	3	2
89	и более	1	2
90	все эти	2	2
91	эти формы	3	2
92	не имеет	4	2
93	одна из	2	2
94	и его	1	2
95	в каком	1	2
96	к себе	1	2
97	перейти к	3	2
98	для того	1	2
99	оно не	1	2
100	совершается в	1	2
101	то время	1	2
102	и что	2	2
103	не с	1	2
104	путь на	1	2
105	о том	4	2
106	с одной	2	2
107	можно сказать	1	2
108	ни к	2	2
109	не означает	3	2
110	и только	1	2
111	как например	1	2
112	хотя бы	2	2
113	что он	1	2
114	только в	1	2
115	он действует	1	2
116	себя в	2	2
117	уже не	2	2
118	вопроса о	1	2
119	в большинстве	1	2
120	или не	1	2
121	от других	1	2
122	себя и	1	2
123	а на	1	2
124	не знает	6	2
125	сказать что	3	2
126	что мы	1	2
127	одной стороны	2	2
128	есть и	1	2
129	но для	2	2
130	не существует	3	2
131	или нет	1	2
132	а во	1	2
133	нужно помнить	1	1
134	наши дни	3	1
135	он может	1	1
136	который можно	1	1
137	поставлен вопрос	1	1
138	установить что	1	1
139	от своих	1	1
140	о формах	1	1
141	но она	2	1
142	в дальний	1	1
143	оно есть	1	1
144	в виду	1	1
145	даны лишь	1	1
146	что никаких	1	1
147	обреченный на	1	1
148	значение и	1	1
149	отличие от	1	1
150	для всех	1	1
151	говорит что	1	1
152	от вопроса	1	1
153	в этот	1	1
154	то нет	1	1
155	духа в	2	1
156	в которой	1	1
157	из этих	1	1
158	не в	6	1
159	думать что	2	1
160	в этой	1	1
161	но во	1	1
162	но ведь	1	1
163	самая постановка	1	1
164	вообще не	1	1
165	что она	2	1
166	слова а	1	1
167	в россии	3	1
168	и этот	1	1
169	них не	1	1
170	с другими	1	1
171	она создает	1	1
172	все другие	1	1
173	в это	1	1
174	нет в	1	1
175	всякое значение	2	1
176	может идти	1	1
177	и погоня	1	1
178	в наши	3	1
179	и их	1	1
180	становится все	1	1
181	не столько	1	1
182	ее он	1	1
183	значение для	1	1
184	но он	1	1
185	все это	5	1
186	не должно	1	1
187	возвращается к	2	1
188	есть всегда	1	1
189	и очень	1	1
190	она не	3	1
191	лишь к	1	1
192	она могла	1	1
193	в основе	3	1
194	не достигается	1	1
195	она с	1	1
196	как на	1	1
197	нет они	1	1
198	от неба	1	1
199	у нас	1	1
200	к таким	1	1
201	должны быть	1	1
202	к тому	3	1
203	он узнает	1	1
204	не есть	3	1
205	все еще	1	1
206	на это	1	1
207	начала которые	1	1
208	тоской по	1	1
209	с ее	5	1
210	как не	8	1
211	людей в	1	1
212	хочет его	1	1
213	приводит к	1	1
214	роль в	2	1
215	еще в	1	1
216	и с	2	1
217	царь или	1	1
218	то они	1	1
219	их в	1	1
220	и хочет	1	1
221	мы вновь	1	1
222	в его	1	1
223	к ней	1	1
224	в новой	7	1
225	ли он	1	1
226	говорить о	1	1
227	который в	2	1
228	все они	2	1
229	в эти	1	1
230	было так	1	1
231	же и	1	1
232	есть в	2	1
233	и у	1	1
234	этого нельзя	1	1
235	что не	1	1
236	всяком случае	1	1
237	своему строению	1	1
238	у него	2	1
239	которые могут	1	1
240	для решения	1	1
241	до начала	1	1
242	и даже	2	1
243	до сих	1	1
244	на ее	1	1
245	в каких	1	1
246	до этого	1	1
