N	3gram	Losev_Vlad_3	Tragedij
1	то же время	2	5
2	в то же	3	5
3	в отличие от	3	2
4	и в дальнейшем	1	2
5	точно так же	4	2
6	в данном случае	2	2
7	в году в	3	2
8	бросается в глаза	2	2
9	о том что	8	2
10	в том что	10	2
11	в этом случае	1	1
12	как и его	1	1
13	я увидел что	1	1
14	в таком виде	1	1
15	потому что сам	1	1
16	том что он	1	1
17	и то в	1	1
18	у него нет	1	1
19	хотя бы и	3	1
20	сам по себе	2	1
21	мы бы сказали	3	1
22	и то что	4	1
23	никогда не был	4	1
24	или как говорит	1	1
25	во всяком случае	3	1
26	в конце концов	5	1
27	и должно быть	1	1
28	самое большее что	1	1
29	и в этом	5	1
30	тем не менее	9	1
31	в году еще	1	1
32	необходимо отметить что	1	1
33	все же не	1	1
34	в связи с	2	1
35	то что он	1	1
36	не может быть	6	1
37	но в конце	1	1
38	на русский язык	1	1
39	отнюдь не является	1	1
40	человека вот что	1	1
41	и вместе с	2	1
42	это и есть	1	1
43	еще в году	2	1
44	с самого начала	1	1
45	не только не	1	1
46	уже в году	1	1
47	в самом деле	1	1
48	несмотря на все	1	1
49	к тому что	2	1
50	и в сфере	1	1
