N	2gram	Savitsky_P_1	Psycholo
1	и в	14	38
2	то что	4	35
3	в том	9	25
4	в самом	1	25
5	что в	4	20
6	может быть	5	19
7	и что	1	18
8	на то	1	16
9	точки зрения	3	16
10	в ней	6	15
11	и т	3	14
12	том что	4	14
13	если бы	4	14
14	как бы	4	14
15	потому что	3	14
16	в этом	10	13
17	в этой	1	13
18	и мы	2	13
19	совершенно ясно	1	13
20	не только	17	12
21	было бы	6	12
22	не в	5	12
23	мы видим	1	12
24	то же	9	10
25	что это	1	10
26	и не	12	10
27	с точки	3	9
28	того чтобы	1	9
29	и то	1	8
30	с этим	2	8
31	все же	1	8
32	и как	3	8
33	с тем	3	8
34	как и	1	8
35	и это	2	8
36	как раз	2	8
37	для того	3	8
38	для нас	2	8
39	с другой	5	7
40	заключается в	3	7
41	мы можем	1	7
42	не может	4	7
43	в ее	2	7
44	никак не	2	7
45	между тем	3	7
46	а не	2	7
47	а в	4	7
48	и на	1	6
49	в которых	5	6
50	к чему	2	6
51	и если	4	6
52	в котором	4	6
53	она не	1	6
54	не имеет	1	6
55	с и	1	6
56	ясно что	1	6
57	и здесь	1	6
58	с одной	3	6
59	если мы	1	6
60	из них	2	6
61	там где	1	6
62	должна быть	1	5
63	мы не	3	5
64	время в	2	5
65	в своем	4	5
66	могли бы	1	5
67	в которой	1	5
68	казалось бы	1	5
69	в его	2	5
70	в какой	1	5
71	но и	6	5
72	одной стороны	3	5
73	вместе с	1	5
74	о котором	1	5
75	другой стороны	1	5
76	что если	1	4
77	которую мы	2	4
78	во всех	2	4
79	в себе	3	4
80	если он	1	4
81	в нем	3	4
82	т д	1	4
83	что эта	1	4
84	что с	1	4
85	одна из	2	4
86	никогда не	1	4
87	мы все	1	4
88	когда в	1	4
89	что и	1	4
90	только в	7	4
91	обратиться к	1	4
92	того что	2	4
93	который не	1	4
94	должен быть	1	3
95	смысл этого	1	3
96	из всех	1	3
97	что по	1	3
98	и к	4	3
99	но в	9	3
100	из этих	1	3
101	первой половине	1	3
102	не к	2	3
103	одно и	1	3
104	что все	1	3
105	его в	1	3
106	и тем	2	3
107	в них	2	3
108	далеко не	1	3
109	место в	1	3
110	в то	7	3
111	где он	1	3
112	и о	5	3
113	из двух	1	3
114	наряду с	3	3
115	он был	1	3
116	были бы	1	3
117	и только	1	3
118	тот же	3	3
119	к ним	1	3
120	что не	1	3
121	мы хотим	1	3
122	в сборнике	1	3
123	все это	2	3
124	она должна	1	3
125	она может	1	3
126	главным образом	2	3
127	одновременно и	1	3
128	а я	5	3
129	как на	2	3
130	от этой	1	2
131	отношения к	2	2
132	например в	2	2
133	с с	2	2
134	по преимуществу	1	2
135	поэзии и	1	2
136	оно есть	1	2
137	столь же	3	2
138	что его	1	2
139	это имеет	1	2
140	бы она	1	2
141	но как	1	2
142	в общем	2	2
143	не просто	1	2
144	и чем	1	2
145	отнюдь не	2	2
146	и я	1	2
147	в истории	1	2
148	тем больше	1	2
149	что именно	1	2
150	как к	1	2
151	представляет собой	1	2
152	думать что	2	2
153	не могла	1	2
154	в силу	2	2
155	и вот	2	2
156	наших глазах	1	2
157	и по	1	2
158	тем в	1	2
159	из нее	1	2
160	и уже	1	2
161	в эту	2	2
162	исторической действительности	1	2
163	и ее	1	2
164	друг другу	2	2
165	и эти	1	2
166	и более	1	2
167	в этих	1	2
168	и очень	1	2
169	нет никакого	1	2
170	р и	6	2
171	в русской	4	2
172	и всегда	1	2
173	находятся в	1	2
174	что оно	1	2
175	и которая	1	2
176	с ее	1	2
177	только то	1	2
178	уяснить себе	1	2
179	для этого	1	2
180	со стороны	2	2
181	внимание к	1	2
182	и который	1	2
183	в которую	2	2
184	в качестве	9	2
185	есть в	2	2
186	в виде	2	2
187	одно из	1	2
188	всяком случае	1	2
189	иначе как	1	2
190	к первой	1	2
191	следует понимать	1	2
192	представляют собой	1	2
193	а с	1	2
194	действие которое	1	2
195	хотя бы	8	2
196	в данном	1	2
197	к смерти	1	2
198	области поэзии	1	2
199	не более	1	2
200	только что	1	2
201	же в	4	2
202	так же	1	2
203	к этой	1	2
204	видим в	1	2
205	и другие	1	2
206	они не	1	2
207	во всяком	1	2
208	как известно	1	1
209	же как	1	1
210	и потому	4	1
211	и есть	2	1
212	на две	1	1
213	выражается в	1	1
214	что мы	3	1
215	очень далеко	1	1
216	от первой	1	1
217	бы что	1	1
218	что уже	1	1
219	воздух и	1	1
220	не столько	2	1
221	на себя	1	1
222	план в	1	1
223	нужно с	1	1
224	еще не	1	1
225	или все	1	1
226	с его	1	1
227	и главное	1	1
228	но не	3	1
229	на основе	1	1
230	именно на	1	1
231	не все	1	1
232	более как	1	1
233	отличие от	1	1
234	победы в	1	1
235	из важнейших	2	1
236	дело идет	1	1
237	и где	1	1
238	а никак	1	1
239	и слова	1	1
240	хотя и	3	1
241	над собой	1	1
242	более или	1	1
243	в себя	1	1
244	сказывается не	1	1
245	в известном	1	1
246	только один	1	1
247	думается что	1	1
248	в определенном	1	1
249	и еще	1	1
250	значение которого	1	1
251	не как	1	1
252	свои собственные	1	1
253	каково же	1	1
254	заключает в	2	1
255	момент когда	1	1
256	а затем	1	1
257	она оказывается	1	1
258	и с	2	1
259	на этой	1	1
260	есть не	2	1
261	это не	3	1
262	везде и	1	1
263	в жизни	2	1
264	для них	2	1
265	может отличаться	1	1
266	на основании	1	1
267	должно быть	2	1
268	или менее	1	1
269	и при	1	1
270	мысль и	1	1
271	представить себе	1	1
272	с к	7	1
273	во времена	1	1
274	который конечно	1	1
275	на каждом	1	1
276	мысли и	1	1
277	бы мы	1	1
278	теми же	1	1
279	какой угодно	1	1
280	с окружающей	1	1
281	и вся	1	1
282	одна сторона	1	1
283	с которой	1	1
284	и притом	1	1
285	и злая	1	1
286	этих двух	1	1
287	в русском	2	1
288	как она	1	1
289	на россию	1	1
290	имеет два	1	1
291	раскрывается в	1	1
292	относиться к	1	1
293	мы отнюдь	1	1
294	не есть	1	1
295	все еще	1	1
296	что при	1	1
297	из чего	1	1
298	в применении	1	1
299	россию и	1	1
300	что составляет	1	1
301	они составляют	1	1
302	в собственном	1	1
303	знаем что	1	1
304	мысль о	2	1
305	он пришел	1	1
306	идет речь	1	1
307	те же	1	1
308	не с	1	1
309	и глубины	1	1
310	как таковую	1	1
311	в результате	1	1
312	что дело	1	1
313	по сравнению	2	1
314	весьма мало	2	1
315	вероятно что	1	1
316	могут стать	1	1
317	может не	1	1
318	еще более	2	1
319	вслед за	3	1
320	и разрешается	1	1
321	действие в	1	1
322	она ни	2	1
323	всего мы	1	1
324	только на	1	1
325	новую и	1	1
326	в начале	2	1
327	положительно утверждать	1	1
328	создается и	1	1
329	и других	2	1
330	виде какой	1	1
331	кульминационный пункт	1	1
332	не будут	1	1
333	гораздо большей	4	1
334	не о	2	1
335	друг друга	1	1
336	противоречии с	1	1
337	и везде	1	1
338	каждый из	1	1
339	широко и	1	1
340	каждого слова	1	1
341	в других	1	1
342	бы это	1	1
343	не было	2	1
344	именно как	2	1
345	ней и	1	1
346	отдельные черты	1	1
347	именно в	2	1
348	выйдет из	1	1
349	в отличие	1	1
350	ни на	1	1
351	этом противоположении	1	1
352	бы ее	1	1
353	что из	2	1
354	мы знаем	1	1
355	смысле на	1	1
356	которой в	1	1
357	тем чтобы	1	1
358	в момент	1	1
359	бы оно	1	1
360	в частности	2	1
361	и особенно	1	1
362	по одному	1	1
363	скажем прямо	1	1
364	и сопоставлении	1	1
365	чем то	1	1
366	сравнению с	1	1
367	он будет	1	1
368	применении к	1	1
369	в тот	2	1
370	из этой	1	1
371	чувство и	1	1
372	между прочим	2	1
373	нисколько не	1	1
374	бы как	1	1
375	должна была	1	1
376	общественной и	1	1
377	тем и	1	1
378	том виде	1	1
379	начала и	2	1
380	заложенное в	1	1
381	мы должны	4	1
382	отношении к	5	1
383	именно здесь	1	1
384	только как	1	1
385	они как	1	1
386	что проблема	1	1
387	в отдельности	1	1
388	и жизнь	1	1
389	есть и	1	1
390	не верить	1	1
391	с о	2	1
392	что то	1	1
393	ее место	1	1
394	это в	1	1
395	тем самым	3	1
396	гораздо более	1	1
