N	3gram	Vygotskiy__1	Sotsiolo
1	в том что	15	2
2	в конце концов	1	2
3	по отношению к	7	2
4	и в этом	1	1
5	по существу дела	2	1
6	только то что	1	1
7	по крайней мере	1	1
8	то что в	1	1
9	то же самое	3	1
10	сама по себе	1	1
11	в конечном счете	1	1
12	благодаря тому что	2	1
13	друг от друга	3	1
14	в то же	2	1
15	а с другой	2	1
16	в этой области	1	1
17	в результате его	1	1
18	на первый план	2	1
19	между тем именно	1	1
20	то же время	2	1
21	в любой области	1	1
22	и в то	1	1
23	с одной стороны	8	1
24	во всяком случае	3	1
