N	2gram	Medvedev_B_1	FransuaR
1	и в	1	41
2	таким образом	1	17
3	все это	2	11
4	не только	1	10
5	прежде всего	1	10
6	и на	1	9
7	кроме того	1	9
8	что в	1	7
9	в эпоху	1	6
10	так и	1	5
11	в ней	2	4
12	все же	1	4
13	у нас	3	4
14	с другой	1	4
15	было бы	1	3
16	также что	1	3
17	никак не	1	3
18	одной из	1	3
19	выходит за	1	3
20	в данном	1	3
21	и не	2	3
22	в книге	1	3
23	между ними	1	3
24	должна быть	1	2
25	было и	1	2
26	говорить о	1	2
27	за пределы	1	2
28	что все	1	2
29	в своей	1	2
30	этой книги	1	2
31	в области	1	2
32	в значительной	1	2
33	и во	1	2
34	тем более	1	2
35	на которой	1	2
36	до конца	1	2
37	а не	1	2
38	и потому	1	2
39	другой стороны	1	2
40	на самом	1	1
41	его не	1	1
42	не вполне	1	1
43	из ее	1	1
44	вообще тематика	1	1
45	еще не	1	1
46	и нет	1	1
47	бы только	1	1
48	как всякий	1	1
49	значительной степени	1	1
50	на стр	2	1
51	сейчас в	1	1
52	далеко не	1	1
53	о них	1	1
54	как будто	1	1
55	представляется нам	1	1
56	и о	1	1
57	же не	1	1
58	в пределах	1	1
59	можно было	2	1
60	об этом	1	1
61	этим вопросам	1	1
62	говорить об	1	1
63	со всем	1	1
64	не было	1	1
