N	3gram	Bakhtin_Fr_4	VerxiiNi
1	с одной стороны	2	7
2	с точки зрения	2	6
3	более или менее	3	5
4	в том числе	3	5
5	до сих пор	1	5
6	а с другой	1	5
7	для того чтобы	3	5
8	о том что	2	4
9	том числе и	2	4
10	к тому же	1	4
11	друг за друга	1	3
12	в конце концов	4	3
13	в связи с	1	3
14	в том что	1	3
15	то же самое	1	2
16	но все это	1	2
17	в этом отношении	1	2
18	с тех пор	1	2
19	некоторые из них	2	2
20	может быть и	1	2
21	так и от	1	2
22	таким образом в	3	2
23	то же время	8	2
24	с самого начала	3	2
25	можно сказать что	1	2
26	в то же	8	2
27	и того же	1	1
28	связан и с	1	1
29	одного и того	1	1
30	в соответствии с	1	1
31	важно то что	1	1
32	то что эти	1	1
33	а следовательно и	1	1
34	в эту эпоху	1	1
35	и в то	4	1
36	до известной степени	1	1
37	он сам уже	1	1
38	по своему характеру	1	1
39	в данном случае	1	1
40	в нашем смысле	1	1
41	границы между отдельными	1	1
42	но в то	1	1
43	на этот раз	1	1
44	смысле этого слова	1	1
45	в отличие от	1	1
46	дело не исчерпывается	1	1
47	мы уже говорили	5	1
48	с другой стороны	3	1
49	мы видели что	1	1
50	лицом к лицу	1	1
51	один и тот	2	1
52	не может быть	1	1
53	в то время	2	1
54	так и в	1	1
55	в свою очередь	1	1
56	это и есть	3	1
57	он участвовал в	1	1
58	к нему в	1	1
59	то есть о	2	1
60	мы видим что	1	1
61	атмосферу в которой	1	1
62	что и в	1	1
63	отправной точкой для	1	1
64	и тот же	2	1
