N	4gram	Losev_Prob_2	Marksizm
1	бы то ни было	1	8
2	и не может быть	1	4
3	один и тот же	2	3
4	в связи с этим	2	3
5	в том числе и	2	2
6	в самом деле если	1	2
7	на самом же деле	1	2
8	так же как и	1	2
9	одной и той же	2	2
10	в ту или иную	1	1
11	уже с самого начала	2	1
12	какой бы то ни	1	1
13	взятая сама по себе	2	1
14	но если мы скажем	2	1
15	если мы скажем что	3	1
16	связь значения со знаком	1	1
17	связаны между собой и	1	1
18	у нас не будет	1	1
19	не чем иным как	1	1
20	все более и более	1	1
21	в таком случае оно	1	1
22	до сих пор мы	1	1
23	тем не менее совершенно	1	1
24	в таком случае можно	1	1
25	одним и тем же	1	1
26	является не чем иным	1	1
