N	4gram	Voloshinov_1	Vvedenie
1	в то же время	7	6
2	о том что такое	1	5
3	не что иное как	2	4
4	но в то же	2	3
5	есть не что иное	2	2
6	как мы уже знаем	1	2
7	одной и той же	2	2
8	в одном и том	1	1
9	на то или иное	1	1
10	одно и то же	3	1
11	так а не иначе	1	1
12	то же самое и	1	1
13	он в то же	1	1
14	одном и том же	1	1
15	и всего того что	1	1
16	в собственном смысле слова	1	1
17	и для того чтобы	2	1
18	то для того чтобы	1	1
19	то же время служит	1	1
20	одного и того же	1	1
21	в связи с этим	2	1
22	но вместе с тем	1	1
