N	3gram	Savitsky_P_1	Literetu
1	то же время	7	9
2	в то же	7	9
3	не может быть	1	7
4	с одной стороны	3	6
5	в том что	4	5
6	с другой стороны	1	4
7	с точки зрения	3	3
8	на наш взгляд	1	3
9	за то что	1	2
10	в том числе	2	2
11	в сравнении с	3	2
12	том что в	1	1
13	тех пор пока	1	1
14	что уже в	1	1
15	одной стороны и	2	1
16	и не может	1	1
17	вместе с тем	1	1
18	в отличие от	1	1
19	том числе и	1	1
20	до тех пор	1	1
21	и то что	1	1
22	и в то	2	1
23	для тех кто	1	1
24	для того кто	1	1
25	и наряду с	1	1
26	не только как	1	1
27	не в том	1	1
28	с тем чтобы	1	1
29	в частности в	1	1
30	и не столько	1	1
31	есть не более	1	1
32	из тех кто	1	1
33	для того чтобы	1	1
34	тех кто не	1	1
35	и не менее	1	1
