N	2gram	Medvedev_V_1	Myshleni
1	и в	2	28
2	в том	2	28
3	в этом	1	27
4	потому что	1	22
5	том что	2	19
6	только в	1	18
7	и не	1	11
8	так как	1	10
9	в самом	1	8
10	то же	1	7
11	том же	1	5
12	речи и	1	5
13	и то	1	4
14	я не	1	4
15	ясно что	1	4
16	именно в	1	4
17	в частности	1	4
18	чего не	1	3
19	одном и	1	3
20	в их	1	3
21	и т.д	1	3
22	и только	1	3
23	все время	1	3
24	и его	1	3
25	и составляет	1	3
26	самом деле	1	2
27	а только	1	2
28	от общего	1	2
29	в другом	1	2
30	и том	1	2
31	в которых	1	2
32	но это	1	2
33	в значительной	1	2
34	на одном	1	2
35	в конце	2	2
36	по существу	1	2
37	все это	1	2
38	которые они	1	1
39	собственно и	1	1
40	одно и	1	1
41	далеко не	1	1
42	дело в	1	1
43	и заключается	1	1
44	зависят от	1	1
45	чем к	1	1
46	образом связаны	1	1
47	их как	1	1
48	как же	1	1
49	под влиянием	1	1
50	этом и	1	1
51	с большой	1	1
52	деле как	1	1
53	тем более	1	1
54	главным образом	1	1
55	конце концов	2	1
56	к этому	1	1
