N	4gram	Bakhtin_Pr_1	slovoVRo
1	в то же время	9	4
2	и т п все	2	3
3	но в то же	5	3
4	т п все это	1	2
5	в зависимости от характера	1	2
6	можно прямо сказать что	1	2
7	здесь конечно не в	1	1
8	в том что он	4	1
9	в истории европейского романа	1	1
10	то же время и	1	1
11	то перед нами не	1	1
12	она не может быть	1	1
13	и в то же	2	1
14	не значит конечно что	2	1
15	как мы уже говорили	1	1
16	в большинстве случаев в	1	1
17	во всяком случае не	1	1
18	дело здесь конечно не	1	1
19	именно в том что	1	1
20	не могут до конца	1	1
21	точка зрения на мир	2	1
22	а в том что	1	1
23	по отношению к себе	1	1
24	роман не только не	1	1
25	с ним и с	1	1
26	это не значит конечно	2	1
27	особая точка зрения на	1	1
28	у ивана карамазова и	1	1
