N	2gram	Potebnia_M_4	VeschiIm
1	не есть	9	49
2	не может	11	33
3	не только	10	31
4	может быть	26	29
5	и не	18	28
6	и в	23	26
7	то что	29	24
8	и есть	3	23
9	это значит	1	22
10	и т	7	21
11	т д	3	20
12	а не	12	20
13	есть только	5	17
14	что я	11	16
15	есть орудие	1	15
16	и следовательно	3	15
17	в смысле	3	15
18	что она	2	14
19	только в	15	14
20	по себе	11	13
21	и что	7	13
22	того что	14	13
23	и то	5	12
24	есть не	4	12
25	все же	1	12
26	в себя	1	12
27	что это	7	12
28	было бы	8	12
29	но и	11	12
30	сказать что	8	12
31	таким образом	24	11
32	с нею	3	11
33	вещь и	1	11
34	что же	5	11
35	то же	14	10
36	есть нечто	5	10
37	в ней	2	10
38	не значит	2	10
39	как бы	5	10
40	что такое	7	10
41	потому что	33	10
42	уже не	3	10
43	что мы	10	10
44	предполагает что	1	9
45	в самом	3	9
46	и с	4	9
47	в том	23	9
48	что не	6	9
49	прежде всего	1	9
50	что иное	2	8
51	иное как	2	8
52	в себе	14	8
53	на то	7	8
54	и это	2	8
55	ничего не	1	8
56	она есть	1	8
57	но это	3	8
58	не что	2	8
59	говорить о	5	7
60	если она	1	7
61	в этом	23	7
62	не будет	3	7
63	его в	4	7
64	с другими	4	7
65	том что	12	7
66	в то	4	7
67	со своим	4	7
68	указывает на	2	7
69	как с	1	7
70	и их	3	7
71	так как	14	7
72	если оно	2	7
73	от всего	1	7
74	есть и	2	7
75	со стороны	3	6
76	и как	2	6
77	но в	8	6
78	бы и	5	6
79	это есть	3	6
80	точки зрения	4	6
81	но если	1	6
82	по крайней	5	6
83	с ним	5	6
84	ее не	3	6
85	она не	2	6
86	оно есть	2	6
87	можно было	2	6
88	ясно что	1	6
89	должно быть	5	6
90	и только	3	6
91	крайней мере	5	6
92	а если	2	6
93	так что	5	6
94	если мы	2	6
95	для него	5	6
96	но что	2	6
97	относится к	1	6
98	то не	1	6
99	когда мы	6	6
100	быть только	1	6
101	жизни и	1	6
102	что в	17	6
103	того же	1	5
104	и до	3	5
105	в сущности	2	5
106	в чем	1	5
107	но не	1	5
108	должна быть	1	5
109	же это	1	5
110	вообще не	1	5
111	это не	7	5
112	с тем	7	5
113	а есть	1	5
114	не в	11	5
115	тем не	4	5
116	есть всегда	3	5
117	в отношении	1	5
118	не менее	5	5
119	у нас	2	5
120	свою очередь	1	5
121	в ее	2	5
122	должны быть	3	5
123	если бы	13	5
124	другими словами	8	5
125	отлично от	2	5
126	себя с	1	5
127	еще не	3	5
128	или не	1	5
129	и для	2	5
130	из себя	2	5
131	а в	5	5
132	в свою	2	5
133	явления и	2	4
134	мы не	8	4
135	я не	2	4
136	то это	8	4
137	в их	1	4
138	во всех	1	4
139	нет и	1	4
140	независимо от	6	4
141	его на	1	4
142	с этим	7	4
143	в своем	8	4
144	однако не	1	4
145	есть ее	1	4
146	и мы	5	4
147	в природу	1	4
148	как и	14	4
149	между собою	4	4
150	этой вещи	1	4
151	что значит	2	4
152	с точки	3	4
153	и более	4	4
154	что есть	3	4
155	на себе	3	4
156	слово и	3	4
157	же время	3	4
158	и о	4	4
159	смысле и	1	4
160	о том	8	4
161	с другой	2	4
162	судить о	2	4
163	что и	7	4
164	быть и	2	4
165	оно и	1	4
166	этот вопрос	3	4
167	то и	4	4
168	из них	1	4
169	бытия и	1	4
170	так то	3	4
171	тем что	10	4
172	и даже	2	4
173	даже не	2	4
174	как же	4	4
175	от вещи	1	4
176	знания и	1	4
177	когда я	7	4
178	и потому	10	4
179	мы говорим	7	4
180	в данном	4	4
181	быть не	2	4
182	говорить что	1	4
183	только а	1	4
184	не существует	2	4
185	значило бы	1	4
186	и все	4	4
187	от того	4	4
188	от ее	2	4
189	требует чтобы	2	4
190	между ними	4	4
191	оно не	2	4
192	есть то	4	4
193	себя как	1	3
194	от самой	1	3
195	сам по	4	3
196	самом деле	3	3
197	к другому	1	3
198	если я	1	3
199	мы имеем	4	3
200	вопрос о	2	3
201	но даже	2	3
202	собою и	2	3
203	не то	5	3
204	явлений и	1	3
205	как оно	2	3
206	в нем	7	3
207	перестает быть	1	3
208	подобно тому	2	3
209	на этом	1	3
210	было в	3	3
211	значит не	1	3
212	и тогда	1	3
213	можно только	2	3
214	в своей	1	3
215	все это	5	3
216	есть именно	1	3
217	есть еще	1	3
218	их в	3	3
219	между прочим	3	3
220	и другое	2	3
221	как о	1	3
222	тогда когда	8	3
223	и притом	2	3
224	ее с	1	3
225	само по	5	3
226	того чтобы	4	3
227	то зачем	1	3
228	или как	1	3
229	к ней	2	3
230	к тому	3	3
231	всегда есть	1	3
232	и самое	1	3
233	без всякого	1	3
234	в собственном	1	3
235	и сам	1	3
236	так и	6	3
237	нужно было	1	3
238	и вообще	2	3
239	о ней	1	3
