N	3gram	Medvedev_F_1	Tvorches
1	и т д	8	11
2	то же время	8	7
3	в то же	8	7
4	по отношению к	4	3
5	до сих пор	6	3
6	не может быть	5	3
7	и не может	2	2
8	и в то	1	2
9	в отличие от	1	2
10	так же как	1	2
11	во всяком случае	4	2
12	с другой стороны	1	2
13	так и в	4	2
14	и т п	4	2
15	в целом и	1	2
16	в том что	1	2
17	русской критики и	1	1
18	особое место в	1	1
19	и психологии и	1	1
20	нет и не	2	1
21	таким образом чтобы	1	1
22	в мире идеологических	1	1
23	не только с	1	1
24	в том числе	1	1
25	может и не	1	1
26	же как и	1	1
27	в нем и	2	1
28	и др однако	1	1
29	сами по себе	2	1
30	нужно сказать что	1	1
31	она дана в	1	1
32	и в истории	1	1
33	со всех сторон	1	1
34	так сказать в	1	1
35	чем же выразится	1	1
36	в применении к	2	1
37	уже не о	1	1
38	но в то	2	1
39	не сводится к	2	1
40	в чем же	1	1
41	и в этом	2	1
42	так и не	1	1
43	в свою очередь	6	1
44	в связи с	2	1
45	в роман и	1	1
46	в целом ряде	2	1
47	его участие в	1	1
48	у нас не	2	1
49	по себе не	1	1
50	того или иного	2	1
51	мы не можем	2	1
52	как и всякая	2	1
53	ничего общего с	1	1
54	его место в	1	1
55	с самого начала	1	1
56	но отнюдь не	1	1
57	том числе и	1	1
58	в предисловии к	1	1
59	и в том	1	1
60	на то чтобы	1	1
61	в высшей степени	1	1
62	идет уже не	1	1
