N	2gram	Losev_Vesc_1	Marksizm
1	может быть	16	28
2	и пр	6	25
3	и в	21	19
4	как бы	12	19
5	и не	29	19
6	не может	17	18
7	точки зрения	5	17
8	то же	6	16
9	и его	2	16
10	как мы	4	15
11	в этом	4	15
12	в сущности	4	14
13	таким образом	8	14
14	не только	36	13
15	с точки	3	13
16	в нем	2	11
17	если бы	5	11
18	вовсе не	10	11
19	не в	5	10
20	так и	3	10
21	но и	18	10
22	в пределах	1	10
23	том что	8	10
24	самом деле	4	9
25	при этом	1	9
26	как и	8	9
27	для него	4	9
28	языка как	2	9
29	в основе	3	9
30	это –	25	9
31	а не	19	9
32	с его	1	8
33	в то	3	8
34	только в	14	8
35	слова в	2	8
36	отнюдь не	5	8
37	не является	1	8
38	на самом	1	7
39	его в	2	7
40	и более	1	7
41	одна из	5	7
42	никогда не	2	7
43	в том	8	7
44	в языке	1	7
45	прежде всего	9	7
46	и для	9	7
47	но в	5	7
48	мы уже	3	6
49	во всех	2	6
50	и как	8	6
51	в самом	9	6
52	если мы	8	6
53	восприятия чужой	1	6
54	слова и	5	6
55	ни в	1	6
56	в смысле	12	6
57	того чтобы	3	6
58	к тому	3	6
59	для того	2	6
60	же самое	1	6
61	и следовательно	7	6
62	быть и	1	6
63	мы можем	4	6
64	– не	9	6
65	и все	5	6
66	хотя бы	6	6
67	ни было	4	6
68	в свою	4	6
69	того же	5	5
70	к другому	1	5
71	все же	4	5
72	выражение в	3	5
73	является не	1	5
74	то ни	4	5
75	на этой	1	5
76	в данном	5	5
77	слово –	3	5
78	свою очередь	4	5
79	– и	2	5
80	и здесь	4	5
81	к нему	1	5
82	в его	2	5
83	или иной	1	5
84	в той	3	5
85	и того	2	5
86	– вот	1	5
87	совершенно не	5	5
88	– как	7	5
89	к этому	1	5
90	так же	1	5
91	должна быть	4	4
92	и ее	18	4
93	бы то	4	4
94	переживания и	2	4
95	конечно не	1	4
96	только на	3	4
97	в себе	14	4
98	на то	4	4
99	– лишь	1	4
100	значение в	1	4
101	в данной	1	4
102	это не	5	4
103	было бы	14	4
104	и тем	3	4
105	в слове	2	4
106	мы видели	1	4
107	одного и	1	4
108	тому что	2	4
109	в отношении	4	4
110	ничего не	3	4
111	той или	2	4
112	для себя	5	4
113	выражения и	1	4
114	того что	8	4
115	с ними	3	4
116	что он	1	4
117	и их	7	4
118	как раз	9	4
119	– в	5	4
120	– это	1	4
121	к пониманию	3	4
122	бы в	5	4
123	то что	27	4
124	сказать что	17	4
125	и то	10	3
126	в котором	3	3
127	одного слова	1	3
128	это мышление	2	3
129	в ней	12	3
130	еще не	8	3
131	в ее	7	3
132	отличие от	1	3
133	относится к	5	3
134	чем же	3	3
135	в истории	1	3
136	и выражения	2	3
137	с этим	3	3
138	перед нами	2	3
139	все эти	3	3
140	в этой	3	3
141	но ведь	2	3
142	слово в	2	3
143	не к	1	3
144	– на	1	3
145	одно и	5	3
146	здесь мы	1	3
147	не будет	12	3
148	в другом	2	3
149	конечно в	1	3
150	той же	2	3
151	с другими	8	3
152	форму и	1	3
153	по себе	13	3
154	в этих	1	3
155	в своей	5	3
156	в отличие	1	3
157	мысли и	3	3
158	для всего	1	3
159	у нас	7	3
160	языка в	1	3
161	могут быть	1	3
162	для его	1	3
163	не есть	49	3
164	– именно	1	3
165	и это	14	3
166	оно может	2	3
167	на основе	1	3
168	о том	6	3
169	что и	3	3
170	в двух	1	3
171	с одной	3	3
172	в качестве	1	3
173	его и	2	3
174	и значения	1	3
175	так как	7	3
176	же деле	1	3
177	до сих	1	3
178	с другой	6	3
179	не было	1	3
180	одной стороны	3	3
181	она является	3	3
182	языка не	1	3
183	именно для	1	3
184	философия языка	1	3
185	да и	3	3
186	должно быть	6	3
187	и формы	2	3
188	самом же	1	3
189	и от	3	3
190	сих пор	1	3
191	слово для	1	3
192	– с	2	3
193	что оно	8	3
194	сознания и	1	3
195	только что	2	3
196	в различных	1	3
197	а в	4	3
198	слово и	4	3
199	языкового сознания	1	3
200	во всяком	3	3
201	нем нет	1	2
202	связана с	1	2
203	нас –	1	2
204	и реального	2	2
205	это восприятие	1	2
206	собственном смысле	3	2
207	в зависимости	1	2
208	из всего	1	2
209	вопрос о	1	2
