N	2gram	Medvedev_F_2	slovoVRo
1	и в	38	41
2	в нем	13	30
3	и т	14	28
4	т п	9	23
5	литературного языка	3	20
6	могут быть	6	19
7	во всех	5	17
8	не только	9	16
9	и не	20	16
10	точки зрения	8	16
11	языка в	9	16
12	но и	13	16
13	а не	6	15
14	то же	6	14
15	и на	3	14
16	в то	5	14
17	и его	21	14
18	в пределах	12	14
19	может быть	23	14
20	и др	3	14
21	не может	14	14
22	слова и	7	13
23	в сущности	4	13
24	в его	10	13
25	в этом	27	12
26	до конца	2	12
27	же время	5	12
28	языка и	12	12
29	как бы	4	12
30	так и	8	11
31	в узком	1	10
32	язык и	7	10
33	в большинстве	4	10
34	в той	2	10
35	узком смысле	1	10
36	слово в	2	10
37	поэтического слова	3	9
38	все эти	6	9
39	таким образом	20	9
40	той или	1	9
41	литературный язык	6	8
42	точка зрения	1	8
43	как в	4	8
44	но в	4	8
45	с точки	7	8
46	как мы	7	8
47	в особенности	4	8
48	или в	3	8
49	слова в	3	8
50	прежде всего	15	8
51	отношение к	2	7
52	все же	8	7
53	в слове	5	7
54	в своей	7	7
55	не в	15	7
56	вовсе не	11	7
57	с ним	2	7
58	и следовательно	1	7
59	в поэтическом	7	7
60	на фоне	4	7
61	все они	1	7
62	во всяком	5	7
63	того же	1	6
64	при этом	9	6
65	в плане	2	6
66	это не	2	6
67	в них	1	6
68	к своему	1	6
69	установка на	2	6
70	слова как	2	6
71	оно не	4	6
72	только в	6	6
73	большинстве случаев	3	6
74	и даже	4	6
75	по своим	1	6
76	а в	6	6
77	на слушателя	1	5
78	языку и	1	5
79	и к	4	5
80	в самом	16	5
81	он в	2	5
82	слушателя и	1	5
83	так сказать	3	5
84	т д	5	5
85	с другими	10	5
86	далеко не	1	5
87	всяком случае	5	5
88	все это	3	5
89	в основе	5	5
90	не на	1	5
91	подхода к	2	5
92	в языке	6	5
93	к нему	3	5
94	слово как	2	5
95	как его	2	5
96	точек зрения	1	5
97	с другой	3	5
98	и непосредственно	1	5
99	еще более	5	5
100	на своем	1	5
101	одним из	1	4
102	по преимуществу	5	4
103	поэзии и	1	4
104	в ней	6	4
105	меньшей степени	1	4
106	языку как	2	4
107	с его	11	4
108	системы языка	2	4
109	за пределы	1	4
110	перед нами	2	4
111	и наконец	4	4
112	в которой	2	4
113	но именно	3	4
114	всех этих	3	4
115	не как	4	4
116	у толстого	2	4
117	дистанции между	1	4
118	в каждом	1	4
119	связанных с	1	4
120	и с	9	4
121	лишь в	7	4
122	входит в	4	4
123	на почве	9	4
124	языка но	2	4
125	как и	9	4
126	автора и	1	4
127	в их	6	4
128	к предмету	3	4
129	речи в	1	4
130	в процессе	9	4
131	и для	5	4
132	лежит в	1	4
133	на предмет	1	4
134	ничего не	4	4
135	о нем	1	4
136	языковой системы	2	4
137	язык в	2	4
138	большей или	1	4
139	один из	2	4
140	с одной	1	4
141	языка как	11	4
142	рядом с	1	4
143	или меньшей	1	4
144	художественного слова	1	4
145	одной стороны	1	4
146	и все	3	4
147	там где	4	4
148	и от	2	4
149	в смысле	1	4
150	кроме того	2	4
151	здесь в	1	4
152	известной степени	4	4
153	быть и	3	4
154	другой стороны	4	4
155	в первом	7	3
156	его же	1	3
157	в зависимости	3	3
158	язык как	8	3
159	своего исторического	1	3
160	зависимости от	3	3
161	следовательно в	1	3
162	же слово	1	3
163	данном случае	1	3
164	в своем	1	3
165	более или	1	3
166	из этих	3	3
167	языка а	5	3
168	является лишь	1	3
169	выражение в	1	3
170	в себе	1	3
171	связанные с	1	3
172	в поэзии	12	3
173	и сам	1	3
174	и может	3	3
175	его в	3	3
176	было бы	6	3
177	он не	6	3
178	лингвистики и	1	3
179	или менее	1	3
180	в понимании	2	3
181	и ее	6	3
182	от его	2	3
183	которые в	1	3
184	не должно	1	3
185	поэтическое слово	1	3
186	она не	2	3
187	не могло	1	3
188	никогда не	2	3
189	произведения как	2	3
190	и здесь	3	3
191	взаимодействия с	1	3
192	не могут	7	3
193	поэтическом произведении	1	3
194	в других	7	3
195	к тому	4	3
196	поэтического языка	65	3
