N	2gram	Kanaev_Sov_1	UchenyiS
1	и в	7	14
2	а не	3	10
3	не только	4	10
4	прежде всего	5	8
5	и не	6	8
6	не может	17	7
7	в этом	7	7
8	может быть	12	6
9	то же	3	5
10	и только	1	5
11	все это	3	5
12	с другой	1	4
13	что такое	2	4
14	в конечном	1	4
15	конечном счете	1	4
16	в этой	3	4
17	конечно не	1	4
18	то ни	2	3
19	это не	4	3
20	было бы	3	3
21	как и	6	3
22	и т.д	3	3
23	бы то	1	3
24	этой области	1	3
25	в то	1	3
26	все же	3	3
27	но в	3	3
28	же время	1	3
29	в области	3	3
30	только к	1	3
31	у нас	3	3
32	ни было	1	3
33	что все	2	2
34	крайней мере	1	2
35	до сих	1	2
36	самом деле	2	2
37	форму и	1	2
38	к области	1	2
39	в некоторых	2	2
40	мы не	9	2
41	не приходится	1	2
42	на эту	1	2
43	если бы	1	2
44	ничего не	6	2
45	том что	1	2
46	но конечно	1	2
47	с его	1	2
48	но не	1	2
49	в его	2	2
50	по крайней	1	2
51	по существу	1	2
52	по себе	1	2
53	сих пор	1	2
54	но это	1	2
55	этом смысле	1	2
56	в том	4	2
57	это уже	1	2
58	и для	1	2
59	в себе	3	2
60	при таком	3	2
61	в самом	2	2
62	и у	1	2
63	только в	1	2
64	мы получаем	3	2
65	не в	3	2
66	все они	1	2
67	в системе	3	2
68	конечно нет	1	2
69	его и	1	2
70	их и	1	2
71	сколько угодно	1	2
72	не могут	2	2
73	могут быть	2	2
74	в конце	3	2
75	а о	1	2
76	же самое	2	2
77	не случайно	1	2
78	что она	3	2
79	таким образом	11	2
80	и это	1	1
81	что такой	1	1
82	же как	1	1
83	в этот	1	1
84	человека и	1	1
85	данном случае	1	1
86	своими собственными	1	1
87	но нам	1	1
88	и прежде	1	1
89	никогда не	1	1
90	по его	1	1
91	одной стороны	1	1
92	той же	2	1
93	этого не	1	1
94	мы имеем	1	1
95	смысле можно	1	1
96	почему и	1	1
97	как целого	1	1
98	как всякая	1	1
99	именно к	1	1
100	и даже	2	1
101	должно быть	1	1
102	все элементы	1	1
103	затем он	1	1
104	приводит к	2	1
105	о том	1	1
106	только возможно	1	1
107	в ней	1	1
108	и потому	3	1
109	почти не	1	1
110	и что	2	1
111	она в	1	1
112	всего только	2	1
113	все его	1	1
114	его работы	1	1
115	быть в	1	1
116	из которых	2	1
117	без труда	1	1
118	в течение	1	1
119	является только	1	1
120	он может	3	1
121	познакомиться с	1	1
122	в данном	1	1
123	что же	5	1
124	образом на	1	1
125	их в	4	1
126	друг с	2	1
127	на его	2	1
128	форма в	2	1
129	это значит	1	1
130	нет и	4	1
131	если нет	1	1
132	оно конечно	1	1
133	и вся	1	1
134	мы снова	1	1
135	отнюдь не	3	1
136	она не	1	1
137	счете только	1	1
138	еще раз	1	1
139	этом случае	1	1
140	независимо от	1	1
141	в своем	1	1
142	что с	1	1
143	они относятся	1	1
144	но для	1	1
145	и все	3	1
146	тот же	2	1
147	которых она	1	1
148	и отчетливо	1	1
149	и действительно	1	1
150	т.д пока	1	1
151	он уже	1	1
152	метода не	1	1
153	по мнению	2	1
154	в которой	2	1
155	это то	1	1
156	не было	1	1
157	он в	3	1
158	с одной	2	1
159	случае он	1	1
160	в известном	1	1
161	с новой	1	1
162	же остается	1	1
163	уже не	2	1
164	то и	2	1
165	же в	1	1
166	науки является	1	1
167	в процессе	1	1
168	в виде	2	1
169	в нем	3	1
170	с другом	2	1
171	но если	1	1
172	он не	1	1
173	сказать что	1	1
174	состоит из	3	1
175	определяет собою	1	1
176	очень часто	1	1
177	он называет	1	1
178	равно как	1	1
179	но верно	1	1
180	этот процесс	1	1
181	правда не	1	1
182	в свое	1	1
183	самое что	1	1
184	если у	1	1
185	но что	1	1
186	у него	2	1
187	этого и	1	1
188	мы можем	6	1
189	и эта	1	1
190	а это	1	1
191	он ставит	1	1
192	что при	2	1
193	к этому	1	1
194	что в	2	1
195	в таком	2	1
196	все что	1	1
197	общего и	1	1
