N	4gram	Medvedev_V_1	Analitik
1	в то же время	5	6
2	и не может быть	2	4
3	мы имеем дело с	1	3
4	в той или иной	1	3
5	в том или ином	1	2
6	но в то же	1	2
7	нет и не может	1	2
8	только в том что	1	1
9	одно и то же	1	1
10	как это происходит в	1	1
11	в том случае если	1	1
12	и вместе с тем	1	1
13	не может быть сведена	1	1
14	в большей или меньшей	2	1
15	не следует смешивать с	1	1
16	том или ином отношении	1	1
17	с этой точки зрения	1	1
18	в том числе и	2	1
19	может быть сведена к	1	1
20	имеем в виду не	1	1
21	не говоря уже о	1	1
22	большей или меньшей степени	2	1
