N	2gram	Savitsky_P_1	ViktorSh
1	в том	9	2
2	и в	14	2
3	том что	4	2
4	только в	7	1
5	и не	12	1
6	то же	9	1
7	ясно что	1	1
8	это способно	1	1
9	в которых	5	1
10	да и	2	1
11	для них	2	1
12	к чему	2	1
13	в этом	10	1
14	главным образом	2	1
15	столь же	3	1
16	сводится к	3	1
17	именно в	2	1
18	ни к	1	1
19	и только	1	1
20	и то	1	1
21	в частности	2	1
22	чем к	1	1
23	потому что	3	1
24	далеко не	1	1
25	хотя бы	8	1
26	в значительной	2	1
27	в самом	1	1
28	совершенно ясно	1	1
29	время в	2	1
30	не будем	2	1
31	на заре	1	1
32	с о	2	1
33	все это	2	1
34	гораздо более	1	1
35	более чем	2	1
36	от многих	1	1
37	одно и	1	1
38	тем более	2	1
