N	4gram	Losev_Vlad_3	Marksizm
1	бы то ни было	1	8
2	в то же время	2	3
3	на самом же деле	2	2
4	в самом деле ведь	1	2
5	так же как и	1	2
6	мы не будем здесь	1	1
7	и в таком случае	1	1
8	второй половины xix века	1	1
9	с другой стороны оно	1	1
10	до сих пор не	1	1
11	выходит далеко за пределы	1	1
12	к тому что все	1	1
13	с этой точки зрения	1	1
14	не будем здесь входить	1	1
15	сводится к тому что	2	1
16	в том что он	1	1
17	не выходит за пределы	1	1
18	будем здесь входить в	1	1
19	отчет в том что	1	1
20	какой бы то ни	1	1
21	себе отчет в том	1	1
