N	3gram	Potebnia_M_2	NovoeSre
1	не может быть	2	4
2	подобно тому как	4	3
3	в наше время	1	3
4	со всех сторон	1	3
5	в этом смысле	2	2
6	и не во	1	2
7	вместе с тем	1	2
8	с одной стороны	3	2
9	с другой стороны	2	2
10	вопрос о том	1	2
11	и того же	6	1
12	и в жизни	2	1
13	только потому что	2	1
14	мы говорим что	1	1
15	а не с	2	1
16	то время как	3	1
17	одного и того	6	1
18	есть прежде всего	2	1
19	во времени в	1	1
20	в зависимость от	1	1
21	потому что не	1	1
22	до сих пор	4	1
23	и во всех	2	1
24	и не может	1	1
25	смысле в каком	1	1
26	том случае если	1	1
27	сами по себе	7	1
28	в отличие от	1	1
29	тому как в	1	1
30	и это есть	1	1
31	заключает в себе	4	1
32	и в природе	1	1
33	может быть только	1	1
34	и не в	1	1
35	в том случае	1	1
36	том смысле в	1	1
37	в том чтобы	1	1
38	не могут быть	3	1
39	не в том	2	1
40	то что он	1	1
41	во всяком случае	7	1
42	быть может еще	1	1
43	о том что	1	1
44	в то время	4	1
45	то что в	2	1
46	мы говорим о	1	1
47	которые могут быть	1	1
48	есть такой же	1	1
49	в большинстве случаев	1	1
50	в том смысле	4	1
51	в том что	7	1
52	как и в	1	1
