N	2gram	Medvedev_U_1	PoTuStor
1	может быть	6	17
2	и в	14	16
3	в этом	7	9
4	таким образом	2	9
5	и только	5	9
6	мы можем	1	9
7	прежде всего	8	9
8	и с	2	8
9	не может	7	8
10	с его	2	7
11	не только	10	7
12	сказать что	1	7
13	самом деле	2	6
14	конечно не	4	6
15	и это	1	6
16	для него	3	6
17	что такое	4	5
18	только для	1	5
19	отнюдь не	1	4
20	но в	3	4
21	в этой	4	4
22	в нем	1	4
23	художественного творчества	5	4
24	все это	5	4
25	так и	1	4
26	можно сказать	1	4
27	в его	2	4
28	только в	2	4
29	для всех	2	4
30	и даже	1	4
31	но и	4	4
32	и не	8	4
33	и все	1	4
34	хотя бы	5	4
35	все что	1	4
36	мы полагаем	1	3
37	их в	1	3
38	этом смысле	2	3
39	том что	2	3
40	сих пор	2	3
41	по крайней	2	3
42	до сих	2	3
43	представлений и	1	3
44	в конечном	4	3
45	крайней мере	2	3
46	в том	2	3
47	полагаем что	1	3
48	даже не	1	3
49	в области	3	3
50	и др	1	3
51	и потому	1	3
52	могут быть	2	3
53	что в	1	3
54	то что	7	3
55	только как	1	3
56	же как	1	2
57	в самом	2	2
58	мы не	2	2
59	конечном счете	4	2
60	нет и	1	2
61	за пределы	1	2
62	в этот	1	2
63	и через	2	2
64	он не	1	2
65	представлениями и	1	2
66	то же	5	2
67	связанные с	1	2
68	связанных с	1	2
69	было бы	3	2
70	как и	3	2
71	на первый	2	2
72	в своей	3	2
73	почти не	1	2
74	все и	1	2
75	и вся	1	2
76	никогда не	1	2
77	сводится к	2	2
78	не могут	2	2
79	т.е в	2	2
80	в пределах	1	2
81	для этого	3	2
82	о том	1	2
83	и содержание	1	2
84	что и	2	2
85	что он	2	2
86	и действительно	1	2
87	и так	1	2
88	в итоге	2	2
89	у него	1	2
90	что мы	2	2
91	в частности	3	2
92	к следующему	1	2
93	в свое	1	2
94	но это	2	2
95	и для	2	2
96	не существует	1	2
97	ни было	3	2
98	не есть	2	2
99	ее в	1	2
100	к этому	1	2
101	человека и	1	1
102	и то	3	1
103	он может	1	1
104	мы имеем	1	1
105	методом и	1	1
106	а для	1	1
107	но даже	2	1
108	в ней	1	1
109	он был	1	1
110	первый план	1	1
111	бы то	3	1
112	где же	1	1
113	но не	2	1
114	отказ от	1	1
115	не входит	1	1
116	к сожалению	3	1
117	мы снова	1	1
118	в течение	1	1
119	то содержание	1	1
120	первый взгляд	1	1
121	как нам	1	1
122	все же	3	1
123	что по	1	1
124	есть ли	1	1
125	уже не	1	1
126	имеем в	1	1
127	по мнению	1	1
128	на его	1	1
129	теории и	1	1
130	что она	2	1
131	не следует	3	1
132	что было	1	1
133	но именно	1	1
134	находит себе	1	1
135	по его	1	1
136	то ни	3	1
137	что никакого	1	1
138	той же	1	1
139	входит в	1	1
140	это было	2	1
141	искусства в	1	1
142	форму и	2	1
143	еще одно	1	1
144	с тем	1	1
145	метода в	1	1
146	но если	1	1
147	друг другу	1	1
148	тогда когда	1	1
149	к изучению	1	1
150	ничего не	2	1
151	в виду	1	1
152	и делает	1	1
153	только одним	1	1
154	мы и	2	1
155	с другом	1	1
156	без точного	1	1
157	те основные	1	1
158	же самое	2	1
159	это содержание	1	1
160	что при	1	1
161	она не	1	1
162	он прежде	1	1
163	как таковым	1	1
164	данном случае	1	1
165	только при	1	1
166	вообще по	1	1
167	приводит к	1	1
168	и что	1	1
169	отсюда и	1	1
170	именно этот	1	1
171	если бы	2	1
172	о нем	1	1
173	в порядке	1	1
174	и т.д	3	1
175	философские социальные	1	1
176	нас в	2	1
177	мнению не	1	1
178	что только	1	1
179	тот же	1	1
180	заслуги конечно	1	1
181	бы ни	1	1
182	это же	1	1
183	с одной	1	1
184	в качестве	1	1
185	то и	1	1
186	а это	1	1
187	конечно нет	2	1
188	его и	2	1
189	наука о	1	1
190	в конце	2	1
191	не случайно	2	1
192	как раз	2	1
193	этом отношении	2	1
194	него уже	1	1
195	даже и	2	1
196	деле есть	1	1
197	с другой	4	1
198	эта работа	1	1
199	и прежде	1	1
200	и быть	1	1
201	что для	1	1
202	в некоторых	2	1
203	у нас	3	1
204	одной стороны	1	1
205	а не	10	1
206	своем месте	1	1
207	об ее	1	1
208	художественной формы	2	1
209	этой же	1	1
210	в данном	1	1
211	он будет	1	1
212	что же	1	1
213	друг с	1	1
214	быть не	1	1
215	счете только	1	1
216	точно и	1	1
217	это уже	2	1
218	при таком	2	1
219	формы и	2	1
220	довести до	1	1
221	из цельного	1	1
222	же в	1	1
223	психики и	1	1
224	в период	1	1
225	что угодно	1	1
226	на своем	1	1
227	и эта	1	1
228	это в	1	1
229	как на	1	1
