N	2gram	Voloshinov_1	Analitik
1	в качестве	1	31
2	может быть	14	29
3	в том	6	27
4	не может	16	22
5	и не	10	21
6	в частности	1	19
7	и в	12	18
8	но и	3	17
9	а не	5	17
10	отнюдь не	5	15
11	не только	4	15
12	не в	4	14
13	в этом	4	13
14	как и	5	13
15	в его	2	13
16	при этом	6	12
17	том что	5	12
18	в себе	3	11
19	то есть	1	11
20	произведения в	1	11
21	но не	2	10
22	то же	5	9
23	в то	2	9
24	но в	5	8
25	нуждается в	3	8
26	не есть	2	8
27	к тому	1	7
28	художественного смысла	1	7
29	художественного восприятия	1	7
30	особого рода	1	7
31	я и	1	6
32	мы имеем	2	6
33	по отношению	11	6
34	в самом	4	6
35	это не	2	6
36	далеко не	1	6
37	точки зрения	14	6
38	в своей	3	6
39	в основе	1	6
40	по своей	1	6
41	в себя	2	6
42	же время	1	6
43	только в	6	6
44	себя в	1	6
45	то что	5	6
46	прежде всего	8	6
47	художественного произведения	7	5
48	и на	4	5
49	в произведении	1	5
50	в целом	1	5
51	внутренней речи	3	5
52	и его	13	5
53	имеет место	2	5
54	о том	3	5
55	сводится к	1	5
56	и того	1	5
57	между тем	3	5
58	и т.п	1	5
59	как бы	13	5
60	художественное произведение	3	5
61	отношению к	11	5
62	что в	2	5
63	столь же	1	4
64	все же	4	4
65	тому же	2	4
66	с другими	2	4
67	не всегда	1	4
68	с точки	2	4
69	и другого	1	4
70	и более	3	4
71	по себе	3	4
72	имеем дело	1	4
73	в области	1	4
74	ни в	3	4
75	могут быть	2	4
76	так и	4	4
77	с ним	3	4
78	в другом	1	4
79	с другой	4	4
80	в конечном	1	4
81	искусства в	1	4
82	того что	3	4
83	дело с	2	4
84	уже не	4	4
85	конечном счете	1	4
86	именно в	1	4
87	себя и	2	4
88	во времени	1	4
89	вместе с	2	4
90	в литературе	4	4
91	истории литературы	2	4
92	ни было	4	4
93	подхода к	1	3
94	место в	2	3
95	бы то	3	3
96	в художественном	3	3
97	вступает в	1	3
98	и к	4	3
99	автора и	2	3
100	в нашем	11	3
101	в нем	6	3
102	он не	2	3
103	по природе	2	3
104	подобно тому	1	3
105	таким образом	12	3
106	то ни	3	3
107	нашем случае	1	3
108	смысл и	2	3
109	в котором	3	3
110	художественное восприятие	1	3
111	того чтобы	1	3
112	в таком	1	3
113	как будто	1	3
114	не могут	1	3
115	если бы	9	3
116	к нему	4	3
117	с его	2	3
118	еще не	3	3
119	с одной	2	3
120	что и	2	3
121	одной стороны	2	3
122	а с	1	3
123	что не	4	3
124	более того	2	3
125	говорящего в	1	3
126	тому как	1	3
127	что мы	5	3
128	и все	2	3
129	хотя бы	5	3
130	о литературе	1	3
131	или иного	1	3
132	не остается	2	2
133	самом деле	3	2
134	на самом	4	2
135	едва ли	2	2
136	на себя	1	2
137	и то	2	2
138	такого анализа	1	2
139	между собой	2	2
140	данном случае	2	2
141	на основе	1	2
142	то он	1	2
143	отношение к	4	2
144	произведение не	1	2
145	за пределы	4	2
146	что именно	1	2
147	как к	3	2
148	как уже	2	2
149	его к	2	2
150	то в	1	2
151	все эти	3	2
152	бы не	2	2
153	думать что	1	2
154	не к	3	2
155	художественного высказывания	1	2
156	какой бы	1	2
157	и по	3	2
158	на этом	1	2
159	или иных	1	2
160	произведения с	1	2
161	и с	3	2
162	на все	2	2
