N	2gram	Trubetskoy_1	Psycholo
1	то что	7	37
2	и в	26	30
3	в том	11	27
4	что в	9	24
5	и что	4	23
6	потому что	7	23
7	том что	7	21
8	того чтобы	5	20
9	таким образом	22	20
10	для того	5	20
11	как бы	12	19
12	на то	2	17
13	что он	4	17
14	не только	10	16
15	в этом	15	14
16	в самом	4	14
17	то есть	4	13
18	как раз	1	13
19	так же	5	13
20	в сущности	1	12
21	с одной	7	12
22	одной стороны	7	12
23	вместе с	15	12
24	может быть	10	11
25	если бы	3	11
26	что мы	2	11
27	как на	8	11
28	о том	6	10
29	никогда не	5	9
30	так как	9	9
31	с другой	8	9
32	для этого	2	9
33	не может	4	9
34	сказать что	2	9
35	самом деле	1	8
36	мы имеем	2	8
37	что это	3	8
38	он должен	1	8
39	при этом	3	8
40	заключается в	1	8
41	с тем	18	8
42	сейчас же	1	8
43	не в	2	8
44	к тому	6	8
45	и это	2	8
46	того что	3	8
47	мы видим	1	8
48	а не	5	8
49	могут быть	1	8
50	то же	4	7
51	но не	8	7
52	все же	6	7
53	и как	3	7
54	в нем	4	7
55	точки зрения	13	7
56	по себе	1	7
57	совершенно ясно	1	7
58	мы можем	2	7
59	мы уже	1	6
60	в своем	3	6
61	и если	3	6
62	что она	1	6
63	на этом	1	6
64	факт что	1	6
65	что все	4	6
66	ясно что	3	6
67	как и	1	6
68	что с	1	6
69	и его	1	6
70	когда мы	1	6
71	и здесь	2	6
72	о котором	2	6
73	уже в	2	6
74	тем что	1	6
75	но и	9	6
76	именно в	2	6
77	и не	8	6
78	и для	5	6
79	что оно	4	6
80	совершенно не	1	6
81	жизни и	2	6
82	и есть	1	5
83	еще не	2	5
84	что они	1	5
85	что именно	2	5
86	когда он	3	5
87	в себе	6	5
88	в этой	4	5
89	было бы	1	5
90	во внимание	1	5
91	несмотря на	6	5
92	сих пор	5	5
93	только не	2	5
94	же самое	2	5
95	но в	7	5
96	один из	2	5
97	дело с	1	5
98	только в	4	5
99	до сих	5	5
100	а с	7	5
101	и потому	6	5
102	бы в	1	5
103	другой стороны	1	5
104	в своих	1	5
105	как только	1	4
106	в виду	2	4
107	в ней	1	4
108	друг к	1	4
109	могли бы	1	4
110	и к	5	4
111	к другу	2	4
112	есть не	1	4
113	в них	2	4
114	именно то	1	4
115	в своей	1	4
116	не могли	1	4
117	из которых	4	4
118	казалось бы	1	4
119	как она	1	4
120	заключает в	2	4
121	у нас	1	4
122	указывает на	1	4
123	по сравнению	2	4
124	мысль о	2	4
125	и совершенно	1	4
126	в его	5	4
127	на одном	1	4
128	только что	2	4
129	этот вопрос	1	4
130	не можем	1	4
131	только на	1	4
132	в конце	6	4
133	должен был	4	4
134	прежде всего	2	4
135	там где	1	4
136	уже давно	2	4
137	тот факт	1	4
138	о чем	1	4
139	сравнению с	2	4
140	в результате	3	4
141	и все	2	4
142	а в	4	4
143	не есть	1	4
144	тем же	1	3
145	в их	1	3
146	той же	1	3
147	смотреть на	2	3
148	мы не	1	3
149	и о	3	3
150	в учении	1	3
151	в каждой	1	3
152	и на	2	3
153	события в	1	3
154	в ее	1	3
155	как в	1	3
156	и наконец	2	3
157	в которой	3	3
158	из этих	10	3
159	на его	1	3
160	к искусству	1	3
161	он не	4	3
162	состоит в	2	3
163	не как	2	3
164	в силу	5	3
165	так например	2	3
166	находит себе	1	3
167	человека в	1	3
168	это не	1	3
169	эти два	1	3
170	ни в	1	3
171	в этих	4	3
172	самого начала	2	3
173	и отсюда	1	3
174	иметь в	1	3
175	учения о	1	3
176	этом отношении	2	3
177	в каком	1	3
178	с другом	5	3
179	не могут	2	3
180	данном случае	1	3
181	с самого	3	3
182	идет речь	1	3
183	так и	6	3
184	именно потому	1	3
185	в состав	1	3
186	что и	6	3
187	и только	4	3
188	формой и	1	3
189	видим что	1	3
190	что здесь	1	3
191	тот же	2	3
192	которое мы	1	3
193	так что	3	3
194	для него	3	3
195	у него	1	3
