N	4gram	Voloshinov_1	slovoVRo
1	в то же время	3	12
2	но в то же	2	4
3	в большей или меньшей	1	3
4	не выходит за пределы	1	3
5	или во всяком случае	1	2
6	с точки зрения самого	1	2
7	и с точки зрения	1	1
8	слово в то же	1	1
9	в тесной связи с	1	1
10	до сих пор совершенно	1	1
11	и прежде всего в	1	1
12	одной и той же	2	1
13	это не значит конечно	1	1
14	в какой степени не	1	1
15	не значит конечно что	1	1
16	исходить из языка как	1	1
17	с этой точки зрения	1	1
18	на самом же деле	2	1
19	в неразрывной связи с	1	1
20	одни и те же	5	1
21	находит свое выражение в	1	1
22	сих пор совершенно не	1	1
23	язык с этой точки	1	1
24	бы то ни было	8	1
25	имеют громадное значение в	1	1
26	пор совершенно не изученных	1	1
27	ни в какой степени	1	1
28	в узком смысле и	1	1
