N	3gram	Vygotskiy__4	Sotsiolo
1	в том что	31	2
2	в конце концов	1	2
3	по отношению к	1	2
4	в систему его	1	1
5	в настоящее время	2	1
6	не может не	2	1
7	только то что	1	1
8	то что в	1	1
9	то же самое	7	1
10	о том как	1	1
11	благодаря тому что	1	1
12	том что это	1	1
13	друг от друга	1	1
14	а с другой	2	1
15	в этой области	2	1
16	в связи с	3	1
17	на первый план	4	1
18	все эти вопросы	1	1
19	чуть ли не	1	1
20	бы они ни	1	1
21	они ни были	1	1
22	с одной стороны	9	1
23	развития и затем	1	1
24	он различает два	1	1
25	так и остаются	1	1
26	во всяком случае	3	1
