N	2gram	Bakhtin_fo_2	KulturaY
1	и т	14	54
2	т п	11	41
3	и в	46	23
4	точки зрения	10	23
5	в том	10	22
6	не только	11	17
7	в этом	22	16
8	было бы	2	16
9	с точки	8	16
10	самом деле	1	14
11	может быть	7	14
12	в самом	1	13
13	что в	5	13
14	потому что	8	12
15	для того	8	12
16	вопрос о	1	11
17	том что	4	11
18	того чтобы	8	11
19	в его	8	11
20	того что	3	11
21	а не	4	11
22	можно говорить	1	10
23	у нас	2	10
24	и не	9	10
25	еще не	6	9
26	таким образом	3	9
27	так как	6	9
28	прежде всего	14	9
29	т д	3	8
30	лишь в	2	8
31	если бы	1	8
32	в виду	3	8
33	уже не	3	8
34	до сих	2	8
35	сих пор	2	8
36	между прочим	1	8
37	как на	2	8
38	как это	2	7
39	все эти	5	7
40	в нашем	1	7
41	должно быть	5	7
42	те же	6	7
43	и что	1	7
44	с другой	2	7
45	или иной	2	7
46	в данном	2	7
47	слова и	3	7
48	сказать что	1	7
49	то же	8	6
50	говорить о	2	6
51	в общем	1	6
52	с помощью	3	6
53	только в	11	6
54	так и	7	6
55	при этом	6	6
56	и тем	1	6
57	с тем	2	6
58	в их	3	6
59	связи с	8	6
60	не может	2	6
61	могут быть	2	6
62	по себе	2	6
63	о том	4	6
64	что и	3	6
65	тот же	3	6
66	что он	3	6
67	также и	4	5
68	и есть	2	5
69	как мы	6	5
70	в чем	1	5
71	все же	6	5
72	хотя и	3	5
73	из этих	4	5
74	как бы	10	5
75	как и	8	5
76	не значит	1	5
77	не в	9	5
78	вовсе не	13	5
79	не могут	1	5
80	той или	1	5
81	и должно	2	5
82	всякого рода	1	5
83	в поэзии	2	5
84	тем что	3	5
85	далеко не	2	5
86	в связи	8	5
87	тем более	3	5
88	но это	2	5
89	а в	3	5
90	совершенно не	1	5
91	того же	3	4
92	тех же	1	4
93	в сущности	2	4
94	точка зрения	3	4
95	как в	4	4
96	в своем	5	4
97	целый ряд	3	4
98	этого слова	1	4
99	в своей	1	4
100	не столько	1	4
101	которые в	1	4
102	тому что	1	4
103	в числе	1	4
104	и о	2	4
105	в ее	1	4
106	данном случае	1	4
107	а также	3	4
108	между тем	1	4
109	тех пор	1	4
110	один из	2	4
111	с одной	2	4
112	что не	1	4
113	не было	3	4
114	одной стороны	1	4
115	в той	2	4
116	этом случае	2	4
117	то что	7	4
118	в таком	1	4
119	на самом	1	3
120	это и	1	3
121	то в	2	3
122	по преимуществу	1	3
123	есть не	1	3
124	мы не	1	3
125	в ней	1	3
126	время в	1	3
127	но не	5	3
128	внутренняя форма	1	3
129	но как	1	3
130	отношение к	3	3
131	отнюдь не	4	3
132	что как	1	3
133	и к	2	3
134	бы и	1	3
135	бы не	1	3
136	он не	5	3
137	и вот	2	3
138	и с	6	3
139	и рядом	2	3
140	с этой	4	3
141	мы видели	2	3
142	в которых	3	3
143	и более	2	3
144	в отношении	2	3
145	она не	2	3
146	в то	5	3
147	не имеет	1	3
148	на него	1	3
149	должна быть	1	3
150	п в	1	3
151	говорить и	1	3
152	не по	1	3
153	был бы	1	3
154	что на	3	3
155	всего этого	1	3
156	в результате	1	3
157	но и	9	3
158	это не	2	3
159	и только	2	3
160	и действительно	1	3
161	уже в	4	3
162	ни в	1	3
163	человеческого общения	1	3
164	именно в	2	3
165	и пр	2	3
166	в ряду	4	3
167	когда мы	1	3
168	по существу	5	3
169	там где	2	3
170	это уже	1	3
171	этого рода	1	3
172	пор еще	1	3
173	к тому	3	3
174	формы и	1	3
175	другой стороны	1	3
176	по поводу	1	3
177	они не	1	3
178	смысле слова	2	2
179	чтобы не	1	2
180	тем же	2	2
181	бы уже	1	2
182	на материале	1	2
183	мы имеем	2	2
184	подчеркнуть что	1	2
185	и говорить	1	2
186	здесь не	2	2
187	в различных	1	2
188	и вопрос	1	2
189	отличие от	1	2
190	за пределы	1	2
191	что они	4	2
192	связи и	1	2
193	всю эту	2	2
194	это самое	1	2
195	когда он	1	2
196	и как	3	2
197	но в	10	2
198	учение о	1	2
199	и тот	1	2
200	как он	2	2
201	так сказать	7	2
202	и самый	2	2
203	лишь что	1	2
204	же это	1	2
205	если же	1	2
206	в корне	2	2
207	на этом	2	2
208	но все	1	2
209	что все	2	2
210	и дальше	1	2
211	этих форм	5	2
212	его в	6	2
213	на протяжении	3	2
214	как об	1	2
215	становится и	1	2
216	чем в	1	2
217	такой же	1	2
218	и того	1	2
219	смысл и	1	2
220	одного и	1	2
221	в этих	3	2
222	из того	1	2
223	в котором	4	2
224	в отличие	1	2
225	не как	1	2
226	точку зрения	1	2
227	однако в	1	2
228	вернемся к	3	2
229	раз и	1	2
230	что есть	1	2
231	в таких	1	2
232	слова как	1	2
233	по своему	2	2
234	более что	2	2
235	никак не	1	2
236	об особой	1	2
237	такая же	1	2
238	так в	1	2
239	но мы	1	2
240	в пределах	5	2
241	самое это	1	2
242	в дальнейшем	5	2
243	здесь как	1	2
244	иную функцию	1	2
245	и здесь	1	2
246	внимание на	1	2
247	можно сказать	2	2
248	доходит до	1	2
249	можно видеть	1	2
250	и об	1	2
251	моменты в	1	2
252	в двух	2	2
253	о значении	1	2
254	вопрос об	1	2
255	тот или	1	2
256	все они	3	2
257	именно на	1	2
258	в качестве	3	2
259	конечно не	4	2
260	то и	1	2
261	что если	1	2
262	дано в	2	2
263	в одном	7	2
264	в некоторых	2	2
265	в особенности	6	2
266	точек зрения	1	2
267	еще и	1	2
268	на этот	1	2
269	о чем	3	2
270	в частности	5	2
271	вместе с	9	2
272	так же	2	2
273	в тех	1	2
274	в условиях	1	2
275	только для	2	2
276	все это	6	2
277	кроме того	3	2
278	к вопросу	3	2
279	каждой из	1	2
280	мы найдем	1	2
281	указать на	1	2
282	чтобы понять	1	2
283	еще более	4	2
284	не знает	2	2
285	равно как	2	2
286	и иной	1	2
287	во всяком	2	2
288	том числе	3	2
289	говорили о	1	1
290	который должен	1	1
291	ту же	2	1
292	говоря о	1	1
293	отношения к	4	1
294	например в	1	1
295	и то	1	1
296	значении этого	1	1
297	из самых	2	1
298	не имеют	1	1
299	был и	1	1
300	к созданию	1	1
301	в несколько	1	1
302	или с	1	1
303	на тех	1	1
304	во времени	3	1
305	на место	1	1
306	совершенно правильное	1	1
307	и идей	3	1
308	почти все	3	1
309	время как	1	1
310	в полной	1	1
311	в большом	1	1
312	и самой	1	1
313	конечно и	1	1
314	как не	1	1
315	так называемые	1	1
316	что до	1	1
317	форм в	1	1
318	и на	7	1
319	между собой	1	1
320	он сам	1	1
321	заявил что	1	1
322	и играет	1	1
323	мы будем	3	1
324	не входит	1	1
325	значение и	4	1
326	менее всего	1	1
327	нет и	3	1
328	значение имеет	2	1
329	между словом	1	1
330	идет о	1	1
331	в одной	2	1
332	с этим	5	1
333	не определяется	1	1
334	приближение к	1	1
335	как уже	3	1
336	для которой	1	1
337	роль играет	1	1
338	действия и	1	1
339	в которой	1	1
340	примеров достаточно	1	1
341	культуры и	1	1
342	это есть	1	1
343	ни один	1	1
344	тон в	1	1
345	формы в	1	1
346	в главе	7	1
347	им в	1	1
348	общий тон	1	1
349	многообразие и	1	1
350	имеем в	3	1
351	и те	1	1
352	почти всегда	2	1
353	не могла	2	1
354	мы наблюдаем	3	1
355	а вовсе	1	1
356	связанные с	5	1
357	наблюдаем в	1	1
358	же реальное	1	1
359	всех этих	7	1
360	образом и	1	1
361	ни была	2	1
362	данном отношении	1	1
363	сказал что	2	1
364	его от	1	1
365	будем говорить	1	1
366	так например	1	1
367	в основу	1	1
368	природа и	2	1
369	а вместе	1	1
370	в каждом	1	1
371	здесь мы	3	1
372	с формами	2	1
373	в другом	3	1
374	сказать в	1	1
375	что один	1	1
376	после этого	2	1
377	которая в	1	1
378	чаще всего	1	1
379	литературной и	1	1
380	в беседе	1	1
381	рядом с	2	1
382	все равно	1	1
383	и следовало	1	1
384	и уже	1	1
385	когда я	1	1
386	для чего	2	1
387	или три	1	1
388	не мог	2	1
389	лучше всего	1	1
390	и становится	2	1
391	на значение	1	1
392	переносится в	1	1
393	во время	10	1
394	и ее	1	1
395	могут не	1	1
396	а чтобы	1	1
397	и степени	1	1
398	представление о	2	1
399	в частном	1	1
400	от его	1	1
401	значение для	2	1
402	одном из	2	1
403	друг другу	2	1
404	о его	2	1
405	ее так	1	1
406	важную роль	1	1
407	случае мы	1	1
408	ему как	1	1
409	все для	1	1
410	или что	1	1
411	как можно	3	1
412	есть прежде	1	1
413	правда в	1	1
414	в основе	6	1
415	функцию в	1	1
416	чем не	2	1
417	рассматривать как	1	1
418	так много	1	1
419	о природе	1	1
420	в самой	2	1
421	же время	4	1
422	в форму	1	1
423	того в	1	1
424	по своей	1	1
425	за исключением	1	1
426	во всем	1	1
427	и его	12	1
428	большом количестве	1	1
429	котором в	1	1
430	за ними	4	1
431	всему этому	1	1
432	начиная с	1	1
433	чрезвычайно важно	1	1
434	же отношение	1	1
435	лежит в	2	1
436	в действительной	2	1
437	же самое	3	1
438	должны быть	1	1
439	всего в	3	1
440	вопросы эти	3	1
441	как для	1	1
442	в наши	1	1
443	и строго	1	1
444	когда они	1	1
445	приходит к	1	1
446	на помощь	1	1
447	значении в	1	1
448	но только	1	1
449	от друга	2	1
450	свою очередь	1	1
451	связи со	1	1
452	без всякого	2	1
453	на основе	3	1
454	характер и	1	1
455	ряду с	1	1
456	следовательно и	3	1
457	смысле но	1	1
458	выражения и	1	1
459	в правом	1	1
460	никогда не	6	1
461	по аналогии	2	1
462	это вовсе	1	1
463	и каждый	1	1
464	она была	1	1
465	имеется в	1	1
466	мы в	1	1
467	со всем	1	1
468	особенности в	1	1
469	но здесь	2	1
470	сводится к	1	1
471	вот почему	1	1
472	другом месте	2	1
473	в речи	1	1
474	на этой	1	1
475	может не	1	1
476	например описание	1	1
477	не выходит	1	1
478	затем в	3	1
479	по этому	1	1
480	и смыслом	1	1
481	но он	2	1
482	один или	1	1
483	тем как	1	1
484	за эту	1	1
485	и хорошо	1	1
486	нуждается в	1	1
487	говорит он	1	1
488	есть с	1	1
489	тем менее	1	1
490	котором он	1	1
491	форм для	1	1
492	к определенному	1	1
493	своему содержанию	1	1
494	вообще в	1	1
495	в него	1	1
496	еще о	1	1
497	что здесь	2	1
498	быть и	2	1
499	мы вовсе	1	1
500	же к	1	1
501	и дело	1	1
502	мы видим	2	1
503	мы увидим	1	1
504	что даже	1	1
505	в себе	4	1
506	словом и	2	1
507	и так	2	1
508	до нас	1	1
509	поэтому и	1	1
510	в самое	1	1
511	литературе и	1	1
512	это же	1	1
513	нам важно	1	1
514	и др	5	1
515	оказывается в	1	1
516	не можем	1	1
517	иной форме	1	1
518	вернуться к	1	1
519	в виде	1	1
520	свидетельствует о	1	1
521	является не	1	1
522	этому вопросу	1	1
523	здесь же	1	1
524	на время	1	1
525	сказано в	2	1
526	характерно что	2	1
527	для него	3	1
528	и их	4	1
529	не для	2	1
530	то время	1	1
531	но что	1	1
532	только с	1	1
533	каждый из	2	1
534	и дурной	1	1
535	и делает	1	1
536	не противоречит	1	1
537	им по	1	1
538	друг от	2	1
539	когда во	1	1
540	из приведенных	1	1
541	факт в	1	1
542	выходит за	1	1
543	мы скажем	1	1
544	сюда же	2	1
545	что тот	1	1
546	совершенно ином	1	1
547	форме и	1	1
548	и прежде	3	1
549	такое же	1	1
550	и несколько	2	1
551	так вот	1	1
552	следовало бы	1	1
553	смысла и	2	1
554	а на	2	1
555	деле может	1	1
556	которых мы	1	1
557	более того	1	1
558	и непосредственно	1	1
559	его по	1	1
560	а так	1	1
