N	3gram	Potebnia_M_4	EvropaiC
1	в том что	7	16
2	до сих пор	4	12
3	по отношению к	8	10
4	с точки зрения	3	8
5	а между тем	4	7
6	на самом деле	3	7
7	на то что	4	7
8	друг от друга	1	6
9	для того чтобы	4	6
10	лишь в том	1	5
11	о том что	5	4
12	в том случае	3	4
13	с другой стороны	1	4
14	может быть и	1	4
15	том случае если	1	4
16	в этом случае	5	4
17	с течением времени	2	4
18	в своем развитии	2	4
19	сих пор не	1	4
20	тем не менее	4	4
21	не может быть	5	4
22	заключается в том	1	3
23	так или иначе	2	3
24	только в степени	1	3
25	в том же	2	3
26	в настоящее время	1	3
27	не подлежит сомнению	1	3
28	и того же	1	3
29	таким образом в	1	3
30	и то что	4	3
31	одного и того	1	3
32	в связи с	1	3
33	в данном случае	2	3
34	не более как	1	2
35	в том виде	1	2
36	не в состоянии	2	2
37	в то же	3	2
38	таким же образом	1	2
39	с одной стороны	1	2
40	же касается до	1	2
41	рано или поздно	2	2
42	случае если бы	1	2
43	как и в	1	2
44	и в том	2	2
45	заключает в себе	8	2
46	и все что	1	2
47	что же касается	1	2
48	ничего общего с	1	2
49	ответить на вопрос	1	2
50	друг к другу	1	2
51	но так как	1	2
52	то же время	3	2
53	вместе с тем	3	2
54	не следует чтобы	1	2
55	в том и	2	2
56	в таком же	1	2
57	во всяком случае	3	2
58	в свою очередь	1	2
59	потому что как	2	1
60	это не так	1	1
61	а в том	2	1
62	с самого начала	1	1
63	не без влияния	1	1
64	таким образом получается	1	1
65	в ту же	1	1
66	состоит именно в	1	1
67	между тем как	2	1
68	самом деле есть	1	1
69	одной и той	1	1
70	того же явления	1	1
71	в том числе	1	1
72	в с d	1	1
73	точно так же	1	1
74	в себе никаких	1	1
75	что рано или	1	1
76	что мы можем	1	1
77	до тех пор	6	1
78	в самой сущности	1	1
79	если признать что	1	1
80	а следовательно и	1	1
81	на каждом шагу	1	1
82	мы не знаем	1	1
83	мы видели что	1	1
84	в общих чертах	2	1
85	лишь тогда когда	3	1
86	не только не	3	1
87	так что в	1	1
88	не в том	2	1
89	чтобы ответить на	1	1
90	из самой сущности	1	1
91	более близкие к	1	1
92	если бы все	1	1
93	том и другом	1	1
94	каждый раз когда	1	1
95	образом мы видим	1	1
96	а может быть	1	1
97	иметь в виду	1	1
98	прежде всего для	1	1
99	есть не более	1	1
100	тогда когда оно	2	1
101	дело в том	1	1
102	что все эти	1	1
103	к тому что	1	1
104	и все это	1	1
105	то же самое	4	1
106	не мог удержаться	1	1
107	и не может	1	1
108	же самое что	1	1
109	самое незначительное количество	1	1
110	стороны одного и	1	1
111	том виде в	1	1
112	или лучше сказать	1	1
113	а потом и	1	1
114	настоящее время мы	1	1
115	и проч но	2	1
116	и той же	1	1
117	но при этом	1	1
118	может быть не	1	1
119	только в этом	1	1
120	которые могут быть	1	1
121	это было бы	1	1
122	смысле этого слова	1	1
123	и так как	1	1
124	нет и не	1	1
125	только в том	2	1
126	только тогда когда	4	1
127	первый взгляд кажется	1	1
128	а для того	1	1
129	выше мы видели	1	1
130	в одно целое	1	1
131	все то что	1	1
132	как бы он	1	1
133	том числе и	1	1
134	таким образом мы	2	1
135	как бы ни	1	1
136	и проч в	1	1
137	не менее в	1	1
138	и таким образом	3	1
139	а не в	1	1
140	столь же мало	1	1
141	том что как	1	1
142	на первый взгляд	1	1
143	то есть в	2	1
144	вытекают из самой	1	1
145	заключают в себе	1	1
146	разница только в	1	1
147	именно в том	1	1
148	на той ступени	1	1
149	таким образом все	1	1
150	о котором мы	1	1
151	этом случае мы	1	1
152	лишь самое незначительное	1	1
153	что так как	1	1
154	на наших глазах	1	1
155	таким образом как	1	1
156	а в с	1	1
157	хотя и не	1	1
158	но в этой	1	1
159	по крайней мере	5	1
160	данный промежуток времени	1	1
161	в то время	1	1
