N	2gram	Vinokur_St_3	Problema
1	то есть	2	46
2	в его	12	43
3	и не	10	42
4	и в	25	38
5	не может	7	27
6	может быть	19	26
7	как бы	6	22
8	и с	4	17
9	и его	3	16
10	в этом	24	15
11	в нем	1	15
12	и т	8	14
13	только в	6	13
14	т п	6	13
15	прежде всего	10	13
16	независимо от	5	13
17	но не	2	12
18	за пределы	1	12
19	художественного творчества	1	12
20	к материалу	2	11
21	во всех	2	11
22	в области	6	11
23	ни в	5	11
24	и для	4	11
25	отношение к	4	10
26	таким образом	10	10
27	в их	3	10
28	к нему	4	10
29	не только	12	9
30	в поэзии	2	9
31	не имеет	2	9
32	его в	1	9
33	но и	9	9
34	и как	1	8
35	было бы	7	8
36	точки зрения	7	8
37	место в	6	8
38	произведения как	2	8
39	в том	20	8
40	и др	4	8
41	то что	12	8
42	еще не	2	7
43	в самом	2	7
44	в плане	2	7
45	как и	4	7
46	не в	6	7
47	как мы	2	7
48	с другой	5	7
49	между тем	6	7
50	отметить что	5	7
51	слова в	1	7
52	с помощью	1	7
53	в своей	4	7
54	что в	19	7
55	отношения к	1	6
56	самом деле	2	6
57	на основе	2	6
58	там где	1	6
59	и наконец	3	6
60	в пределах	1	6
61	не к	1	6
62	с точки	4	6
63	и этим	1	6
64	ничего не	4	6
65	содержания и	1	6
66	все же	4	6
67	а в	6	6
68	тем как	2	5
69	в своем	1	5
70	все эти	3	5
71	то же	5	5
72	это не	7	5
73	в них	5	5
74	рядом с	1	5
75	творчества и	1	5
76	так и	5	5
77	и о	1	5
78	никогда не	2	5
79	с ним	1	5
80	конечно не	1	5
81	не на	2	5
82	а не	5	5
83	могут быть	2	5
84	должно быть	1	5
85	формы и	1	5
86	на границах	1	5
87	все они	3	5
88	мы здесь	1	4
89	на самом	1	4
90	должна быть	1	4
91	в виду	2	4
92	в ней	4	4
93	относится к	4	4
94	как в	6	4
95	но в	5	4
96	в данном	1	4
97	не менее	2	4
98	но они	2	4
99	о значении	1	4
100	в то	7	4
101	чтобы стать	1	4
102	известной степени	1	4
103	здесь не	1	4
104	в ее	1	4
105	в произведении	1	4
106	можно было	1	4
107	о том	8	4
108	в других	1	4
109	в форме	2	4
110	и только	2	4
111	к которому	3	4
112	что не	2	4
113	материал в	1	4
114	искусства но	1	4
115	хотя бы	1	4
116	сказать что	4	4
117	другой стороны	5	4
118	также и	1	3
119	например в	4	3
120	на материале	1	3
121	говорить о	3	3
122	мы будем	1	3
123	точка зрения	4	3
124	иногда и	1	3
125	нет и	2	3
126	кроме того	3	3
127	нас за	1	3
128	и к	4	3
129	и художественного	1	3
130	в целом	4	3
131	он не	5	3
132	а как	4	3
133	и тем	4	3
134	несмотря на	3	3
135	том что	15	3
136	тем не	2	3
137	на него	1	3
138	как его	1	3
139	же время	3	3
140	или как	1	3
141	все то	1	3
142	в применении	1	3
143	и это	5	3
144	приводит к	1	3
145	в дальнейшем	1	3
146	ясно что	1	3
147	мы в	1	3
148	если бы	4	3
149	но здесь	1	3
150	и должно	1	3
151	на почве	5	3
152	этом смысле	4	3
153	одной из	2	3
154	как нечто	1	3
155	с одной	2	3
156	со всеми	1	3
157	в известной	1	3
158	себя и	2	3
159	одной стороны	3	3
160	его как	3	3
161	на фоне	1	3
162	связь с	4	3
163	применении к	1	3
164	и на	6	3
165	но это	4	3
166	все это	8	3
167	не больше	1	3
168	не является	3	3
169	с содержанием	1	3
170	и все	1	3
171	не знает	1	3
172	все что	1	3
173	они не	1	3
174	смысле слова	1	2
175	он может	2	2
176	в котором	5	2
177	его не	2	2
178	есть не	1	2
179	можно и	1	2
180	мы имеем	5	2
181	не во	1	2
182	совпадает с	1	2
183	и он	1	2
184	со словами	1	2
185	в чем	4	2
186	с его	3	2
187	но как	2	2
188	не все	1	2
189	в истории	1	2
190	показать что	1	2
191	и у	2	2
192	что это	16	2
193	бы не	1	2
194	на то	5	2
195	а к	1	2
196	он должен	1	2
197	на этом	3	2
198	в каждом	4	2
199	лишь в	4	2
200	и других	2	2
201	о которых	3	2
202	и при	1	2
203	и более	3	2
204	не могли	1	2
205	том же	1	2
206	и вообще	1	2
207	этой области	2	2
208	а иногда	1	2
209	что эта	2	2
210	дело в	1	2
211	одна из	2	2
212	и именно	1	2
213	того чтобы	1	2
214	в самой	1	2
215	а лишь	1	2
216	связи с	3	2
217	здесь же	1	2
218	этом отношении	4	2
219	у нас	4	2
220	отличается от	4	2
221	же самое	1	2
222	анализа и	1	2
223	слова с	1	2
224	для того	2	2
225	как новое	1	2
226	в работах	1	2
227	должен быть	2	2
228	что все	3	2
