N	2gram	Losev_Vlad_3	Myshleni
1	в том	18	42
2	том что	18	35
3	в процессе	1	27
4	таким образом	11	25
5	в этом	16	24
6	точки зрения	13	24
7	в качестве	3	21
8	и в	40	20
9	что в	17	19
10	заключается в	1	18
11	в основе	1	17
12	то же	4	16
13	не только	25	15
14	то что	28	15
15	что они	1	14
16	мышления и	1	14
17	как мы	8	13
18	в их	2	12
19	при этом	3	12
20	может быть	8	12
21	с другой	5	12
22	потому что	11	12
23	с точки	6	11
24	в его	14	11
25	так же	8	11
26	этого слова	1	11
27	в целом	2	11
28	мы должны	4	11
29	и то	9	10
30	в истории	5	10
31	в себе	9	10
32	в отношении	5	10
33	своего развития	1	10
34	того что	7	10
35	мы видим	1	10
36	только в	13	10
37	если мы	4	10
38	так как	7	10
39	того же	2	9
40	и другие	1	9
41	и как	7	9
42	как и	7	9
43	мы могли	1	9
44	что и	7	9
45	с одной	3	9
46	одной стороны	3	9
47	как это	4	9
48	другой стороны	2	9
49	но и	18	9
50	и тем	3	8
51	было бы	4	8
52	этом смысле	3	8
53	и что	8	8
54	вместе с	7	8
55	и не	25	8
56	в результате	4	8
57	самом деле	1	7
58	один и	1	7
59	в своей	9	7
60	и более	2	7
61	тем самым	2	7
62	же самое	3	7
63	того чтобы	3	7
64	тем что	5	7
65	этом отношении	2	7
66	а не	8	7
67	что мы	2	7
68	как бы	3	7
69	же как	3	6
70	в самом	4	6
71	и на	6	6
72	тому же	5	6
73	одно и	2	6
74	те же	1	6
75	с тем	7	6
76	мы видели	3	6
77	к одному	1	6
78	по своей	2	6
79	к тому	7	6
80	можно было	5	6
81	в силу	2	6
82	его в	2	6
83	что он	5	6
84	уже в	3	6
85	не может	14	6
86	такого рода	4	6
87	сказать что	12	6
88	речь идет	1	5
89	мы уже	5	5
90	как в	1	5
91	с этим	2	5
92	все же	4	5
93	перед нами	3	5
94	и к	2	5
95	в действительности	1	5
96	все эти	5	5
97	на то	4	5
98	это не	3	5
99	только не	1	5
100	и его	10	5
101	не является	2	5
102	никогда не	11	5
103	так и	6	5
104	если бы	3	5
105	о том	11	5
106	не совпадают	1	5
107	для того	2	5
108	в частности	1	5
109	слова и	1	5
110	этой теории	1	4
111	в сущности	2	4
112	первый план	2	4
113	в своем	8	4
114	в нашем	2	4
115	как он	1	4
116	и с	9	4
117	первую очередь	1	4
118	с этой	2	4
119	на первый	2	4
120	в первую	1	4
121	и при	1	4
122	которые в	1	4
123	не в	3	4
124	тому что	4	4
125	что с	1	4
126	роль в	2	4
127	и только	3	4
128	с нашей	1	4
129	словом и	1	4
130	только что	2	4
131	является не	3	4
132	из них	2	4
133	друг друга	2	4
134	во всей	1	4
135	тех и	1	4
136	по своему	1	4
137	обратимся к	1	4
138	в смысле	6	4
139	и для	3	4
140	для нас	5	4
141	между ними	1	4
142	к этому	2	4
143	во всяком	3	4
144	этой точки	1	4
145	как известно	1	3
146	не имеют	2	3
147	с таким	2	3
148	в виду	3	3
149	в чем	3	3
150	а только	7	3
151	себе и	2	3
152	в настоящем	2	3
153	отнюдь не	5	3
154	когда он	1	3
155	говорит что	1	3
156	не являются	1	3
157	но в	4	3
158	в которой	2	3
159	в этой	8	3
160	он пользуется	1	3
161	мышление не	1	3
162	что все	7	3
163	различие между	1	3
164	на все	1	3
165	знает что	1	3
166	и других	1	3
167	на данной	1	3
168	ни в	10	3
169	чем в	4	3
170	в один	1	3
171	в этих	2	3
172	мы говорили	1	3
173	оно стало	1	3
174	важную роль	1	3
175	не менее	9	3
176	что эта	2	3
177	и является	1	3
178	во всем	6	3
179	связи с	2	3
180	не могут	2	3
181	ничего общего	5	3
182	должно быть	5	3
183	развития и	1	3
184	и поэтому	1	3
185	внимание на	1	3
186	является в	2	3
187	и во	1	3
188	которые мы	1	3
189	один из	1	3
190	одной из	2	3
191	но не	4	3
192	в какой	2	3
193	всяком случае	3	3
194	так что	14	3
195	от тех	1	3
196	из одной	1	3
197	но что	2	3
198	от того	4	3
199	со стороны	2	3
200	на этот	1	3
201	именно в	3	3
202	к которому	1	3
203	виде и	1	3
204	только к	2	3
205	в связи	3	3
206	наряду с	2	3
207	по существу	4	3
208	этом случае	1	3
209	и от	6	3
210	не подлежит	1	3
211	бы в	2	3
212	совершенно не	2	3
213	в виде	13	3
214	точно так	4	3
215	также и	17	2
216	что слово	1	2
217	должна быть	2	2
218	едва ли	11	2
219	для построения	1	2
220	мы имеем	3	2
221	что если	4	2
222	место в	1	2
223	указывая на	1	2
224	мы и	2	2
225	в ней	5	2
226	этому вопросу	1	2
227	нас интересует	1	2
228	он говорит	1	2
229	мы будем	2	2
230	общего к	1	2
231	отличие от	3	2
232	не просто	10	2
233	и речи	2	2
234	которые не	2	2
235	как говорит	2	2
236	стороны и	2	2
237	привести к	1	2
238	из этих	3	2
239	в известном	1	2
240	остановиться на	2	2
241	не есть	10	2
242	дальше и	2	2
243	теории и	1	2
244	в нем	3	2
245	именно то	1	2
246	никакому сомнению	1	2
247	то как	3	2
248	содержит в	5	2
249	но вместе	1	2
250	же не	2	2
251	действительности в	1	2
252	далеко не	3	2
253	оно имеет	1	2
254	такой же	4	2
255	нисколько не	3	2
256	со всей	1	2
257	которую он	1	2
258	с теоретической	1	2
259	самое название	1	2
260	в отличие	3	2
261	собой и	1	2
262	их в	1	2
263	том же	1	2
264	что этот	3	2
265	этой области	1	2
266	этих трех	3	2
267	ничего кроме	1	2
268	не имеет	4	2
269	того как	1	2
270	к этим	1	2
271	это мы	1	2
272	под этим	1	2
273	это слово	1	2
274	что на	2	2
275	очень часто	1	2
276	когда мы	1	2
277	отличается от	3	2
278	принципиально нового	1	2
279	указывает на	1	2
280	что при	1	2
281	и он	1	2
282	и это	6	2
283	здесь не	3	2
284	данном случае	2	2
285	никак не	4	2
286	ясно что	1	2
287	и которые	1	2
288	еще не	4	2
289	даны в	1	2
290	смысле и	1	2
291	и здесь	6	2
292	другими словами	1	2
293	настоящее время	3	2
294	а также	8	2
295	может не	1	2
296	развития не	1	2
297	к нему	3	2
298	когда оно	2	2
299	вслед за	1	2
300	видим что	1	2
301	значит что	6	2
