N	3gram	Bakhtin_Fr_6	Vvedenie
1	для того чтобы	1	20
2	о том что	5	12
3	в том что	2	12
4	не может быть	1	8
5	в то же	5	6
6	в самом деле	4	6
7	то же время	5	6
8	до сих пор	3	6
9	с другой стороны	2	5
10	в широком смысле	1	5
11	с одной стороны	4	4
12	и в особенности	2	4
13	по отношению к	1	4
14	не только в	1	4
15	в этом отношении	3	4
16	на этот вопрос	1	4
17	в данном случае	2	4
18	заключается в том	1	3
19	большей или меньшей	3	3
20	но в то	1	3
21	можно сказать что	1	3
22	одной стороны и	2	3
23	в строгом смысле	1	3
24	именно в этом	1	3
25	но все же	1	3
26	вместе с тем	1	3
27	в чем же	1	2
28	до наших дней	1	2
29	в другом месте	4	2
30	а также и	2	2
31	в конце концов	1	2
32	что же касается	1	2
33	в целом ряде	1	2
34	в значительной мере	1	2
35	а так как	1	2
36	как мы уже	6	2
37	той или иной	1	2
38	в связи с	1	2
39	смысле этого слова	1	2
40	в большей степени	1	2
41	дело в том	1	2
42	с точки зрения	2	2
43	степени в зависимости	1	1
44	в начале этой	1	1
45	и др в	1	1
46	а потому что	1	1
47	в сущности лишь	1	1
48	сам по себе	1	1
49	во всех его	3	1
50	нечего и говорить	1	1
51	и то что	2	1
52	но если он	1	1
53	всегда связана с	1	1
54	того чтобы говорить	1	1
55	с этой целью	1	1
56	особое отношение к	1	1
57	как это было	1	1
58	именно в них	2	1
59	но уже в	2	1
60	после того как	1	1
61	и как раз	1	1
62	в разной степени	1	1
63	о котором мы	3	1
64	а именно в	1	1
65	потому что они	1	1
66	из того что	1	1
67	то все это	1	1
68	одним из существенных	1	1
69	в одном отношении	1	1
70	в предисловии к	1	1
71	в средние века	4	1
72	и того же	1	1
73	так чтобы в	1	1
74	и прежде всего	2	1
75	никак не может	2	1
76	притом не только	1	1
77	в первом случае	3	1
78	или меньшей степени	2	1
79	в нем есть	1	1
80	не могли не	1	1
81	как он сам	1	1
82	в нем не	1	1
83	совершенно ясно что	1	1
84	все то что	4	1
85	и в целом	1	1
86	в настоящее время	1	1
87	не только с	2	1
88	более или менее	1	1
89	сказать что в	2	1
90	как один из	2	1
91	одного и того	1	1
92	нужно сказать что	2	1
93	он должен быть	1	1
94	целом ряде других	1	1
95	одним из самых	2	1
96	и до наших	1	1
97	у него в	1	1
98	в зависимости от	1	1
99	и что это	1	1
100	та или иная	1	1
101	всего того что	1	1
102	и до нас	1	1
103	в каждом из	1	1
104	но и в	2	1
105	и говорить о	1	1
106	в его время	1	1
107	в лучшем случае	1	1
108	только то что	1	1
109	в той или	1	1
110	как мы видим	1	1
111	как раз в	1	1
112	в большей или	3	1
