N	3gram	Vygotskiy__5	Analitik
1	о том что	6	6
2	в том что	14	6
3	в данном случае	2	5
4	состоит в том	2	4
5	по отношению к	1	4
6	с одной стороны	12	4
7	и в этом	1	4
8	в этом случае	2	4
9	мы имеем дело	1	3
10	в этом отношении	3	3
11	по крайней мере	1	3
12	того или иного	1	3
13	той или иной	2	3
14	в этом смысле	1	2
15	в ответ на	1	2
16	с точки зрения	2	2
17	можно было бы	3	2
18	том или ином	1	2
19	и то что	3	2
20	едва ли не	1	2
21	не только в	2	2
22	в отличие от	2	2
23	в том или	1	2
24	с другой стороны	5	2
25	в частности в	1	2
26	и в самом	2	2
27	в конечном счете	1	2
28	не только не	4	2
29	на то что	16	2
30	жизни но и	1	1
31	не в состоянии	3	1
32	что иное как	2	1
33	ни о чем	1	1
34	можно сказать что	2	1
35	приводит к тому	1	1
36	одним и тем	3	1
37	более или менее	1	1
38	всю полноту его	1	1
39	во времени и	1	1
40	что один из	1	1
41	никак не может	3	1
42	в нас и	1	1
43	при взгляде на	1	1
44	сами по себе	2	1
45	каждом отдельном случае	1	1
46	на этот вопрос	3	1
47	что в конце	1	1
48	несмотря на то	1	1
49	с этой точки	1	1
50	в полной мере	1	1
51	до известной степени	1	1
52	в применении к	1	1
53	мы видим как	1	1
54	в литературном произведении	1	1
55	той точки зрения	1	1
56	точки зрения которая	1	1
57	в противоречие с	1	1
58	и т.п и	1	1
59	и тем же	3	1
60	и тот же	1	1
61	и то же	3	1
62	как один из	1	1
63	смерти то есть	1	1
64	это имеет место	1	1
65	имеем дело с	1	1
66	в свою очередь	1	1
67	то что все	1	1
68	одно и то	3	1
69	в целом ряде	1	1
70	что при таком	1	1
71	этой точки зрения	1	1
72	первой части романа	1	1
73	а в том	1	1
74	только то что	1	1
75	не может быть	2	1
76	ответ на этот	2	1
77	так же точно	5	1
78	заключается в том	6	1
79	ни одна из	1	1
80	не что иное	2	1
81	в самом деле	5	1
82	речь идет о	1	1
83	состоит именно в	1	1
84	на всем протяжении	1	1
85	в каждом отдельном	1	1
86	то что она	1	1
87	в том смысле	1	1
88	к тому что	6	1
89	друг с другом	3	1
90	же точно и	1	1
91	как говорит сам	1	1
92	то же самое	3	1
93	обратим внимание на	1	1
