N	3gram	Tiupa_Disk_1	Mirosoze
1	не может быть	3	17
2	вместе с тем	1	5
3	а не в	2	4
4	это и есть	1	4
5	потому что в	1	3
6	прежде всего в	1	2
7	по отношению к	9	2
8	он не может	1	2
9	до сих пор	1	2
10	и не может	1	2
11	хотя бы и	1	2
12	что он не	1	2
13	был прежде всего	1	2
14	не только в	2	2
15	как будто бы	1	2
16	на этом пути	1	2
17	а не только	2	2
18	тем что он	1	2
19	на том что	1	1
20	нет и не	1	1
21	никогда не было	1	1
22	а иногда и	1	1
23	может быть названа	1	1
24	одной из сторон	1	1
25	уже в конце	1	1
26	как и все	1	1
27	и заключается в	1	1
28	том случае если	1	1
29	в отличие от	4	1
30	в наше время	2	1
31	и он мог	1	1
32	человек не мог	1	1
33	в нем нет	1	1
34	в том случае	1	1
35	не несет в	1	1
36	это прежде всего	3	1
37	в значительной степени	2	1
38	во всех этих	1	1
39	по природе своей	5	1
40	не в том	3	1
41	несет в себе	1	1
42	во всяком случае	1	1
43	на этом основании	1	1
44	и в том	1	1
45	и не должно	1	1
46	о том что	5	1
47	к которому он	1	1
48	в том что	13	1
