N	3gram	Medvedev_F_3	Literetu
1	в том что	3	11
2	так или иначе	1	8
3	в отличие от	2	5
4	то же время	7	5
5	в то же	7	5
6	в данном случае	4	4
7	не только в	1	4
8	в связи с	4	4
9	с этой точки	1	3
10	не сводится к	1	3
11	этой точки зрения	1	3
12	в том же	1	3
13	дело в том	2	2
14	по отношению к	3	2
15	подобно тому как	4	2
16	с точки зрения	14	2
17	в этом отношении	3	2
18	из того что	1	2
19	ту или иную	1	2
20	с одной стороны	1	2
21	но при этом	1	2
22	во всяком случае	6	2
23	о том что	1	2
24	тем не менее	2	2
25	бы ни были	1	1
26	произведение в целом	1	1
27	в чистом виде	1	1
28	в основе всех	1	1
29	в последнее время	1	1
30	иметь в виду	1	1
31	а не в	3	1
32	одним и тем	2	1
33	на самом деле	12	1
34	на то что	1	1
35	так и не	1	1
36	в одной из	1	1
37	при этом от	1	1
38	в зависимости от	5	1
39	бы то ни	4	1
40	лишь тогда когда	2	1
41	между тем как	1	1
42	и в литературе	1	1
43	к тому чтобы	1	1
44	можно было бы	1	1
45	в той мере	1	1
46	том или ином	1	1
47	а то и	1	1
48	тот или иной	1	1
49	в лучшем случае	1	1
50	жизни и в	1	1
51	внешнее и внутреннее	1	1
52	в это время	1	1
53	в значительной степени	1	1
54	а не только	1	1
55	и тем же	2	1
56	в самом деле	4	1
57	лишь в той	1	1
58	в отношении к	1	1
59	с тем же	3	1
60	только при условии	1	1
61	какой бы то	1	1
62	один из моментов	1	1
63	а не как	1	1
64	все более и	1	1
65	же время не	1	1
66	с другой стороны	5	1
67	не может и	1	1
68	не может быть	14	1
69	только то что	2	1
70	по тем же	1	1
71	всяком случае в	2	1
72	окружающей его действительности	1	1
73	язык а не	1	1
74	и того же	1	1
75	до сих пор	1	1
76	с самого начала	1	1
77	в пределах одной	2	1
78	не только на	1	1
79	более и более	1	1
80	при этом не	1	1
81	не может стать	2	1
82	но все же	1	1
83	то ни было	4	1
84	не выходит за	1	1
85	одного и того	1	1
86	может и не	1	1
87	но не менее	1	1
88	в большинстве случаев	4	1
89	как и всякое	2	1
90	в том числе	1	1
91	тех или иных	1	1
92	романа с этой	1	1
93	слово как таковое	1	1
94	не нуждается в	1	1
95	как мы знаем	4	1
