N	3gram	Tiupa_Vved_1	slovoVRo
1	не может быть	3	15
2	в отличие от	2	12
3	в пределах одного	1	7
4	в этом случае	1	6
5	в значительной степени	1	6
6	с одной стороны	5	5
7	чужого слова в	1	5
8	той или иной	2	5
9	по отношению к	7	4
10	в зависимости от	1	4
11	то же время	3	4
12	в то же	4	4
13	в том что	3	4
14	в той или	1	3
15	с установкой на	2	3
16	в этом отношении	4	3
17	или иной степени	1	3
18	в романе в	1	3
19	одной стороны и	1	3
20	на границе между	1	2
21	и чужого слова	2	2
22	в свою очередь	4	2
23	более или менее	2	2
24	почти каждого высказывания	1	2
25	у него нет	1	2
26	своего и чужого	2	2
27	не только в	2	2
28	напряженное взаимодействие и	1	2
29	во всяком случае	1	2
30	слове но и	1	2
31	в связи с	1	2
32	во всех его	1	2
33	и в рамках	1	1
34	идеологической сферой применения	1	1
35	чтобы проникнуть в	1	1
36	исторически реален язык	1	1
37	иначе обстоит дело	1	1
38	хотя и не	1	1
39	на территории почти	1	1
40	и бывшими языками	1	1
41	парвеню бесчисленными претендентами	1	1
42	а не с	1	1
43	в своем собственном	1	1
44	проникнуть в его	1	1
45	в этих случаях	2	1
46	и в пределах	1	1
47	в том числе	1	1
48	или иной идеологической	1	1
49	кишащее будущими и	1	1
50	и иных форм	1	1
51	и точек зрения	1	1
52	реален язык как	1	1
53	и в то	1	1
54	до известной степени	1	1
55	сами по себе	1	1
56	в окружающем его	1	1
57	но и в	2	1
58	том числе и	1	1
59	чопорными языковыми аристократами	1	1
60	языками отмирающими чопорными	1	1
61	происходит напряженное взаимодействие	1	1
62	на то что	1	1
63	окружающем его мире	1	1
64	отмирающими чопорными языковыми	1	1
65	как он сам	1	1
66	может быть только	1	1
67	будущими и бывшими	1	1
68	претендентами в языки	1	1
69	или менее удачливыми	1	1
70	и борьба своего	1	1
71	взаимодействие и борьба	1	1
72	а не только	1	1
73	аристократами языковыми парвеню	1	1
74	в языки более	1	1
75	а также в	1	1
76	языковыми аристократами языковыми	1	1
77	социального охвата с	1	1
78	язык как разноречивое	1	1
79	меньшей широтою социального	1	1
80	или меньшей широтою	1	1
81	в евгении онегине	1	1
82	языковыми парвеню бесчисленными	1	1
83	в нашем случае	2	1
84	бы и не	2	1
85	или ближе к	1	1
86	в нем не	1	1
87	с большей или	1	1
88	в этом направлении	1	1
89	иной идеологической сферой	1	1
90	а не в	1	1
91	с другой стороны	1	1
92	все то что	1	1
93	высказывания происходит напряженное	1	1
94	тем не менее	3	1
95	о том что	4	1
96	а в том	1	1
97	в частности в	2	1
98	с той или	1	1
99	мы не можем	1	1
100	и не столько	1	1
101	большей или меньшей	1	1
102	менее удачливыми с	1	1
103	языки более или	1	1
104	охвата с той	1	1
105	удачливыми с большей	1	1
106	как и в	2	1
107	может быть развернута	1	1
108	и особенно в	1	1
109	но в этом	1	1
110	речь идет о	1	1
111	становление кишащее будущими	1	1
112	бывшими языками отмирающими	1	1
113	чужих слов в	1	1
114	каждого высказывания происходит	1	1
115	разноречивое становление кишащее	1	1
116	как разноречивое становление	1	1
117	бесчисленными претендентами в	1	1
118	широтою социального охвата	1	1
119	территории почти каждого	1	1
120	борьба своего и	1	1
121	чужом для него	1	1
122	так и по	1	1
123	одно без другого	1	1
124	в одном высказывании	1	1
125	как мы видели	2	1
