N	2gram	Medvedev_B_1	KulturaY
1	и в	1	23
2	не только	1	17
3	было бы	1	16
4	в области	1	14
5	что в	1	13
6	вопрос о	1	11
7	можно было	2	11
8	а не	1	11
9	у нас	3	10
10	и не	2	10
11	еще не	1	9
12	таким образом	1	9
13	прежде всего	1	9
14	с другой	1	7
15	в данном	1	7
16	говорить о	1	6
17	так и	1	6
18	все же	1	5
19	далеко не	1	5
20	тем более	1	5
21	совершенно не	1	5
22	в своей	1	4
23	о них	1	4
24	и о	1	4
25	не было	1	4
26	на самом	1	3
27	в ней	2	3
28	отнюдь не	1	3
29	установка на	1	3
30	и более	1	3
31	должна быть	1	3
32	другой стороны	1	3
33	также что	1	2
34	книги в	1	2
35	не то	2	2
36	не все	1	2
37	за пределы	1	2
38	что все	1	2
39	не о	1	2
40	нельзя не	1	2
41	более что	1	2
42	никак не	1	2
43	в пределах	1	2
44	то нельзя	1	2
45	все это	2	2
46	кроме того	1	2
47	во всяком	1	2
48	и на	1	1
49	является изучение	1	1
50	для которой	1	1
51	меньшей мере	1	1
52	самостоятельная и	1	1
53	и ее	1	1
54	всяком случае	1	1
55	творчества и	1	1
56	по крайней	1	1
57	по меньшей	1	1
58	слова иначе	1	1
59	как будто	1	1
60	по поэтике	1	1
61	всего в	1	1
62	со всем	1	1
63	в речи	1	1
64	крайней мере	1	1
65	только одной	1	1
66	одной из	1	1
67	как часть	1	1
68	о художественном	1	1
69	точно и	1	1
70	говорить об	1	1
71	стоит на	1	1
72	материала по	1	1
73	выходит за	1	1
74	функцией в	1	1
75	следовало бы	1	1
76	и потому	1	1
77	стр в	1	1
78	будто бы	1	1
79	а о	1	1
80	между ними	1	1
81	но автор	1	1
