N	2gram	Propp_Isto_4	Sotsiolo
1	все это	2	7
2	в том	3	5
3	в этом	7	5
4	и только	5	3
5	как же	1	3
6	для нас	3	3
7	не только	15	3
8	и в	26	3
9	не в	5	3
10	в его	5	3
11	их между	1	2
12	но и	12	2
13	и мы	1	2
14	было бы	2	2
15	к которому	1	2
16	она может	1	2
17	должна быть	2	2
18	только в	3	2
19	дело не	2	2
20	в результате	1	2
21	тем более	1	2
22	том что	3	2
23	в частности	2	2
24	как будто	1	2
25	то что	16	2
26	главным образом	2	2
27	и что	5	2
28	еще не	6	2
29	только как	1	2
30	таким образом	10	2
31	это и	5	2
32	что в	14	2
33	может быть	14	2
34	как бы	3	2
35	очевидно что	1	2
36	по существу	3	2
37	то же	8	2
38	не из	1	1
39	тотчас же	1	1
40	право на	2	1
41	вряд ли	1	1
42	по себе	2	1
43	даже в	4	1
44	сказать и	1	1
45	в этой	2	1
46	тому что	1	1
47	как тотчас	1	1
48	на все	1	1
49	же этот	1	1
50	с другой	4	1
51	его в	9	1
52	дает нам	4	1
53	не можно	1	1
54	с ним	1	1
55	это не	5	1
56	на этот	2	1
57	именно в	1	1
58	в чем	1	1
59	все же	9	1
60	один из	1	1
61	и есть	2	1
62	перед нами	3	1
63	в то	1	1
64	это наиболее	1	1
65	это дает	1	1
66	и наконец	1	1
67	какой же	1	1
68	а с	1	1
69	том как	2	1
70	тем что	5	1
71	вопросом о	1	1
72	и как	5	1
73	и затем	1	1
74	что эти	1	1
75	что он	10	1
76	прежде всего	1	1
77	в них	1	1
78	так и	10	1
79	не было	1	1
80	те же	3	1
81	и не	9	1
82	полагает что	1	1
83	на тех	1	1
84	никогда не	2	1
85	зависит от	1	1
86	он по	1	1
87	их друг	1	1
88	мы не	1	1
89	со своими	1	1
90	ничего не	5	1
91	мы еще	1	1
92	связь между	2	1
93	все эти	3	1
94	это же	2	1
95	как и	7	1
96	между собой	1	1
97	или нет	1	1
98	бы в	1	1
99	с помощью	2	1
100	для этого	1	1
101	иначе говоря	1	1
102	и строить	1	1
103	мы должны	5	1
104	в таких	2	1
105	но она	1	1
106	вот в	1	1
107	конечно не	2	1
108	в связи	2	1
109	и его	10	1
110	в этих	7	1
111	связи с	3	1
112	или не	1	1
113	хотя бы	2	1
114	вступает в	1	1
115	в целом	2	1
116	теперь он	1	1
117	не может	6	1
118	в своей	4	1
119	только тогда	3	1
120	не от	1	1
121	а в	8	1
122	что она	3	1
123	о том	4	1
124	не дает	2	1
125	именно и	1	1
126	в области	2	1
127	же это	2	1
128	представить себе	1	1
129	в него	1	1
130	в котором	1	1
131	между ними	3	1
132	происходит не	1	1
133	подняться на	1	1
134	на что	1	1
135	и связь	1	1
136	когда мы	1	1
137	в силу	5	1
138	он говорит	2	1
139	что это	2	1
140	ними в	1	1
141	вовсе не	4	1
142	но сам	1	1
143	же самое	2	1
144	но не	5	1
145	у него	5	1
146	в виде	2	1
147	в данном	3	1
148	но как	1	1
149	и по	5	1
150	что на	2	1
151	это происходит	2	1
152	не один	1	1
153	героя который	1	1
154	и более	3	1
155	и стало	1	1
156	бы они	1	1
157	перейти к	1	1
158	они не	1	1
159	нам право	2	1
