N	3gram	Kanaev_Sov_1	Formalny
1	с точки зрения	5	14
2	не может быть	4	14
3	на самом деле	1	12
4	в то же	1	7
5	то же время	1	7
6	во всяком случае	2	6
7	в зависимости от	4	5
8	в самом деле	1	4
9	и не может	1	4
10	в данном случае	1	4
11	в связи с	1	4
12	бы то ни	1	4
13	то ни было	1	4
14	по отношению к	1	3
15	то же самое	2	3
16	одни и те	1	3
17	в том что	1	3
18	раз и навсегда	1	3
19	и те же	1	3
20	уже знаем что	1	2
21	ровно ничего не	1	2
22	но уже в	1	2
23	равно как и	1	2
24	в этом смысле	1	2
25	и в то	1	2
26	сами по себе	1	2
27	в отличие от	2	2
28	мы без труда	1	2
29	может быть только	1	2
30	дело в том	1	2
31	мы видели что	3	2
32	мы не можем	6	2
33	тем не менее	2	2
34	мы уже знаем	1	2
35	времени не может	1	1
36	какой бы то	1	1
37	в настоящее время	2	1
38	один и тот	1	1
39	в этом случае	1	1
40	не вытекает из	1	1
41	тот или иной	1	1
42	они не могут	1	1
43	может иметь место	1	1
44	друг на друга	1	1
45	между собой но	1	1
46	одна из них	1	1
47	в предыдущей главе	1	1
48	до сих пор	1	1
49	так как он	2	1
50	если мы оторвем	1	1
51	тот факт что	1	1
52	так же как	1	1
53	через известный промежуток	1	1
54	в жизненной практике	1	1
55	с одной стороны	1	1
56	и тот же	1	1
57	можно говорить об	1	1
58	и не было	1	1
59	она в такой	1	1
60	роль в пьесе	1	1
61	он отвлекается от	1	1
62	в такой же	1	1
63	не в том	1	1
64	в первый период	1	1
65	известный промежуток времени	1	1
66	все более и	1	1
67	а не только	1	1
68	и той же	1	1
69	таким образом все	1	1
70	равны между собой	1	1
71	и все же	1	1
72	совершенно независимо от	1	1
73	можно было бы	1	1
74	ни одного из	1	1
75	его в ту	1	1
76	с самого начала	3	1
77	но отнюдь не	1	1
78	более и более	1	1
79	той или иной	1	1
80	но все же	1	1
81	сводится только к	1	1
82	первый период развития	1	1
83	лишь там где	1	1
84	одной и той	1	1
85	самом деле все	1	1
86	друг с другом	2	1
87	без труда узнаем	1	1
88	она не может	1	1
89	ясно что при	1	1
