N	3gram	Propp_Isto_4	NovoeSre
1	не может быть	4	4
2	подобно тому как	1	3
3	в средние века	2	3
4	вместе с тем	1	2
5	так же как	12	2
6	с другой стороны	4	2
7	он не имеет	1	2
8	между небом и	1	1
9	что в этом	1	1
10	то время как	1	1
11	в том числе	1	1
12	же как и	4	1
13	до сих пор	5	1
14	и не может	1	1
15	в зависимости от	1	1
16	о том чтобы	1	1
17	но и в	1	1
18	тому как в	1	1
19	но наряду с	1	1
20	может быть только	1	1
21	в этом он	1	1
22	и трудно будет	1	1
23	не только в	2	1
24	и в большинстве	1	1
25	было то что	1	1
26	как будто бы	1	1
27	не могут быть	1	1
28	не в том	1	1
29	но для чего	1	1
30	то что он	2	1
31	хотя и в	1	1
32	о том что	2	1
33	в то время	1	1
34	и вместе с	1	1
35	это и есть	1	1
36	совершенно так же	6	1
37	в большинстве случаев	1	1
38	как и в	1	1
