N	2gram	Trubetskoy_1	Hudozhes
1	том что	9	16
2	и в	14	14
3	так и	1	13
4	при этом	5	12
5	в том	17	12
6	о том	7	12
7	а не	2	12
8	не только	9	12
9	в себе	9	11
10	прежде всего	8	11
11	в этом	17	11
12	и т	3	11
13	в своей	5	10
14	для него	6	10
15	как и	4	9
16	то же	11	9
17	в качестве	3	9
18	у него	2	9
19	что он	6	9
20	же время	10	8
21	отношению к	1	8
22	между тем	5	8
23	то что	13	8
24	в его	4	8
25	по отношению	2	8
26	в то	10	8
27	в этой	4	8
28	еще не	3	7
29	тогда как	2	7
30	не в	4	7
31	к тому	7	7
32	это не	1	7
33	уже не	2	7
34	не может	22	7
35	казалось бы	1	7
36	именно в	3	7
37	а в	5	7
38	как бы	4	7
39	быть может	1	7
40	что в	4	6
41	жизни в	5	6
42	никогда не	5	6
43	в глазах	2	6
44	было бы	5	6
45	человека в	1	6
46	друг друга	3	5
47	жизни и	4	5
48	не менее	1	5
49	точки зрения	11	5
50	об этом	1	5
51	ни в	2	5
52	потому что	5	5
53	но и	10	5
54	в этих	2	5
55	к себе	2	5
56	перед нами	1	5
57	только в	5	5
58	но в	2	5
59	в частности	2	5
60	самом деле	7	5
61	может быть	9	5
62	можно было	4	5
63	и с	7	4
64	можно сказать	1	4
65	на то	5	4
66	связи с	3	4
67	не было	3	4
68	и все	1	4
69	человеческой жизни	1	4
70	с ним	2	4
71	и это	1	4
72	в конце	3	4
73	то в	3	4
74	по своей	1	4
75	тому что	2	4
76	тем не	1	4
77	того что	3	4
78	и к	6	4
79	и от	2	4
80	а только	1	4
81	и о	2	4
82	один из	1	4
83	мы уже	2	4
84	в самом	3	4
85	она не	2	4
86	он не	5	4
87	несмотря на	3	4
88	столь же	1	4
89	в духе	1	4
90	себя в	4	4
91	в ней	2	4
92	бытия и	1	4
93	как будто	2	4
94	из них	3	4
95	в своем	6	4
96	все эти	2	3
97	приводит к	4	3
98	все же	4	3
99	характера в	1	3
100	в связи	1	3
101	говорить о	3	3
102	или не	1	3
103	может и	1	3
104	и для	6	3
105	для себя	2	3
106	из нас	1	3
107	на тех	1	3
108	в нем	5	3
109	даже в	1	3
110	превращается в	1	3
111	это в	2	3
112	то и	1	3
113	от него	2	3
114	того чтобы	8	3
115	его в	4	3
116	но не	4	3
117	ничем не	1	3
118	и на	5	3
119	в ее	1	3
120	в таком	2	3
121	и даже	2	3
122	с точки	9	3
123	идет о	1	3
124	как мы	1	3
125	что при	1	3
126	отнюдь не	7	3
127	что у	1	3
128	лишь в	3	3
129	однако и	1	3
130	с этим	2	3
131	к этой	4	3
132	тем что	3	3
133	и когда	1	3
134	со стороны	4	3
135	по своему	1	3
136	этом отношении	1	3
137	такой же	1	3
138	в мире	4	3
139	в лице	1	3
140	в своих	6	3
141	та или	1	3
142	речь идет	2	3
143	если бы	6	3
144	и по	3	3
145	и не	19	2
146	в значительной	3	2
147	на его	1	2
148	на себе	1	2
149	в другом	3	2
150	вопрос о	5	2
151	бы на	1	2
152	о котором	3	2
153	одной из	3	2
154	на том	3	2
155	не умеет	1	2
156	не была	1	2
157	все равно	1	2
158	а то	1	2
159	каждого отдельного	2	2
160	сих пор	5	2
161	у себя	1	2
162	личности и	1	2
163	мы не	1	2
164	они в	1	2
165	до сих	5	2
166	так что	2	2
167	если в	6	2
168	не знаем	1	2
169	что на	1	2
170	того или	2	2
171	заключает в	1	2
172	влияние на	1	2
173	о своей	1	2
174	личности к	1	2
175	что же	4	2
176	его жизнь	1	2
177	с этой	1	2
178	в начале	2	2
179	в себя	1	2
180	к творчеству	1	2
181	но как	1	2
182	значительной степени	1	2
183	на него	1	2
184	отказ от	1	2
185	с ее	1	2
186	что не	1	2
187	своей жизни	1	2
188	каждого человека	1	2
189	говоря о	2	2
190	для нее	2	2
191	на самом	6	2
192	да и	3	2
193	до конца	1	2
194	в одной	1	2
195	должно быть	3	2
196	и потому	3	2
197	а с	2	2
198	ясно что	2	2
199	своей собственной	1	2
200	его жизни	1	2
201	не столько	1	2
202	перед собой	1	2
203	его личности	1	2
204	не о	2	2
205	в их	4	2
206	по себе	2	2
207	с ними	1	2
208	одна из	3	2
209	же как	1	2
210	согласиться с	2	2
211	только для	2	2
212	что когда	1	2
213	в тот	1	2
214	себя и	5	2
215	и что	2	2
216	в результате	2	2
217	в данной	1	2
218	ближе к	1	2
219	уже знаем	1	2
220	принципами и	1	2
221	по нашему	1	2
222	в такой	1	2
223	за ним	1	2
224	с внешней	1	2
225	или иного	2	2
226	все это	6	2
227	не следует	1	2
228	и дело	1	2
229	никак не	1	2
230	по сторонам	2	2
231	они не	1	2
232	только на	2	2
233	иначе говоря	1	2
234	себе и	4	2
235	и другое	1	2
236	состоит в	2	2
237	ни к	7	2
238	участие в	2	2
239	общей жизни	1	2
240	мы знаем	1	2
241	при котором	3	2
242	в свои	1	1
243	может не	3	1
244	единственное что	1	1
245	не могла	1	1
246	а тогда	1	1
247	главным образом	3	1
248	в полном	1	1
249	но она	2	1
250	судьбу в	1	1
251	по своим	1	1
252	претендовать на	1	1
253	и того	1	1
254	уверенность в	1	1
255	для нас	2	1
256	к той	2	1
257	чтобы в	2	1
258	когда же	1	1
259	во всяком	9	1
260	церкви и	9	1
261	данном случае	3	1
262	из области	1	1
263	личности для	1	1
264	входит в	1	1
265	конце концов	3	1
266	взгляде на	2	1
267	себя от	3	1
268	же это	1	1
269	тех же	1	1
270	в которой	1	1
271	место в	2	1
272	исходит из	1	1
273	исключает возможность	1	1
274	ни одна	3	1
275	есть по	1	1
276	от этого	1	1
277	в каждый	1	1
278	будут стоять	1	1
279	что они	3	1
280	самостоятельность как	1	1
281	именно на	2	1
282	не противоречат	1	1
283	является для	1	1
284	даже не	2	1
285	это делалось	1	1
286	оказались бы	1	1
287	из всего	1	1
288	в сфере	1	1
289	и этот	3	1
290	и себе	1	1
291	и целостности	1	1
292	о себе	1	1
293	событий и	1	1
294	еще и	1	1
295	для них	3	1
296	но при	1	1
297	не хочется	1	1
298	к другим	1	1
299	друг другу	2	1
300	до степени	1	1
301	и тот	2	1
302	вовсе не	1	1
303	том случае	4	1
304	когда оно	1	1
305	не замечают	1	1
306	к ее	1	1
307	работая над	1	1
308	в жизни	1	1
309	был и	3	1
310	только один	1	1
311	при отсутствии	2	1
312	человека а	1	1
313	из двух	1	1
314	ним в	1	1
315	представить себе	2	1
316	двух противоположных	1	1
317	будут определять	1	1
318	его и	2	1
319	хотя бы	5	1
320	тем самым	2	1
321	не будучи	1	1
322	нами не	1	1
323	что эта	1	1
324	друг от	2	1
325	которая может	1	1
326	и без	1	1
327	всех или	1	1
328	нисколько не	2	1
329	человека с	1	1
330	а между	5	1
331	внешней стороны	1	1
332	от друга	2	1
333	русская интеллигенция	3	1
334	таком взгляде	1	1
335	зрения в	1	1
