N	3gram	Ircho_Kome_3	Narrotol
1	в том что	9	8
2	с одной стороны	3	7
3	о том что	4	6
4	по отношению к	3	6
5	в том числе	1	6
6	в отличие от	1	5
7	том числе и	1	4
8	в основе своей	1	4
9	к тому же	4	4
10	с другой стороны	2	4
11	но все же	2	4
12	можно сказать что	1	4
13	состоит в том	2	3
14	на себя внимание	1	3
15	бы то ни	2	3
16	в этом отношении	2	3
17	обращает на себя	1	3
18	то ни было	2	3
19	тем не менее	3	3
20	то же время	4	3
21	в свою очередь	6	3
22	в то же	4	3
23	более или менее	1	2
24	подобно тому как	1	2
25	так и не	1	2
26	с точки зрения	3	2
27	в первом случае	1	2
28	в связи с	3	2
29	этой точки зрения	1	2
30	в прошлом году	1	2
31	в конечном счете	2	2
32	речь идет о	3	2
33	не сводится к	1	2
34	так или иначе	2	2
35	не в состоянии	1	1
36	то в его	1	1
37	следует понимать как	1	1
38	отцов и дедов	1	1
39	в себе самом	1	1
40	в самом деле	6	1
41	то же самое	3	1
42	в том же	1	1
43	не мешает ему	2	1
44	по крайней мере	1	1
45	не было и	1	1
46	до сих пор	9	1
47	и в то	1	1
48	об этом свидетельствует	1	1
49	по отношению ко	2	1
50	начала х годов	1	1
51	в первую очередь	1	1
52	в случае с	1	1
53	независимо от того	1	1
54	как это было	1	1
55	событие о котором	1	1
56	может быть только	1	1
57	с этой точки	1	1
58	принадлежат к одному	1	1
59	себя внимание что	1	1
60	и не дает	1	1
61	все равно что	1	1
62	к нему в	1	1
63	далеко не всегда	1	1
64	один из них	1	1
65	является ли это	1	1
66	говорит о своей	1	1
67	как в случае	1	1
68	это не так	1	1
69	всю свою жизнь	1	1
70	то что он	1	1
71	то по крайней	1	1
72	это же время	1	1
73	в свое время	1	1
74	зрения одного из	1	1
75	здесь не только	1	1
76	так и в	1	1
77	в том чтобы	1	1
78	в это же	1	1
79	и тем более	1	1
80	не с точки	1	1
81	лет тому назад	4	1
82	друг от друга	1	1
83	как уже говорилось	1	1
84	друг с другом	1	1
85	в соответствии с	1	1
