N	3gram	Medvedev_U_1	Vladivir
1	в том что	2	9
2	и то что	2	5
3	по крайней мере	2	4
4	более или менее	1	3
5	в то же	3	3
6	не в том	1	3
7	в конце концов	2	3
8	так или иначе	1	3
9	то же время	3	3
10	на то что	1	2
11	на первый план	1	2
12	сам по себе	1	2
13	в данном случае	1	2
14	не только в	1	2
15	или по крайней	1	2
16	само по себе	1	2
17	и в конце	1	1
18	и в частности	2	1
19	равно как и	1	1
20	но даже и	2	1
21	в этом случае	1	1
22	в своей работе	1	1
23	до сих пор	2	1
24	и в то	1	1
25	бы то ни	3	1
26	не было бы	1	1
27	в этом отношении	2	1
28	не о чем	1	1
29	что он и	1	1
30	в ней не	1	1
31	но в то	1	1
32	даны не только	1	1
33	такое что мы	1	1
34	что он называет	1	1
35	нам представляется что	1	1
36	в первую очередь	1	1
37	не может быть	4	1
38	в той же	1	1
39	и прежде всего	1	1
40	в самом деле	2	1
41	можно сказать что	1	1
42	в этом смысле	2	1
43	ошибок но в	1	1
44	в последние годы	1	1
45	но это не	1	1
46	конечно не в	1	1
47	это не только	1	1
48	как нам представляется	1	1
49	может быть в	1	1
