N	2gram	Medvedev_B_1	PoTuStor
1	и в	1	16
2	таким образом	1	9
3	прежде всего	1	9
4	совершенно не	1	8
5	не только	1	7
6	еще не	1	5
7	на самом	1	4
8	и ее	1	4
9	и на	1	4
10	отнюдь не	1	4
11	все это	2	4
12	так и	1	4
13	и не	2	4
14	по крайней	1	3
15	крайней мере	1	3
16	всяком случае	1	3
17	в области	1	3
18	и потому	1	3
19	что в	1	3
20	между ними	1	3
21	во всяком	1	3
22	и о	1	2
23	говорить о	1	2
24	за пределы	1	2
25	было бы	1	2
26	почти совершенно	1	2
27	в своей	1	2
28	в пределах	1	2
29	его не	1	1
30	вопрос о	1	1
31	в ней	2	1
32	все же	1	1
33	не следует	1	1
34	как всякий	1	1
35	творчества и	1	1
36	в эпоху	1	1
37	можно было	2	1
38	говорить об	1	1
39	оно сплошь	1	1
40	со всем	1	1
41	с другой	1	1
42	у нас	3	1
43	как часть	1	1
44	а не	1	1
45	чем на	1	1
46	в данном	1	1
47	точно и	1	1
48	уничтожается это	1	1
