N	3gram	Medvedev_F_3	Literetu
1	то же время	7	9
2	в то же	7	9
3	не может быть	14	7
4	с одной стороны	1	6
5	в том что	3	5
6	с другой стороны	5	4
7	с точки зрения	14	3
8	в этом отношении	3	3
9	в данном случае	4	3
10	по отношению к	3	3
11	о том что	1	2
12	подобно тому как	4	2
13	в этом случае	1	2
14	и т п	5	2
15	в том числе	1	2
16	тем не менее	2	2
17	не перестает быть	1	1
18	нет и не	2	1
19	цену жизни и	1	1
20	какого бы то	1	1
21	то же самое	3	1
22	что же касается	1	1
23	и для всех	1	1
24	и не может	4	1
25	вместе с тем	3	1
26	в отличие от	2	1
27	бы то ни	4	1
28	же время не	1	1
29	только то что	2	1
30	предшествующим и последующим	1	1
31	из того что	1	1
32	том числе и	1	1
33	можно было бы	1	1
34	а то и	1	1
35	и даже в	1	1
36	с этой точки	1	1
37	жизни и в	1	1
38	и в то	2	1
39	первого и второго	1	1
40	в конце концов	2	1
41	и не было	1	1
42	в такой же	1	1
43	не в том	1	1
44	так и от	2	1
45	все то что	1	1
46	и теперь эта	1	1
47	этой точки зрения	1	1
48	в частности в	1	1
49	по тем же	1	1
50	в этом же	1	1
51	мы не можем	2	1
52	на самом деле	12	1
53	том что этот	1	1
54	обстоит дело и	1	1
55	не только не	2	1
56	автора с читателем	1	1
57	той или иной	1	1
58	то ни было	4	1
59	к тому что	2	1
60	место в этом	1	1
61	и притом в	1	1
62	тех или иных	1	1
63	слова так и	1	1
64	вовсе не является	3	1
65	было бы наивно	1	1
66	для того чтобы	4	1
67	как мы видели	2	1
