N	2gram	Tiupa_Lite_1	IolandNe
1	и с	1	3
2	и не	12	2
3	должен быть	2	2
4	в этом	12	2
5	он не	1	2
6	самого себя	3	2
7	что в	3	2
8	только что	1	1
9	что для	2	1
10	все эти	2	1
11	то и	2	1
12	с другой	3	1
13	о жизни	1	1
14	для него	2	1
15	того что	6	1
16	преступления и	1	1
17	стороны он	1	1
18	отношению к	2	1
19	и о	1	1
20	не так	1	1
21	говорить о	1	1
22	же это	2	1
23	что при	1	1
24	тех же	3	1
25	произведения и	1	1
26	вплоть до	2	1
27	в целом	8	1
28	в материале	1	1
29	это было	1	1
30	в художественном	4	1
31	следующим образом	2	1
32	так и	4	1
33	его личности	1	1
34	не допустил	1	1
35	автора и	1	1
36	основе всего	1	1
37	а для	2	1
38	в основе	3	1
39	достоевского с	1	1
40	жизни и	3	1
41	по отношению	3	1
42	как о	1	1
43	себя в	6	1
44	и сам	6	1
45	по поводу	2	1
46	если бы	1	1
47	того же	2	1
48	не остается	2	1
49	с жизнью	1	1
50	а с	1	1
51	в значительной	1	1
52	только для	1	1
53	а также	5	1
54	нам в	1	1
55	а в	3	1
56	очевидно что	1	1
57	по существу	1	1
58	и в	8	1
59	и наказания	1	1
60	не случайно	2	1
61	в эту	1	1
62	на котором	1	1
63	более чем	3	1
64	со всеми	1	1
65	тем что	2	1
66	и др	3	1
67	а по	1	1
68	я не	7	1
69	другой стороны	1	1
70	никогда не	4	1
71	в них	1	1
72	художественного творчества	3	1
