N	4gram	Voloshinov_2	VLabPisa
1	в то же время	8	5
2	с одной стороны и	2	2
3	в том числе и	1	2
4	и не может быть	1	2
5	в точном смысле слова	1	2
6	уже о том что	1	1
7	на то или иное	1	1
8	если бы он был	2	1
9	не может обойтись без	1	1
10	в таком случае является	1	1
11	отнюдь не может быть	2	1
12	как если бы он	3	1
13	быть и речи о	2	1
14	не говоря уже о	1	1
15	не может быть и	2	1
16	но в то же	5	1
17	же в таком случае	1	1
18	может быть и речи	2	1
19	одно и то же	3	1
20	в той или иной	3	1
21	не может быть сведена	1	1
22	приводит к тому что	1	1
23	чем же в таком	1	1
24	говоря уже о том	1	1
25	с ними в борьбу	1	1
26	ни в какой мере	1	1
27	никогда не может быть	1	1
28	может быть сведена к	1	1
29	в какой мере не	1	1
