N	3gram	Tiupa_Disk_2	Otkroven
1	в этом мире	2	2
2	не может быть	3	2
3	не могут быть	1	2
4	и не быть	1	1
5	в другом месте	1	1
6	как будто бы	1	1
7	по природе своей	2	1
8	не в том	1	1
9	потому что в	1	1
10	прежде всего в	1	1
11	том что в	1	1
12	в самом деле	1	1
13	приходит в голову	1	1
14	и все же	3	1
15	и не может	2	1
16	во всяком случае	1	1
17	в иных случаях	1	1
18	о том что	3	1
19	в этом отношении	4	1
20	то что в	1	1
21	прежде всего он	1	1
22	заключает в себе	2	1
23	в этот период	1	1
24	и прежде всего	2	1
25	в том что	6	1
26	и то что	2	1
27	как и в	5	1
