N	3gram	Bakhtin_Pr_3	VerxiiNi
1	вместе с тем	2	8
2	с точки зрения	4	6
3	во всяком случае	5	6
4	до сих пор	1	5
5	по крайней мере	3	5
6	друг с другом	2	5
7	для того чтобы	1	5
8	о том что	2	4
9	и вместе с	1	4
10	но все же	1	4
11	к тому же	2	4
12	главным образом в	1	3
13	а так как	1	3
14	в конце концов	3	3
15	всяком случае не	1	3
16	тем не менее	2	3
17	в том что	1	3
18	сих пор еще	1	2
19	но все это	2	2
20	друг на друга	2	2
21	в этом отношении	1	2
22	заключает в себе	1	2
23	может быть даже	3	2
24	не только для	1	2
25	может быть и	1	2
26	то ни было	4	2
27	мы должны признать	1	2
28	то что он	1	2
29	бы то ни	4	2
30	между этими двумя	1	2
31	должны признать что	1	2
32	то же время	12	2
33	но и для	1	2
34	с самого начала	8	2
35	той или иной	2	2
36	можно сказать что	1	2
37	на то что	1	2
38	в то же	12	2
39	иной характер носят	1	2
40	и в этом	2	2
41	и того же	1	1
42	даже там где	1	1
43	несколько иной характер	1	1
44	в слове о	2	1
45	а между тем	3	1
46	о мире как	1	1
47	по отношению к	5	1
48	в котором он	1	1
49	в самом деле	3	1
50	одного и того	1	1
51	них как на	1	1
52	же время он	1	1
53	больше никогда не	1	1
54	и в то	5	1
55	это мы и	1	1
56	но для этого	1	1
57	а вместе с	1	1
58	это как не	1	1
59	с ними в	1	1
60	во всей своей	1	1
61	ни было в	2	1
62	в данном случае	1	1
63	но в то	3	1
64	на этот раз	1	1
65	смысле этого слова	2	1
66	но при этом	1	1
67	в отличие от	2	1
68	но в общем	2	1
69	потому что в	1	1
70	на них как	1	1
71	все более и	1	1
72	мы уже говорили	3	1
73	в этом направлении	1	1
74	друг к другу	1	1
75	все это было	3	1
76	с другой стороны	3	1
77	как бы в	1	1
78	мы видели что	1	1
79	лицом к лицу	1	1
80	один и тот	1	1
81	в эту сторону	1	1
82	но в конце	1	1
83	не может быть	6	1
84	из которых каждый	1	1
85	может и не	1	1
86	но тем не	1	1
87	всяком случае в	1	1
88	так и в	2	1
89	в свою очередь	1	1
90	не только не	1	1
91	с тем с	1	1
92	и заставляет его	1	1
93	более и более	1	1
94	он как бы	1	1
95	том что все	1	1
96	еще на одном	1	1
97	его с другими	1	1
98	и что он	1	1
99	лишь в этом	1	1
100	что и в	1	1
101	и только в	1	1
102	именно потому что	2	1
103	и тот же	1	1
