N	2gram	Potebnia_M_1	Dialekti
1	не есть	10	40
2	и не	18	30
3	и есть	2	19
4	а не	21	18
5	и т	6	17
6	ничего не	1	17
7	может быть	27	17
8	то что	10	16
9	т д	4	15
10	стало быть	2	15
11	и в	39	15
12	как бы	6	14
13	точки зрения	8	14
14	не имеет	5	14
15	так как	21	14
16	что это	3	13
17	по себе	10	13
18	того что	8	13
19	это не	7	12
20	в этом	15	11
21	в том	26	11
22	прежде всего	4	11
23	не может	22	11
24	и все	3	11
25	том что	16	10
26	потому что	52	10
27	с ее	2	10
28	она есть	1	10
29	то же	6	9
30	мы не	10	9
31	было бы	12	9
32	с точки	3	9
33	в виду	2	9
34	и что	10	9
35	уже не	2	9
36	значит что	1	9
37	все это	1	9
38	что иное	2	8
39	в чем	1	8
40	не в	15	8
41	в себе	13	8
42	не только	21	8
43	ни в	1	8
44	и это	3	8
45	и о	2	8
46	и ее	1	8
47	иное как	2	8
48	это значит	1	8
49	не что	2	8
50	должна быть	3	7
51	что именно	2	7
52	и мы	1	7
53	он есть	2	7
54	как и	9	7
55	по крайней	2	7
56	и вообще	3	7
57	ровно ничего	1	7
58	и его	5	7
59	что оно	2	7
60	только в	25	7
61	крайней мере	2	7
62	что мы	4	7
63	или в	2	7
64	что он	1	7
65	что в	22	7
66	мифа и	1	6
67	перед нами	1	6
68	хотя и	3	6
69	и тем	3	6
70	если бы	14	6
71	в то	4	6
72	же время	4	6
73	что и	6	6
74	так что	16	6
75	вовсе не	5	6
76	и даже	4	6
77	нет ничего	2	6
78	в результате	1	6
79	тем более	2	6
80	сказать что	3	6
81	той же	3	5
82	мы имеем	1	5
83	в сущности	2	5
84	и на	1	5
85	с его	1	5
86	только тогда	5	5
87	сама по	3	5
88	субъекта и	4	5
89	и объекта	4	5
90	в своем	3	5
91	то в	5	5
92	на то	2	5
93	что она	1	5
94	в нем	20	5
95	есть не	2	5
96	в жизни	3	5
97	что такое	1	5
98	что я	1	5
99	в ней	7	5
100	на себе	2	5
101	но что	1	5
102	но только	1	5
103	того чтобы	2	5
104	тогда когда	9	5
105	в каком	6	5
106	таким образом	13	5
107	как только	1	5
108	о том	2	5
109	так и	13	5
110	именно в	1	5
111	если мы	3	5
112	не говорит	1	5
113	для того	3	5
114	как же	1	5
115	знания и	1	5
116	в смысле	4	5
117	и для	5	5
118	но если	2	5
119	или по	1	4
120	хотя бы	2	4
121	что они	1	4
122	в этой	3	4
123	в течение	2	4
124	и как	6	4
125	с их	1	4
126	бы только	2	4
127	и стало	1	4
128	не как	1	4
129	подобно тому	3	4
130	то ни	3	4
131	и с	3	4
132	этом смысле	4	4
133	с тем	5	4
134	и уже	1	4
135	бытия и	3	4
136	на другую	1	4
137	она не	3	4
138	уже о	1	4
139	ничего общего	2	4
140	что все	3	4
141	еще не	6	4
142	в его	5	4
143	мы должны	3	4
144	мы видим	4	4
145	с ними	1	4
146	есть в	2	4
147	в одном	8	4
148	само по	4	4
149	и отношение	1	4
150	так же	5	4
151	тому как	4	4
152	но это	5	4
153	один из	1	4
154	бы в	4	4
155	жизни и	2	4
156	но и	20	4
157	должны быть	7	4
158	то на	4	3
159	отношения к	1	3
160	и то	3	3
161	только потому	3	3
162	чего не	1	3
163	едва ли	1	3
164	что если	3	3
165	и бытия	1	3
166	явлений с	1	3
167	то мы	2	3
168	со стороны	8	3
169	в истории	7	3
170	общего с	1	3
171	как в	10	3
172	с этим	7	3
173	и нет	1	3
174	когда он	1	3
175	но в	9	3
176	от этого	1	3
177	та же	1	3
178	собственное слово	1	3
179	все эти	1	3
180	и если	2	3
181	одной и	3	3
182	на этом	1	3
183	от нее	6	3
184	известно что	2	3
185	не всегда	1	3
186	в данном	1	3
187	в один	2	3
188	в своей	3	3
189	в их	2	3
190	и той	3	3
191	возможно только	5	3
192	есть всегда	1	3
193	только для	3	3
194	нет никакого	1	3
195	и притом	4	3
196	мы можем	2	3
197	свободы и	3	3
198	как формы	1	3
199	есть только	11	3
200	могут быть	9	3
201	лежит в	1	3
202	говоря уже	1	3
