N	4gram	Voloshinov_1	VeschiIm
1	бы то ни было	8	9
2	в то же время	3	4
3	с этой точки зрения	1	2
4	какого бы то ни	2	2
5	может быть и речи	2	1
6	это значит что в	1	1
7	одного и того же	5	1
8	с точки зрения этого	1	1
9	какой бы то ни	1	1
10	взятая сама по себе	1	1
11	нужно прибавить еще и	1	1
12	и более или менее	1	1
13	и та и другая	1	1
14	потому в нем нет	1	1
15	не есть вещь и	1	1
16	не может быть и	2	1
17	в нем нет ничего	1	1
18	в том что он	1	1
19	до сих пор мы	1	1
20	но в то же	2	1
21	каких бы то ни	3	1
