N	2gram	Losev_Vlad_3	PoTuStor
1	может быть	8	17
2	и в	40	16
3	в этом	16	9
4	таким образом	11	9
5	и только	3	9
6	прежде всего	10	9
7	и с	9	8
8	точки зрения	13	8
9	и его	10	8
10	не может	14	8
11	совершенно не	2	8
12	с его	2	7
13	не только	25	7
14	сказать что	12	7
15	я и	1	6
16	самом деле	1	6
17	конечно не	1	6
18	при этом	3	6
19	с точки	6	6
20	и это	6	6
21	к отцу	1	6
22	для него	8	6
23	и к	2	6
24	еще не	4	5
25	в чем	3	5
26	все эти	5	5
27	только для	1	5
28	ни в	10	5
29	нуждается в	1	5
30	как бы	3	5
31	на самом	3	4
32	и на	6	4
33	отнюдь не	5	4
34	и наконец	2	4
35	но в	4	4
36	в этой	8	4
37	в нем	3	4
38	его в	2	4
39	в один	1	4
40	все это	1	4
41	самого начала	1	4
42	как мы	8	4
43	с ее	1	4
44	с самого	1	4
45	так и	6	4
46	но мы	2	4
47	можно сказать	1	4
48	в его	14	4
49	а потому	1	4
50	только в	13	4
51	и их	1	4
52	так как	7	4
53	и даже	6	4
54	но и	18	4
55	и не	25	4
56	и все	4	4
57	хотя бы	6	4
58	все что	1	4
59	отношения к	5	3
60	тех же	1	3
61	едва ли	11	3
62	во всех	1	3
63	в общем	1	3
64	и есть	1	3
65	и как	7	3
66	учение о	24	3
67	с их	3	3
68	и теперь	1	3
69	и вот	1	3
70	их в	1	3
71	на этой	1	3
72	этом смысле	3	3
73	том что	18	3
74	во время	1	3
75	сих пор	1	3
76	в одном	5	3
77	и притом	3	3
78	в основе	1	3
79	до сих	1	3
80	и оно	1	3
81	те же	1	3
82	мира и	1	3
83	и она	1	3
84	в том	18	3
85	только на	5	3
86	мы знаем	3	3
87	всяком случае	3	3
88	даже не	3	3
89	и др	1	3
90	но оно	2	3
91	вместе с	7	3
92	и потому	10	3
93	как это	4	3
94	в основном	4	3
95	что в	17	3
96	в этих	2	3
97	а в	7	3
98	то что	28	3
99	между ними	1	3
100	только как	1	3
101	жизни и	1	3
102	во всяком	3	3
103	же как	3	2
104	этой теории	1	2
105	в самом	4	2
106	и этот	2	2
107	мы уже	5	2
108	мы не	2	2
109	и о	4	2
110	того же	2	2
111	и говорить	1	2
112	из этих	3	2
113	совсем не	5	2
114	но как	2	2
115	нет и	1	2
116	за пределы	3	2
117	него только	1	2
118	с этим	2	2
119	в этот	2	2
120	что это	9	2
121	он не	8	2
122	и по	2	2
123	то же	4	2
124	по своему	1	2
125	нечего и	2	2
126	и мы	1	2
127	было бы	4	2
128	в жизни	2	2
129	в них	1	2
130	всей последующей	1	2
131	как и	7	2
132	потому и	2	2
133	на первый	2	2
134	в своей	9	2
135	все и	2	2
136	знаем что	2	2
137	войти в	1	2
138	всего а	2	2
139	и вся	2	2
140	этих трех	3	2
141	не менее	9	2
142	в науке	1	2
143	никогда не	11	2
144	только и	5	2
145	сводится к	3	2
146	здесь же	2	2
147	что на	2	2
148	в каком	4	2
149	все то	3	2
150	не могут	2	2
151	и всех	1	2
152	не будет	6	2
153	как не	2	2
154	только то	2	2
155	как с	2	2
156	и вообще	3	2
157	находится в	3	2
158	о том	11	2
159	другими словами	1	2
160	для нас	5	2
161	путь к	2	2
162	что и	7	2
163	во всей	1	2
164	может иметь	1	2
165	один из	1	2
166	мы видим	1	2
167	что он	5	2
168	и так	2	2
169	да еще	1	2
170	не можем	2	2
171	если мы	4	2
172	об его	1	2
173	в начале	2	2
174	на этих	1	2
175	в душе	1	2
176	и других	1	2
177	при всей	1	2
178	у него	24	2
179	оно не	3	2
180	себя и	1	2
181	не на	2	2
182	что мы	2	2
183	в одно	2	2
184	в частности	1	2
185	так же	8	2
186	с этой	2	2
187	своей жизни	1	2
188	но это	6	2
189	и таким	1	2
190	это последнее	2	2
191	и для	3	2
192	не существует	2	2
193	но зато	1	2
194	ни было	1	2
195	не есть	10	2
196	есть и	4	2
197	а может	1	2
198	ее в	3	2
199	к этому	2	2
200	они не	1	2
201	совершенно новой	1	1
202	человека и	3	1
203	мы здесь	1	1
204	и то	9	1
205	науки о	1	1
206	это и	1	1
207	согласии с	2	1
208	бы очень	1	1
209	конечно с	1	1
210	под которым	1	1
211	не имеют	2	1
212	сознания только	1	1
213	каком отношении	1	1
214	в году	10	1
215	его не	1	1
216	личность от	1	1
217	мы имеем	3	1
218	что если	4	1
219	теперь мы	1	1
220	вопрос о	4	1
221	совершенно так	2	1
222	другую и	1	1
223	оно есть	6	1
224	я не	3	1
225	но даже	4	1
226	конечно и	1	1
227	и образуют	1	1
228	живое существо	1	1
229	в ней	5	1
230	и самого	1	1
231	он был	2	1
232	первый план	2	1
233	иное как	1	1
234	не был	8	1
235	бы то	3	1
236	что его	2	1
237	бытием а	2	1
238	чем это	2	1
239	но не	4	1
240	заметим что	3	1
241	с совершенно	1	1
242	ориентироваться в	1	1
243	мы сейчас	2	1
244	в свои	1	1
245	что они	1	1
246	к сожалению	1	1
247	нашего сознания	1	1
248	это самое	1	1
249	в течение	4	1
250	же с	7	1
251	общего с	2	1
252	сам же	2	1
253	все же	4	1
254	всей этой	2	1
255	хотя и	7	1
256	когда он	1	1
257	преимущество перед	1	1
258	что по	1	1
259	не являются	1	1
260	шопенгауэра и	1	1
261	это просто	1	1
262	от этого	2	1
263	к чему	1	1
264	уже не	9	1
265	та же	1	1
266	точку зрения	1	1
267	привести к	1	1
268	в нашем	2	1
269	знаем в	2	1
270	влечение к	1	1
271	их объединяет	1	1
272	как он	1	1
273	по мнению	4	1
274	человек не	1	1
275	вероятно и	1	1
276	теории и	1	1
277	что она	2	1
278	именно то	1	1
279	идеи и	2	1
280	образом и	1	1
281	в корне	1	1
282	только те	1	1
283	но вместе	1	1
284	человеческое сознание	1	1
285	мы говорили	1	1
286	по его	2	1
287	а вместе	1	1
288	то ни	3	1
289	для всей	1	1
290	а то	2	1
291	что мир	1	1
292	различие между	1	1
293	в мире	2	1
294	конечно в	1	1
295	что никакого	1	1
296	на все	1	1
297	лишь в	1	1
298	это было	3	1
299	уже знаем	1	1
300	на почве	2	1
301	в свой	1	1
302	истории и	1	1
303	мы сказали	1	1
304	мы считаем	1	1
305	не чем	1	1
306	для них	1	1
307	были в	2	1
308	с тем	7	1
309	несмотря на	7	1
310	жизни но	1	1
311	смысл и	1	1
312	и еще	2	1
313	но если	5	1
314	от своего	1	1
315	что есть	3	1
316	философии что	1	1
317	никакому сомнению	1	1
318	ли так	1	1
319	всех вещей	2	1
320	но эта	1	1
