N	3gram	Bakhtin_Pr_1	Sotsiolo
1	по отношению к	19	2
2	не в том	1	2
3	в том что	3	2
4	дает нам право	1	1
5	дело конечно не	1	1
6	не выходит за	1	1
7	а в том	1	1
8	то что в	1	1
9	с одной стороны	3	1
10	это и есть	1	1
11	конечно не в	1	1
12	в лучшем случае	2	1
13	выходит за пределы	1	1
14	они ни были	1	1
15	в свои права	1	1
16	не должна быть	1	1
17	отношению к которому	1	1
18	сказать и о	2	1
19	в связи с	1	1
20	самое должно сказать	1	1
21	в настоящее время	1	1
22	в конечном счете	4	1
23	то же самое	2	1
24	в противном случае	3	1
25	в том и	1	1
26	именно в том	1	1
27	а между тем	1	1
28	как бы они	1	1
29	на первый план	2	1
30	социологический метод не	1	1
31	то же время	3	1
32	и в то	2	1
33	и в этом	1	1
34	в то же	3	1
35	не было бы	1	1
36	же самое должно	1	1
37	о том как	1	1
38	и в таких	1	1
39	но она может	1	1
40	бы они ни	1	1
41	должно сказать и	1	1
