N	2gram	Voloshinov_2	IolandNe
1	и с	2	3
2	должен быть	2	2
3	и не	19	2
4	в этом	15	2
5	он не	3	2
6	что в	2	2
7	ничего не	4	2
8	бы что	1	2
9	себя в	2	1
10	все это	1	1
11	и др	1	1
12	и в	19	1
13	только что	3	1
14	и о	2	1
15	бы в	4	1
16	того же	5	1
17	при такой	1	1
18	и со	1	1
19	было не	1	1
20	с другой	3	1
21	это было	2	1
22	а в	3	1
23	так то	1	1
24	того что	4	1
25	в художественном	1	1
26	стороны он	1	1
27	не дает	1	1
28	следовательно в	1	1
29	как о	2	1
30	а с	2	1
31	другой стороны	1	1
32	в материале	2	1
33	в первую	1	1
34	не так	2	1
35	нее и	1	1
36	для него	9	1
37	в основе	9	1
38	в значительной	2	1
39	говорить о	1	1
40	могло бы	1	1
41	и сам	1	1
42	есть только	1	1
43	отношению к	8	1
44	так и	10	1
45	от этого	2	1
46	того чтобы	6	1
47	первую очередь	1	1
48	никогда не	7	1
49	следующим образом	1	1
50	только для	1	1
51	жизни и	2	1
52	для других	3	1
53	тем что	2	1
54	в целом	1	1
55	по поводу	1	1
56	по отношению	8	1
57	в них	1	1
58	все эти	3	1
59	но когда	1	1
60	со всеми	1	1
61	автор и	1	1
62	если бы	11	1
63	для того	6	1
