N	3gram	Bakhtin_fo_2	VeschiIm
1	и т д	3	20
2	не может быть	1	18
3	это значит что	2	17
4	в том что	3	6
5	одно и то	1	5
6	и то же	1	5
7	в свою очередь	1	5
8	с точки зрения	8	4
9	было бы и	1	4
10	не только в	5	4
11	то же время	4	4
12	в то же	4	4
13	и не только	1	3
14	и в то	3	3
15	вместе с тем	1	3
16	не может не	1	2
17	можно сказать что	1	2
18	этой точки зрения	1	2
19	но это значит	1	2
20	как бы ни	1	2
21	о том как	3	2
22	а так как	1	2
23	с самим собою	1	2
24	с этой точки	1	2
25	в данном случае	1	2
26	можно говорить о	1	2
27	себя же самой	1	2
28	ни с чем	1	2
29	к тому что	1	2
30	так что в	1	2
31	и того же	1	1
32	есть и что	1	1
33	а за ними	1	1
34	с полной ясностью	1	1
35	с чем не	1	1
36	что то же	1	1
37	мы уже сказали	3	1
38	как и во	1	1
39	есть прежде всего	1	1
40	том что он	1	1
41	быть и речи	1	1
42	в этом случае	2	1
43	на первый план	2	1
44	до сих пор	2	1
45	и во всех	2	1
46	тот или иной	1	1
47	сами по себе	2	1
48	что он не	1	1
49	может быть или	1	1
50	и говорить о	1	1
51	по самому своему	1	1
52	может быть и	2	1
53	вещи и идеи	1	1
54	у нас это	1	1
55	то время как	1	1
56	но в то	1	1
57	таким образом и	1	1
58	то что уже	1	1
59	с одной стороны	1	1
60	в конце концов	1	1
61	том как его	1	1
62	мы будем говорить	1	1
63	и в этом	3	1
64	они должны быть	1	1
65	и как бы	1	1
66	это не значит	1	1
67	эта точка зрения	1	1
68	то что на	1	1
69	с другой стороны	1	1
70	потому что они	2	1
71	и пр и	1	1
72	тем более не	1	1
73	в то время	1	1
74	или что то	1	1
75	и вместе с	1	1
76	или должно быть	1	1
77	прежде всего к	1	1
78	о том что	1	1
79	и вообще всяких	1	1
80	вместо того чтобы	1	1
81	и прежде всего	3	1
82	но все же	1	1
83	и в результате	1	1
84	одного и того	1	1
85	для того чтобы	7	1
86	однако не только	1	1
87	друг с другом	4	1
88	и в нем	1	1
89	момент в ней	1	1
90	в себе в	1	1
91	остановиться на одной	1	1
92	что и в	1	1
