N	2gram	Nazirov_Tr_1	BTomashe
1	и не	7	2
2	в ней	1	2
3	можно было	1	2
4	все это	4	2
5	во всяком	1	1
6	по нашему	1	1
7	вопрос о	2	1
8	совершенно не	1	1
9	нашему мнению	1	1
10	в своей	1	1
11	своей книге	1	1
12	всяком случае	1	1
13	и о	1	1
14	в области	1	1
15	до конца	2	1
16	и ее	2	1
17	создает впечатление	1	1
18	не вполне	1	1
19	в эпоху	1	1
20	и в	18	1
21	так и	5	1
22	за пределы	1	1
23	стиля и	1	1
24	также что	1	1
25	об этом	4	1
26	что все	2	1
27	же не	1	1
28	не было	1	1
29	должна быть	1	1
30	отнюдь не	3	1
31	необходимо отметить	1	1
32	и потому	1	1
33	все же	5	1
34	в книге	1	1
35	прежде всего	4	1
36	что в	4	1
37	таким образом	1	1
38	к ней	1	1
39	еще не	4	1
40	как будто	3	1
41	не только	8	1
42	в данном	2	1
43	и на	7	1
44	из ее	1	1
45	а не	1	1
