N	3gram	Nazirov_Tr_1	Mirosoze
1	не может быть	1	8
2	к тому что	1	3
3	у него нет	1	3
4	в высшей степени	1	3
5	и в этом	1	3
6	это и есть	1	3
7	он понял что	1	2
8	в братьях карамазовых	1	2
9	о том что	2	2
10	как и в	1	2
11	после того как	1	2
12	в том что	2	2
13	добро и зло	1	2
14	а между тем	1	1
15	по замыслу достоевского	2	1
16	с отцом и	1	1
17	но он сам	1	1
18	и не случайно	2	1
19	ивана карамазова в	1	1
20	в записках из	2	1
21	том что он	1	1
22	начала в человеке	1	1
23	в этом мире	1	1
24	в своей книге	1	1
25	как и все	1	1
26	преступлении и наказании	2	1
27	сам по себе	1	1
28	у него есть	1	1
29	что он не	1	1
30	своего отца и	1	1
31	записках из подполья	1	1
32	у достоевского не	1	1
33	в преступлении и	2	1
34	в этой борьбе	1	1
35	бы и не	1	1
36	любовь в которой	1	1
37	он не любил	1	1
38	смысле этого слова	1	1
39	в себе ее	1	1
40	в xx веке	1	1
41	и должно быть	1	1
42	по сравнению с	1	1
43	и не могли	1	1
44	по природе своей	1	1
45	с такой силой	1	1
46	уже было в	1	1
47	в xix веке	1	1
48	к этой теме	1	1
49	не может жить	1	1
50	не в силах	2	1
51	и он сам	1	1
52	ничего подобного нет	1	1
53	достоевский и в	1	1
54	один из первых	1	1
55	мы видим уже	1	1
56	ведет к тому	1	1
57	он перестает быть	1	1
58	толстой и достоевский	1	1
59	в конце концов	1	1
60	петра верховенского как	1	1
