N	3gram	Tiupa_Disk_1	RusskieA
1	в том что	13	18
2	состоит в том	2	13
3	в этом случае	1	6
4	в данном случае	2	6
5	о том что	5	4
6	вместе с тем	1	4
7	подобно тому как	2	3
8	в отличие от	4	3
9	не может быть	3	3
10	с одной стороны	9	2
11	это пока еще	1	2
12	пока еще не	3	2
13	еще в xix	1	2
14	тем не менее	1	2
15	в том чтобы	2	2
16	к этому времени	1	1
17	это и есть	1	1
18	том что в	2	1
19	о том как	1	1
20	по своему происхождению	2	1
21	распространенное представление о	1	1
22	тех случаях когда	1	1
23	прежде всего как	1	1
24	из того что	1	1
25	в первую очередь	1	1
26	и в том	1	1
27	на этом основании	1	1
28	следующим образом в	1	1
29	потому что в	1	1
30	имея в виду	1	1
31	на то что	1	1
32	дело не в	1	1
33	как и в	1	1
34	следует обратить внимание	1	1
35	как и вообще	1	1
36	но далеко не	1	1
37	за тридевять земель	1	1
38	более или менее	2	1
39	в этом отношении	1	1
40	можно сказать что	2	1
41	что каждый из	1	1
42	в греко-римской античности	1	1
43	как мы видели	1	1
44	ее к себе	1	1
45	по аналогии с	1	1
46	далеко не все	1	1
47	или во всяком	1	1
48	между собой и	1	1
49	дело в том	1	1
50	в научной литературе	1	1
51	в одном ряду	1	1
52	особый интерес представляет	1	1
53	во всех этих	1	1
54	с этим связан	1	1
55	а иногда и	1	1
56	во всяком случае	1	1
57	что с ними	1	1
58	в свою очередь	3	1
59	в тех случаях	1	1
60	с другой стороны	3	1
