N	2gram	Medvedev_F_1	Morfolog
1	может быть	14	52
2	и т	12	49
3	т д	8	47
4	и пр	17	40
5	таким образом	13	20
6	не может	16	17
7	в этих	1	16
8	т е	34	16
9	могут быть	1	15
10	с этим	2	14
11	и в	24	13
12	в этом	15	13
13	так как	1	12
14	и др	5	12
15	перед нами	1	11
16	связи с	3	11
17	мы видим	1	11
18	видим что	1	10
19	то же	10	9
20	так и	18	9
21	прежде всего	22	9
22	а не	10	9
23	в связи	4	9
24	и не	20	9
25	что и	2	8
26	с другой	5	8
27	по существу	2	8
28	в результате	2	8
29	вопрос о	2	7
30	или же	3	7
31	все же	3	7
32	но не	3	6
33	может считаться	1	6
34	это не	2	6
35	не могут	1	6
36	и здесь	6	6
37	а также	1	6
38	в форме	1	6
39	в том	6	6
40	а в	6	6
41	мы не	3	5
42	во всех	5	5
43	в море	1	5
44	то что	8	5
45	в образе	1	5
46	далеко не	1	5
47	не менее	11	5
48	потому что	1	5
49	или в	1	5
50	вслед за	1	5
51	один из	3	5
52	мы увидим	4	5
53	если мы	2	5
54	наряду с	1	5
55	как бы	6	5
56	и другие	1	5
57	также и	1	4
58	задачи в	1	4
59	тех же	2	4
60	если в	1	4
61	как в	8	4
62	не хватает	1	4
63	хотя и	1	4
64	и как	3	4
65	не только	7	4
66	на его	2	4
67	на этом	1	4
68	его в	3	4
69	было бы	6	4
70	вовсе не	10	4
71	как и	11	4
72	несмотря на	1	4
73	точки зрения	16	4
74	с точки	13	4
75	тем не	1	4
76	на котором	1	4
77	ничего не	2	4
78	как мы	5	4
79	могла бы	2	4
80	по отношению	4	4
81	другой стороны	1	4
82	там где	1	4
83	так же	4	4
84	отношению к	4	4
85	что в	4	4
86	начинается с	1	3
87	самом деле	6	3
88	на самом	7	3
89	вне связи	1	3
90	всего это	1	3
91	в первом	1	3
92	и для	1	3
93	между собой	1	3
94	независимо от	4	3
95	целый ряд	3	3
96	как таковое	2	3
97	но в	5	3
98	в целом	6	3
99	в нашем	2	3
100	в пределах	6	3
101	он должен	3	3
102	и по	1	3
103	прежде чем	2	3
104	но все	2	3
105	входит в	6	3
106	из них	1	3
107	ни в	2	3
108	том что	1	3
109	в то	9	3
110	на него	2	3
111	того чтобы	1	3
112	от того	2	3
113	пр он	1	3
114	если бы	4	3
115	но и	7	3
116	он не	3	3
117	значит что	1	3
118	к нему	1	3
119	и ее	10	3
120	друг друга	4	3
121	в руки	1	3
122	не является	1	3
123	что они	1	3
124	пр и	2	3
125	для этой	2	3
126	из которых	1	3
127	но это	3	3
128	кроме того	1	3
129	это уже	1	3
130	только что	1	3
131	же в	3	3
132	в последнем	1	3
133	если же	2	3
134	смысле слова	1	2
135	как это	6	2
136	мы получаем	1	2
137	как таковая	1	2
138	чем это	1	2
139	совсем не	1	2
140	а с	1	2
141	если она	1	2
142	и к	4	2
143	более или	6	2
144	то в	1	2
145	та же	1	2
146	сюда относятся	1	2
147	из его	1	2
148	и задачи	1	2
149	не значит	1	2
150	не определяет	1	2
151	состоит в	1	2
152	приходим к	1	2
153	в нее	1	2
154	в другом	1	2
155	мы уже	1	2
156	большинстве случаев	2	2
157	за ней	1	2
158	ни одной	1	2
159	этого не	1	2
160	с тем	2	2
161	и тогда	1	2
162	или менее	6	2
163	для него	3	2
164	что такое	2	2
165	ли этот	1	2
166	настоящее время	10	2
167	и более	2	2
168	все эти	6	2
169	можно указать	1	2
170	и функции	1	2
171	в обоих	1	2
172	эти формы	1	2
173	не имеет	1	2
174	одна из	2	2
175	и его	10	2
176	так например	3	2
177	пока нет	1	2
178	что некоторые	1	2
179	они и	1	2
180	перейти к	2	2
181	оно не	4	2
182	совершается в	2	2
183	здесь не	3	2
184	и что	2	2
185	если они	1	2
186	не с	2	2
187	ясно что	3	2
188	с этого	1	2
189	но здесь	1	2
190	нашей работы	3	2
191	же происходит	3	2
192	с одной	4	2
193	можно сказать	1	2
194	в различных	2	2
195	может не	1	2
196	по их	1	2
197	ни к	1	2
198	того что	5	2
199	быть и	4	2
200	хотя бы	5	2
201	что он	3	2
202	только в	2	2
203	себя в	1	2
204	уже не	2	2
205	или на	2	2
206	в большинстве	3	2
207	в виде	1	2
208	от других	1	2
209	его и	2	2
210	никто не	1	2
211	как их	2	2
212	у нее	1	2
213	этим же	1	2
214	но есть	2	2
215	а на	1	2
216	не знает	1	2
217	сказать что	1	2
218	в частности	4	2
219	одной стороны	4	2
220	следует еще	1	2
221	есть и	1	2
222	или с	1	2
223	не меняет	1	2
224	но для	3	2
225	их на	2	2
226	не оказывает	1	2
227	в настоящее	10	2
228	в отдельных	1	2
229	не от	2	2
230	например на	1	2
231	одной из	2	2
232	же функции	1	2
233	к этому	1	2
234	например в	1	1
235	зрения их	2	1
236	он может	1	1
237	применении к	2	1
238	как такового	2	1
239	между двумя	1	1
240	противном случае	1	1
241	из воды	2	1
242	элементы и	1	1
243	это совершенно	1	1
244	на первом	1	1
245	положения в	2	1
246	вместо того	1	1
247	ему в	1	1
248	кто же	1	1
249	может совершаться	1	1
250	не имеющий	1	1
251	тем как	1	1
252	и художественной	2	1
253	одним словом	5	1
254	что никаких	1	1
255	это бывает	1	1
256	не входит	1	1
257	значение и	3	1
258	тогда как	1	1
259	отношение к	3	1
260	отличие от	1	1
261	оно является	1	1
262	она есть	2	1
263	или иное	1	1
264	основная задача	1	1
265	во что	2	1
266	о необходимости	1	1
267	вследствие чего	1	1
268	метод и	3	1
269	его не	2	1
270	в б	1	1
271	вот как	1	1
272	нашу задачу	1	1
273	для всех	1	1
274	определить в	1	1
275	более и	2	1
276	что касается	1	1
277	в противном	1	1
278	типа все	1	1
279	и наконец	3	1
280	но эта	2	1
281	далее если	1	1
282	этой цели	1	1
283	в этот	1	1
284	в которой	4	1
285	из этих	1	1
286	не в	8	1
287	думать что	3	1
288	в этой	6	1
289	остановиться на	2	1
290	нами в	1	1
291	формы не	1	1
292	непосредственно как	2	1
293	но ведь	2	1
294	на то	1	1
295	а вовсе	2	1
296	вообще не	1	1
297	быть поняты	2	1
298	главным образом	4	1
299	время и	1	1
300	слова а	1	1
301	всех этих	3	1
302	свою собственную	1	1
303	прочим и	1	1
304	и вот	2	1
305	в россии	3	1
306	ее своей	1	1
307	ни были	2	1
308	не исчерпывают	1	1
309	и этот	1	1
310	лишь с	1	1
311	наука не	1	1
312	в каждом	3	1
313	то ни	3	1
314	и может	4	1
315	они должны	1	1
316	выделить это	1	1
317	на все	3	1
318	с другими	4	1
319	материала к	1	1
320	деле в	1	1
321	изучать не	1	1
322	мы постараемся	1	1
323	и тем	1	1
324	в итоге	1	1
325	в это	1	1
326	нет в	1	1
327	без рассмотрения	1	1
328	его перед	1	1
329	переходим к	1	1
330	как таковой	6	1
331	нисколько не	2	1
332	другом под	1	1
333	этот материал	1	1
334	дают никаких	1	1
335	и их	10	1
336	при изучении	1	1
337	первого вопроса	1	1
338	в их	11	1
339	этому же	1	1
340	не столько	1	1
341	в первый	1	1
342	могло бы	2	1
343	исторической действительности	1	1
344	бы мы	1	1
345	первой в	1	1
346	значение для	2	1
347	такую же	1	1
348	при этом	5	1
349	но он	1	1
350	все это	9	1
351	явление мы	1	1
352	не должно	1	1
353	бы быть	2	1
354	для нее	1	1
355	тому что	1	1
356	и очень	1	1
357	она не	6	1
358	задачи и	4	1
359	первых и	1	1
360	а от	1	1
361	принципов и	1	1
362	от различных	1	1
363	быть дано	1	1
364	самого начала	1	1
365	значения мы	1	1
366	и притом	1	1
367	и сама	1	1
368	весь этот	1	1
369	в основе	3	1
370	как его	1	1
371	функцию в	1	1
372	же время	8	1
373	всего и	1	1
374	быть ограничен	1	1
375	действительно в	1	1
376	за исключением	2	1
377	как на	4	1
378	углом зрения	1	1
379	же он	1	1
380	иногда не	1	1
381	у нас	5	1
382	к таким	1	1
383	исходить из	4	1
384	если он	3	1
385	встречается в	1	1
386	и развития	2	1
387	должны быть	5	1
388	всего в	3	1
389	более широкой	1	1
390	к тому	3	1
391	определить ее	2	1
392	не есть	2	1
393	что при	1	1
394	только одну	1	1
395	ничего общего	1	1
396	в применении	2	1
397	то она	1	1
398	с ее	7	1
399	людей в	1	1
400	данном случае	1	1
401	ни стало	2	1
402	если о	1	1
403	с самого	1	1
404	вне этих	2	1
405	также связана	1	1
406	приводит к	2	1
407	роль в	1	1
408	как с	2	1
409	богатства и	1	1
410	здесь нет	1	1
411	мог бы	1	1
412	еще в	2	1
413	во второй	1	1
414	и с	8	1
415	что от	1	1
416	даны в	1	1
417	одном месте	1	1
418	свои законы	1	1
419	известной и	1	1
420	связанное с	1	1
421	быть выражено	1	1
422	и формула	1	1
423	бы то	3	1
424	и просто	1	1
425	герой является	1	1
426	того или	2	1
427	как они	1	1
428	за этим	1	1
429	для самых	1	1
430	и всякая	2	1
431	функций в	2	1
432	в его	23	1
433	и хорошо	1	1
434	на одном	1	1
435	во всей	2	1
436	в другой	2	1
437	этим определить	1	1
438	что бы	5	1
439	целом и	4	1
440	к ней	2	1
441	в него	2	1
442	в лице	2	1
443	е он	1	1
444	на которой	1	1
445	две формы	1	1
446	говорить о	1	1
447	и действительно	1	1
448	основанный на	1	1
449	очень много	1	1
450	который в	1	1
451	действительно не	1	1
452	литературе и	2	1
453	же законы	1	1
454	в предисловии	1	1
455	со всеми	3	1
456	то их	1	1
457	борьбы с	1	1
458	пр чем	1	1
459	этого нельзя	1	1
460	что не	1	1
461	не дает	2	1
462	в данной	1	1
463	е на	1	1
464	находится еще	1	1
465	исторического изучения	2	1
466	не так	2	1
467	же они	2	1
468	всяком случае	4	1
469	в одном	2	1
470	и со	2	1
471	оно так	1	1
472	у него	1	1
473	между прочим	1	1
474	быть проверен	1	1
475	он является	1	1
476	и материал	1	1
477	только на	5	1
478	из важнейших	2	1
479	для исследователя	1	1
480	и даже	3	1
481	со стороны	5	1
482	или иной	1	1
483	даже не	1	1
484	до сих	6	1
485	может и	2	1
486	на ее	1	1
487	именно в	8	1
488	а именно	1	1
489	эти две	1	1
490	его место	2	1
491	и создает	1	1
492	очень большое	1	1
493	формы он	1	1
494	его из	1	1
495	всеми другими	1	1
496	некоторое целое	1	1
497	ее поэтому	1	1
498	а сам	1	1
499	она является	2	1
500	ничем не	3	1
501	не на	2	1
502	те элементы	1	1
503	здесь этот	1	1
504	историческое изучение	1	1
505	при определении	1	1
506	должно исходить	1	1
507	все более	2	1
508	вступает в	2	1
509	о себе	1	1
510	но кроме	1	1
511	путь от	1	1
512	к разработке	1	1
513	ухо к	1	1
514	приводит в	1	1
515	нет а	1	1
516	по своему	1	1
517	другу и	1	1
518	в данном	1	1
519	не дают	1	1
520	одновременно с	2	1
521	в отдельности	1	1
522	из этой	2	1
523	отношения к	6	1
524	в ряду	2	1
525	реакции на	1	1
526	это значит	1	1
527	к следующему	1	1
528	стремления к	1	1
529	что же	1	1
530	дело идет	3	1
531	с этой	4	1
532	функции которые	1	1
533	в формах	4	1
534	сих пор	6	1
535	пришлось бы	1	1
536	всей совокупности	1	1
537	все остальные	1	1
538	все подобные	1	1
539	чувства их	1	1
540	указать на	2	1
541	потому не	1	1
542	е они	1	1
543	работы мы	1	1
544	или другой	1	1
545	для нас	1	1
546	и все	6	1
547	лишь как	5	1
548	которую он	1	1
549	бы в	3	1
550	и ни	1	1
551	проблемы проблемы	1	1
552	его жизнь	1	1
553	или вообще	1	1
554	дана в	2	1
555	что качество	1	1
556	а н	3	1
557	к самым	1	1
558	между ними	3	1
559	материал и	1	1
560	одновременно и	1	1
561	специфические законы	1	1
562	на своем	2	1
563	таким же	2	1
564	одним общим	1	1
565	влияния на	2	1
566	предполагает уже	2	1
567	часто встречается	1	1
568	во всяком	4	1
